Year;Obs;Median;"10%";"90%"
"1917";"-1.72";;;
"1918";"-1.8";;;
"1919";"-1.88";;;
"1920";"-1.96";;;
"1921";"-2.06";;;
"1922";"-2.16";;;
"1923";"-2.27";;;
"1924";"-2.38";;;
"1925";"-2.49";;;
"1926";"-2.6";;;
"1927";"-2.72";;;
"1928";"-2.83";;;
"1929";"-2.94";;;
"1930";"-3.04";;;
"1931";"-3.13";;;
"1932";"-3.21";;;
"1933";"-3.28";;;
"1934";"-3.33";;;
"1935";"-3.36";;;
"1936";"-3.38";;;
"1937";"-3.38";;;
"1938";"-3.37";;;
"1939";"-3.34";;;
"1940";"-3.31";;;
"1941";"-3.26";;;
"1942";"-3.22";;;
"1943";"-3.17";;;
"1944";"-3.13";;;
"1945";"-3.1";;;
"1946";"-3.08";;;
"1947";"-3.08";;;
"1948";"-3.09";;;
"1949";"-3.12";;;
"1950";"-3.18";;;
"1951";"-3.25";;;
"1952";"-3.34";;;
"1953";"-3.45";;;
"1954";"-3.56";;;
"1955";"-3.68";;;
"1956";"-3.81";;;
"1957";"-3.94";;;
"1958";"-4.06";;;
"1959";"-4.18";;;
"1960";"-4.28";;;
"1961";"-4.37";;;
"1962";"-4.45";;;
"1963";"-4.52";;;
"1964";"-4.57";;;
"1965";"-4.6";;;
"1966";"-4.62";;;
"1967";"-4.62";;;
"1968";"-4.6";;;
"1969";"-4.57";;;
"1970";"-4.52";;;
"1971";"-4.44";"-0.381";"-2.401";"1.188"
"1972";"-4.35";"-0.387";"-2.234";"1.029"
"1973";"-4.23";"-0.416";"-1.981";"0.869"
"1974";"-4.08";"-0.46";"-1.731";"0.708"
"1975";"-3.91";"-0.507";"-1.486";"0.613"
"1976";"-3.72";"-0.457";"-1.25";"0.523"
"1977";"-3.5";"-0.408";"-1.027";"0.43"
"1978";"-3.25";"-0.364";"-0.908";"0.333"
"1979";"-2.98";"-0.326";"-0.968";"0.232"
"1980";"-2.68";"-0.326";"-1.016";"0.125"
"1981";"-2.37";"-0.242";"-0.893";"0.012"
"1982";"-2.05";"-0.139";"-0.773";"-0.004"
"1983";"-1.72";"-0.174";"-0.659";"0.044"
"1984";"-1.38";"-0.251";"-0.688";"0.065"
"1985";"-1.05";"-0.326";"-0.714";"0.126"
"1986";"-0.72";"-0.232";"-0.714";"0.168"
"1987";"-0.41";"-0.147";"-0.903";"0.196"
"1988";"-0.12";"-0.136";"-0.961";"0.212"
"1989";"0.15";"-0.175";"-1.04";"0.257"
"1990";"0.4";"-0.218";"-1.171";"0.434"
"1991";"0.61";"-0.167";"-1.298";"0.637"
"1992";"0.8";"0.026";"-1.421";"0.863"
"1993";"0.95";"0.138";"-1.538";"1.113"
"1994";"1.08";"0.147";"-1.651";"1.245"
"1995";"1.18";"0.187";"-1.759";"1.407"
"1996";"1.25";"0.272";"-1.864";"1.884"
"1997";"1.31";"0.371";"-1.965";"2.382"
"1998";"1.34";"0.482";"-2.062";"2.785"
"1999";"1.36";"0.6";"-2.157";"3.159"
"2000";"1.37";"0.721";"-2.342";"3.525"
"2001";"1.36";"0.839";"-2.584";"3.875"
"2002";"1.35";"0.949";"-2.818";"4.2"
"2003";"1.33";"1.044";"-3.039";"4.494"
"2004";"1.32";"1.11";"-3.231";"4.751"
"2005";"1.3";"1.152";"-3.288";"4.965"
"2006";"1.27";"1.189";"-3.331";"5.134"
"2007";"1.25";"1.192";"-3.36";"5.255"
"2008";"1.24";"1.155";"-3.373";"5.327"
"2009";"1.22";"1.085";"-3.37";"5.353"
"2010";"1.2";"0.982";"-3.35";"5.334"
"2011";"1.18";"0.849";"-3.314";"5.275"
"2012";;"0.687";"-3.263";"5.182"
"2013";;"0.5";"-3.198";"5.061"
"2014";;"0.293";"-3.121";"4.918"
"2015";;"0.069";"-3.035";"4.762"
"2016";;"-0.166";"-2.924";"4.598"
"2017";;"-0.408";"-2.681";"4.435"
"2018";;"-0.652";"-2.425";"4.277"
"2019";;"-0.893";"-2.166";"4.131"
"2020";;"-1.127";"-2.01";"4.0"
"2021";;"-1.165";"-1.897";"3.888"
"2022";;"-1.103";"-1.784";"3.796"
"2023";;"-0.923";"-1.903";"3.724"
"2024";;"-0.762";"-2.078";"3.671"
"2025";;"-0.621";"-2.242";"3.636"
"2026";;"-0.502";"-2.333";"3.616"
"2027";;"-0.404";"-2.327";"3.607"
"2028";;"-0.327";"-2.409";"3.605"
"2029";;"-0.269";"-2.512";"3.606"
"2030";;"-0.227";"-2.607";"3.606"
"2031";;"-0.198";"-2.695";"3.602"
"2032";;"-0.18";"-2.777";"3.59"
"2033";;"-0.17";"-2.854";"3.569"
"2034";;"-0.094";"-2.928";"3.538"
"2035";;"0.026";"-2.999";"3.497"
"2036";;"0.157";"-3.066";"3.447"
"2037";;"0.3";"-3.129";"3.393"
"2038";;"0.454";"-3.188";"3.336"
"2039";;"0.606";"-3.241";"3.283"
"2040";;"0.675";"-3.287";"3.238"
"2041";;"0.754";"-3.325";"3.208"
"2042";;"0.843";"-3.353";"3.197"
"2043";;"0.943";"-3.37";"3.21"
"2044";;"1.055";"-3.374";"3.253"
