Year;Obs;Median;"10%";"90%"
"1971";;"-0.86";"-4.858";"1.725"
"1972";;"-0.915";"-4.229";"1.615"
"1973";;"-0.925";"-3.607";"1.504"
"1974";;"-0.68";"-2.991";"1.393"
"1975";;"-0.445";"-2.382";"1.271"
"1976";;"-0.515";"-1.904";"1.157"
"1977";;"-0.715";"-1.729";"1.033"
"1978";;"-0.6";"-1.559";"1.052"
"1979";;"-0.385";"-1.467";"1.024"
"1980";;"-0.29";"-1.66";"0.885"
"1981";;"-0.165";"-1.814";"1.083"
"1982";;"-0.02";"-1.513";"1.429"
"1983";;"0.055";"-1.186";"1.733"
"1984";;"0.035";"-1.205";"1.998"
"1985";;"0.005";"-1.218";"2.224"
"1986";;"0.16";"-1.209";"2.411"
"1987";;"0.265";"-1.175";"2.589"
"1988";;"0.405";"-1.126";"2.75"
"1989";;"0.565";"-1.063";"2.913"
"1990";;"0.73";"-0.993";"3.072"
"1991";;"0.9";"-0.9";"3.245"
"1992";;"1.075";"-0.857";"3.525"
"1993";;"1.26";"-0.72";"3.853"
"1994";;"1.445";"-0.649";"4.219"
"1995";;"1.64";"-0.576";"4.559"
"1996";;"1.84";"-0.501";"5.017"
"1997";;"2.045";"-0.35";"5.511"
"1998";;"2.26";"-0.19";"6.042"
"1999";;"2.48";"-0.022";"6.573"
"2000";;"2.735";"0.156";"7.111"
"2001";;"2.995";"0.334";"7.63"
"2002";;"3.37";"0.504";"8.119"
"2003";;"3.79";"0.657";"8.568"
"2004";;"4.215";"0.801";"8.949"
"2005";;"4.64";"0.921";"9.262"
"2006";;"5.065";"1.024";"9.495"
"2007";;"5.49";"1.103";"9.65"
"2008";;"5.905";"1.147";"9.715"
"2009";;"6.315";"1.167";"9.701"
"2010";;"6.7";"1.162";"9.616"
"2011";;"6.875";"1.316";"9.452"
"2012";;"7.01";"1.558";"9.236"
"2013";;"7.14";"1.744";"9.131"
"2014";;"7.16";"1.62";"9.453"
"2015";;"7.125";"1.476";"9.382"
"2016";;"7.085";"1.331";"9.111"
"2017";;"7.01";"1.184";"8.824"
"2018";;"6.655";"1.045";"8.531"
"2019";;"6.31";"0.906";"8.438"
"2020";;"6.195";"0.794";"8.752"
"2021";;"6.26";"0.701";"9.078"
"2022";;"6.34";"0.627";"9.416"
"2023";;"6.235";"0.572";"9.767"
"2024";;"6.08";"0.547";"9.827"
"2025";;"6.08";"0.551";"9.645"
"2026";;"6.095";"0.575";"9.436"
"2027";;"6.1";"0.62";"9.218"
"2028";;"6.095";"0.695";"8.998"
"2029";;"6.07";"0.782";"8.784"
"2030";;"6.04";"0.898";"8.891"
"2031";;"5.995";"1.027";"8.966"
"2032";;"5.955";"1.176";"9.008"
"2033";;"5.905";"1.346";"9.016"
"2034";;"5.855";"1.537";"9.017"
"2035";;"5.805";"1.757";"9.26"
"2036";;"5.775";"1.989";"9.504"
"2037";;"5.85";"2.251";"9.729"
"2038";;"5.95";"2.444";"9.927"
"2039";;"6.07";"2.53";"10.107"
"2040";;"6.195";"2.628";"10.261"
"2041";;"6.34";"2.737";"10.382"
"2042";;"6.495";"2.855";"10.48"
"2043";;"6.66";"2.984";"10.444"
"2044";;"6.84";"3.122";"9.908"
"2045";;"7.03";"3.26";"9.37"
"2046";;"7.23";"3.388";"9.405"
"2047";;"7.44";"3.522";"9.61"
"2048";;"7.61";"3.645";"9.822"
"2049";;"7.48";"3.765";"10.041"
"2050";;"7.385";"3.781";"10.268"
"2051";;"7.445";"3.829";"10.485"
"2052";;"7.535";"3.907";"10.7"
"2053";;"7.595";"4.008";"10.914"
"2054";;"7.62";"4.13";"11.013"
"2055";;"7.615";"4.264";"10.982"
"2056";;"7.76";"4.412";"10.931"
"2057";;"7.855";"4.538";"10.854"
"2058";;"7.995";"4.641";"10.766"
"2059";;"8.165";"4.76";"10.912"
"2060";;"8.365";"4.894";"11.003"
"2061";;"8.515";"4.685";"11.03"
"2062";;"8.485";"4.395";"10.993"
"2063";;"8.465";"4.106";"10.891"
"2064";;"8.305";"3.846";"11.355"
"2065";;"8.085";"3.615";"11.889"
"2066";;"7.875";"3.415";"12.375"
"2067";;"7.655";"3.255";"12.823"
"2068";;"7.445";"3.144";"13.196"
"2069";;"7.405";"3.084";"13.369"
"2070";;"7.555";"3.064";"13.379"
"2071";;"7.605";"3.094";"13.354"
"2072";;"7.41";"3.156";"13.296"
"2073";;"7.225";"2.799";"13.214"
"2074";;"7.055";"2.446";"13.098"
"2075";;"6.905";"2.087";"12.968"
"2076";;"6.775";"1.731";"12.816"
"2077";;"6.665";"1.376";"12.652"
"2078";;"6.58";"1.014";"12.476"
"2079";;"6.525";"0.909";"12.298"
"2080";;"6.545";"1.082";"12.11"
"2081";;"6.735";"1.255";"12.291"
"2082";;"7.03";"1.4";"12.581"
"2083";;"7.375";"1.535";"12.87"
"2084";;"7.74";"1.633";"12.93"
"2085";;"8.135";"1.711";"13.081"
"2086";;"8.54";"1.753";"13.359"
"2087";;"8.95";"1.766";"13.626"
"2088";;"9.35";"1.743";"13.875"
"2089";;"9.55";"1.692";"14.114"
"2090";;"9.605";"1.606";"14.325"
"2091";;"9.65";"1.484";"14.526"
"2092";;"9.675";"1.337";"14.707"
"2093";;"9.685";"1.164";"14.879"
"2094";;"9.675";"0.966";"15.04"
"2095";;"9.645";"0.744";"15.183"
"2096";;"9.6";"0.506";"15.324"
"2097";;"9.48";"0.245";"15.455"
"2098";;"9.235";"-0.023";"15.577"
"2099";;"8.985";"-0.295";"15.697"
"2100";;"8.73";"-0.583";"15.807"
