Year;Obs;Median;"10%";"90%"
"1971";;"1.82";"-0.86";"3.732"
"1972";;"1.86";"-0.789";"3.727"
"1973";;"1.89";"-0.888";"3.72"
"1974";;"1.895";"-0.987";"3.694"
"1975";;"1.875";"-1.077";"3.65"
"1976";;"1.785";"-1.166";"3.234"
"1977";;"1.545";"-1.246";"2.824"
"1978";;"1.275";"-1.284";"2.546"
"1979";;"0.98";"-1.274";"2.346"
"1980";;"0.67";"-1.262";"2.186"
"1981";;"0.55";"-1.249";"2.03"
"1982";;"0.32";"-1.235";"1.833"
"1983";;"-0.03";"-1.219";"1.568"
"1984";;"-0.27";"-1.203";"1.252"
"1985";;"-0.415";"-1.464";"0.866"
"1986";;"-0.75";"-1.61";"0.447"
"1987";;"-1.13";"-1.715";"0.274"
"1988";;"-1.365";"-2.133";"-0.017"
"1989";;"-1.42";"-2.568";"-0.05"
"1990";;"-1.74";"-3.108";"-0.197"
"1991";;"-2.25";"-3.783";"-0.346"
"1992";;"-2.76";"-4.178";"-0.489"
"1993";;"-3.28";"-4.531";"-0.643"
"1994";;"-3.805";"-5.011";"-0.792"
"1995";;"-4.11";"-5.643";"-0.952"
"1996";;"-4.36";"-6.427";"-1.106"
"1997";;"-4.61";"-7.226";"-1.262"
"1998";;"-4.86";"-7.994";"-1.42"
"1999";;"-5.12";"-8.732";"-1.588"
"2000";;"-5.39";"-9.437";"-1.757"
"2001";;"-5.67";"-10.101";"-1.985"
"2002";;"-5.96";"-10.722";"-2.229"
"2003";;"-6.255";"-11.293";"-2.483"
"2004";;"-6.56";"-11.749";"-2.72"
"2005";;"-6.87";"-12.043";"-2.96"
"2006";;"-7.175";"-12.423";"-3.184"
"2007";;"-7.48";"-12.998";"-3.391"
"2008";;"-7.78";"-13.551";"-3.617"
"2009";;"-8.06";"-14.025";"-3.932"
"2010";;"-8.33";"-14.38";"-4.272"
"2011";;"-8.58";"-14.704";"-4.439"
"2012";;"-8.805";"-15.005";"-4.515"
"2013";;"-9.005";"-15.275";"-4.589"
"2014";;"-9.19";"-15.522";"-4.663"
"2015";;"-9.34";"-15.755";"-4.737"
"2016";;"-9.47";"-15.967";"-4.811"
"2017";;"-9.58";"-16.165";"-4.885"
"2018";;"-9.67";"-16.342";"-4.97"
"2019";;"-9.74";"-16.517";"-5.066"
