Year;Obs;Median;"10%";"90%"
"1971";;"-1.37";"-5.222";"2.906"
"1972";;"-1.38";"-5.072";"2.561"
"1973";;"-1.375";"-4.92";"2.235"
"1974";;"-1.555";"-4.661";"1.919"
"1975";;"-1.745";"-4.213";"1.631"
"1976";;"-1.75";"-3.755";"1.417"
"1977";;"-1.615";"-3.286";"1.213"
"1978";;"-1.475";"-3.041";"1.021"
"1979";;"-1.335";"-3.108";"0.84"
"1980";;"-1.195";"-3.129";"0.76"
"1981";;"-0.995";"-3.094";"0.651"
"1982";;"-0.655";"-2.995";"0.496"
"1983";;"-0.34";"-2.75";"0.365"
"1984";;"-0.065";"-2.448";"0.305"
"1985";;"-0.06";"-2.12";"0.601"
"1986";;"-0.06";"-1.783";"0.886"
"1987";;"-0.075";"-1.411";"1.114"
"1988";;"-0.095";"-0.854";"1.267"
"1989";;"-0.125";"-0.342";"1.354"
"1990";;"0.2";"-0.208";"1.367"
"1991";;"0.41";"-0.177";"1.429"
"1992";;"0.685";"-0.171";"2.253"
"1993";;"0.7";"-0.158";"2.833"
"1994";;"0.65";"-0.139";"3.453"
"1995";;"0.635";"-0.123";"4.104"
"1996";;"0.57";"-0.568";"4.793"
"1997";;"0.49";"-1.132";"5.482"
"1998";;"0.395";"-1.617";"6.17"
"1999";;"0.29";"-1.949";"6.83"
"2000";;"0.215";"-2.302";"7.458"
"2001";;"0.185";"-2.665";"8.028"
"2002";;"0.165";"-3.047";"8.529"
"2003";;"0.165";"-3.435";"8.959"
"2004";;"0.175";"-3.829";"9.3"
"2005";;"0.21";"-4.208";"9.542"
"2006";;"0.265";"-4.589";"9.702"
"2007";;"0.34";"-4.953";"9.771"
"2008";;"0.445";"-5.308";"9.747"
"2009";;"0.58";"-5.635";"9.649"
"2010";;"0.74";"-5.932";"9.495"
"2011";;"0.93";"-6.211";"9.275"
"2012";;"1.23";"-6.46";"9.026"
"2013";;"1.555";"-6.682";"8.748"
"2014";;"1.9";"-6.868";"8.469"
"2015";;"2.295";"-7.028";"8.19"
"2016";;"2.71";"-7.164";"7.921"
"2017";;"3.155";"-7.259";"7.691"
"2018";;"3.61";"-7.028";"7.493"
"2019";;"4.075";"-7.217";"7.327"
"2020";;"4.53";"-7.358";"7.214"
"2021";;"4.975";"-7.459";"7.147"
"2022";;"5.295";"-7.511";"7.128"
"2023";;"5.525";"-7.466";"7.446"
"2024";;"5.76";"-7.363";"7.823"
"2025";;"6.0";"-7.219";"8.244"
"2026";;"6.18";"-7.025";"8.5"
"2027";;"6.36";"-6.781";"8.837"
"2028";;"6.495";"-6.496";"9.122"
"2029";;"6.54";"-6.171";"9.356"
"2030";;"6.635";"-5.816";"9.529"
"2031";;"6.78";"-5.421";"9.651"
"2032";;"6.96";"-4.997";"9.722"
"2033";;"7.18";"-4.572";"9.741"
"2034";;"7.42";"-4.128";"9.711"
"2035";;"7.675";"-3.684";"9.64"
"2036";;"7.935";"-3.251";"9.528"
"2037";;"8.18";"-2.838";"9.387"
"2038";;"8.37";"-2.455";"9.215"
"2039";;"8.51";"-2.094";"9.013"
"2040";;"8.595";"-1.782";"8.954"
"2041";;"8.565";"-1.501";"8.865"
"2042";;"8.515";"-1.271";"8.966"
"2043";;"8.52";"-1.081";"9.173"
"2044";;"8.45";"-0.923";"9.357"
"2045";;"8.33";"-0.814";"9.423"
"2046";;"8.17";"-0.726";"9.657"
"2047";;"8.0";"-0.659";"9.858"
"2048";;"7.835";"-0.612";"10.009"
"2049";;"7.675";"-0.574";"10.126"
"2050";;"7.525";"-0.545";"10.29"
"2051";;"7.395";"-0.496";"10.59"
"2052";;"7.28";"-0.444";"10.889"
"2053";;"7.19";"-0.363";"11.186"
"2054";;"7.12";"-0.268";"11.471"
"2055";;"7.075";"-0.142";"11.735"
"2056";;"7.045";"0.007";"11.966"
"2057";;"7.035";"0.189";"12.175"
"2058";;"7.025";"0.124";"12.341"
"2059";;"6.915";"-0.036";"12.466"
"2060";;"6.78";"-0.226";"12.566"
"2061";;"6.635";"-0.422";"12.625"
"2062";;"6.52";"-0.487";"12.651"
"2063";;"6.435";"-0.127";"12.646"
"2064";;"6.385";"0.251";"12.629"
"2065";;"6.38";"0.638";"12.582"
"2066";;"6.425";"1.01";"12.535"
"2067";;"6.51";"1.365";"12.478"
"2068";;"6.65";"1.696";"12.423"
"2069";;"6.855";"1.994";"12.379"
"2070";;"7.14";"2.25";"12.347"
"2071";;"7.43";"2.463";"12.328"
"2072";;"7.765";"2.616";"12.332"
"2073";;"7.94";"2.718";"12.358"
"2074";;"8.11";"2.768";"12.408"
"2075";;"8.28";"2.774";"12.471"
"2076";;"8.445";"2.729";"12.727"
"2077";;"8.605";"2.639";"12.96"
"2078";;"8.74";"2.522";"13.161"
"2079";;"8.855";"2.379";"13.31"
"2080";;"8.945";"2.227";"13.407"
"2081";;"9.0";"2.073";"13.451"
"2082";;"9.015";"1.91";"13.425"
"2083";;"8.995";"1.772";"13.47"
"2084";;"8.935";"1.641";"13.623"
"2085";;"8.84";"1.536";"13.766"
"2086";;"8.7";"1.455";"13.917"
"2087";;"8.535";"1.4";"14.059"
"2088";;"8.345";"1.378";"14.199"
"2089";;"8.18";"1.382";"14.338"
"2090";;"7.995";"1.41";"14.477"
"2091";;"7.795";"1.465";"14.614"
"2092";;"7.58";"1.545";"14.75"
"2093";;"7.36";"1.633";"14.877"
"2094";;"7.135";"1.738";"15.003"
"2095";;"6.915";"1.862";"15.129"
"2096";;"6.695";"1.985";"15.253"
"2097";;"6.485";"2.117";"15.369"
"2098";;"6.29";"2.25";"15.484"
"2099";;"6.25";"2.392";"15.598"
"2100";;"6.22";"2.526";"15.704"
