Year;Obs;Median;"10%";"90%"
"1971";;"-1.13";"-3.688";"1.205"
"1972";;"-1.03";"-3.826";"1.239"
"1973";;"-1.095";"-3.909";"1.282"
"1974";;"-1.065";"-3.947";"1.325"
"1975";;"-1.015";"-3.921";"1.367"
"1976";;"-0.945";"-3.84";"1.408"
"1977";;"-0.88";"-3.687";"1.43"
"1978";;"-0.965";"-3.478";"1.433"
"1979";;"-1.05";"-3.205";"1.417"
"1980";;"-1.13";"-2.914";"1.236"
"1981";;"-1.2";"-2.71";"0.979"
"1982";;"-1.26";"-2.479";"0.897"
"1983";;"-1.195";"-2.498";"1.046"
"1984";;"-1.0";"-2.07";"0.948"
"1985";;"-0.95";"-1.979";"0.784"
"1986";;"-0.61";"-1.992";"0.582"
"1987";;"-0.57";"-1.936";"0.939"
"1988";;"-0.24";"-1.829";"1.494"
"1989";;"-0.075";"-1.653";"1.969"
"1990";;"-0.01";"-1.418";"2.179"
"1991";;"0.145";"-1.313";"2.845"
"1992";;"0.61";"-0.997";"3.516"
"1993";;"1.18";"-0.943";"4.114"
"1994";;"1.85";"-0.795";"4.546"
"1995";;"2.515";"-0.417";"4.918"
"1996";;"3.1";"0.07";"5.24"
"1997";;"3.745";"0.665";"5.807"
"1998";;"4.45";"1.359";"6.646"
"1999";;"5.2";"1.828";"7.549"
"2000";;"5.66";"2.169";"8.482"
"2001";;"5.96";"2.452";"9.399"
"2002";;"6.26";"2.686";"10.297"
"2003";;"6.59";"2.868";"11.155"
"2004";;"7.17";"3.328";"11.964"
"2005";;"7.54";"3.493";"12.702"
"2006";;"7.845";"3.645";"13.359"
"2007";;"8.085";"3.786";"14.015"
"2008";;"8.26";"3.917";"14.802"
"2009";;"8.365";"4.066";"15.495"
"2010";;"8.585";"4.235";"16.095"
"2011";;"8.775";"4.425";"16.591"
"2012";;"8.86";"4.656";"16.994"
"2013";;"8.835";"4.92";"17.304"
"2014";;"8.715";"5.153";"17.532"
"2015";;"8.705";"5.106";"17.707"
"2016";;"8.685";"5.11";"17.671"
"2017";;"8.66";"5.157";"17.451"
"2018";;"8.64";"5.247";"17.196"
"2019";;"8.635";"5.234";"17.599"
"2020";;"8.65";"5.442";"18.079"
"2021";;"9.09";"5.524";"18.529"
"2022";;"9.665";"5.623";"18.942"
"2023";;"10.265";"5.749";"19.309"
"2024";;"10.885";"5.884";"19.641"
"2025";;"11.285";"5.614";"19.92"
"2026";;"11.435";"5.203";"20.164"
"2027";;"11.595";"4.811";"20.362"
"2028";;"11.77";"4.448";"20.512"
"2029";;"11.955";"4.107";"20.623"
"2030";;"12.425";"3.795";"20.683"
"2031";;"12.905";"3.505";"20.707"
"2032";;"13.375";"3.253";"20.684"
"2033";;"13.84";"3.032";"20.621"
"2034";;"14.3";"2.851";"20.525"
"2035";;"14.66";"2.708";"21.078"
"2036";;"14.905";"2.605";"21.721"
"2037";;"15.165";"2.559";"22.326"
"2038";;"15.44";"2.552";"22.876"
"2039";;"15.735";"2.611";"23.371"
"2040";;"16.055";"2.718";"23.821"
"2041";;"16.405";"2.882";"24.235"
"2042";;"16.785";"3.112";"24.616"
"2043";;"16.975";"3.39";"24.964"
"2044";;"17.03";"3.735";"25.3"
"2045";;"17.54";"4.129";"25.616"
"2046";;"18.23";"4.571";"25.922"
"2047";;"18.96";"5.071";"26.222"
"2048";;"19.635";"5.602";"26.515"
"2049";;"20.155";"6.183";"26.803"
"2050";;"20.67";"6.795";"27.077"
"2051";;"21.16";"7.438";"27.33"
"2052";;"21.63";"8.094";"27.561"
"2053";;"22.21";"8.78";"27.761"
"2054";;"22.645";"9.469";"27.93"
"2055";;"22.875";"10.161";"28.057"
"2056";;"23.05";"10.855";"28.134"
"2057";;"23.17";"10.479";"28.573"
"2058";;"23.25";"10.158";"29.336"
"2059";;"23.28";"9.89";"30.072"
"2060";;"23.28";"9.711";"30.742"
"2061";;"23.25";"9.621";"31.355"
"2062";;"23.205";"9.628";"31.89"
"2063";;"23.14";"9.759";"32.339"
"2064";;"22.965";"10.004";"32.699"
"2065";;"22.7";"10.364";"32.952"
"2066";;"22.485";"10.838";"33.116"
"2067";;"22.325";"11.417";"33.172"
"2068";;"22.205";"12.101";"33.13"
"2069";;"22.19";"12.864";"33.008"
"2070";;"22.295";"13.696";"32.789"
"2071";;"22.385";"14.58";"32.502"
"2072";;"22.46";"15.497";"32.149"
"2073";;"22.51";"16.412";"31.748"
"2074";;"22.685";"17.317";"31.301"
"2075";;"22.915";"18.183";"30.829"
"2076";;"23.17";"18.985";"30.351"
"2077";;"23.44";"19.507";"29.859"
"2078";;"23.715";"19.515";"29.382"
"2079";;"24.04";"19.496";"29.091"
"2080";;"24.905";"19.468";"29.103"
"2081";;"25.83";"19.441";"29.194"
"2082";;"26.71";"19.435";"29.382"
"2083";;"26.895";"19.449";"29.647"
"2084";;"27.085";"19.502";"29.989"
"2085";;"27.26";"19.605";"30.399"
"2086";;"27.425";"19.765";"30.865"
"2087";;"27.57";"19.975";"31.379"
"2088";;"27.7";"19.857";"31.928"
"2089";;"27.8";"19.463";"32.486"
"2090";;"27.88";"19.002";"33.043"
"2091";;"27.935";"18.445";"33.597"
"2092";;"27.965";"17.892";"34.121"
"2093";;"27.975";"17.581";"34.566"
"2094";;"27.96";"17.536";"34.652"
"2095";;"27.93";"17.125";"34.688"
"2096";;"27.885";"16.747";"34.674"
"2097";;"27.825";"16.392";"34.761"
"2098";;"27.755";"16.078";"34.905"
"2099";;"27.675";"15.797";"34.999"
"2100";;"27.81";"15.549";"35.022"
