Year;Obs;Median;"10%";"90%"
"1917";"-1.72";;;
"1918";"-1.8";;;
"1919";"-1.88";;;
"1920";"-1.96";;;
"1921";"-2.06";;;
"1922";"-2.16";;;
"1923";"-2.27";;;
"1924";"-2.38";;;
"1925";"-2.49";;;
"1926";"-2.6";;;
"1927";"-2.72";;;
"1928";"-2.83";;;
"1929";"-2.94";;;
"1930";"-3.04";;;
"1931";"-3.13";;;
"1932";"-3.21";;;
"1933";"-3.28";;;
"1934";"-3.33";;;
"1935";"-3.36";;;
"1936";"-3.38";;;
"1937";"-3.38";;;
"1938";"-3.37";;;
"1939";"-3.34";;;
"1940";"-3.31";;;
"1941";"-3.26";;;
"1942";"-3.22";;;
"1943";"-3.17";;;
"1944";"-3.13";;;
"1945";"-3.1";;;
"1946";"-3.08";;;
"1947";"-3.08";;;
"1948";"-3.09";;;
"1949";"-3.12";;;
"1950";"-3.18";;;
"1951";"-3.25";;;
"1952";"-3.34";;;
"1953";"-3.45";;;
"1954";"-3.56";;;
"1955";"-3.68";;;
"1956";"-3.81";;;
"1957";"-3.94";;;
"1958";"-4.06";;;
"1959";"-4.18";;;
"1960";"-4.28";;;
"1961";"-4.37";;;
"1962";"-4.45";;;
"1963";"-4.52";;;
"1964";"-4.57";;;
"1965";"-4.6";;;
"1966";"-4.62";;;
"1967";"-4.62";;;
"1968";"-4.6";;;
"1969";"-4.57";;;
"1970";"-4.52";;;
"1971";"-4.44";"-0.382";"-2.401";"1.186"
"1972";"-4.35";"-0.388";"-2.236";"1.026"
"1973";"-4.23";"-0.42";"-1.984";"0.865"
"1974";"-4.08";"-0.465";"-1.735";"0.704"
"1975";"-3.91";"-0.515";"-1.493";"0.617"
"1976";"-3.72";"-0.466";"-1.259";"0.529"
"1977";"-3.5";"-0.421";"-1.039";"0.438"
"1978";"-3.25";"-0.382";"-0.927";"0.345"
"1979";"-2.98";"-0.335";"-0.994";"0.248"
"1980";"-2.68";"-0.348";"-1.016";"0.147"
"1981";"-2.37";"-0.265";"-0.892";"0.041"
"1982";"-2.05";"-0.152";"-0.772";"-0.017"
"1983";"-1.72";"-0.163";"-0.747";"0.052"
"1984";"-1.38";"-0.211";"-0.833";"-0.003"
"1985";"-1.05";"-0.317";"-0.906";"0.022"
"1986";"-0.72";"-0.334";"-0.964";"0.043"
"1987";"-0.41";"-0.341";"-1.007";"0.058"
"1988";"-0.12";"-0.356";"-1.034";"0.086"
"1989";"0.15";"-0.37";"-1.129";"0.19"
"1990";"0.4";"-0.417";"-1.137";"0.287"
"1991";"0.61";"-0.511";"-1.074";"0.379"
"1992";"0.8";"-0.609";"-1.077";"0.467"
"1993";"0.95";"-0.664";"-1.072";"0.55"
"1994";"1.08";"-0.597";"-1.059";"0.63"
"1995";"1.18";"-0.544";"-1.056";"0.708"
"1996";"1.25";"-0.595";"-1.169";"0.783"
"1997";"1.31";"-0.642";"-1.279";"0.857"
"1998";"1.34";"-0.657";"-1.382";"0.929"
"1999";"1.36";"-0.665";"-1.477";"1.0"
"2000";"1.37";"-0.669";"-1.563";"1.069"
"2001";"1.36";"-0.666";"-1.638";"1.136"
"2002";"1.35";"-0.656";"-1.703";"1.2"
"2003";"1.33";"-0.637";"-1.754";"1.261"
"2004";"1.32";"-0.606";"-1.791";"1.316"
"2005";"1.3";"-0.563";"-1.813";"1.365"
"2006";"1.27";"-0.506";"-1.818";"1.406"
"2007";"1.25";"-0.435";"-1.806";"1.438"
"2008";"1.24";"-0.35";"-1.858";"1.458"
"2009";"1.22";"-0.26";"-2.034";"1.464"
"2010";"1.2";"-0.184";"-2.216";"1.455"
"2011";"1.18";"-0.088";"-2.399";"1.429"
"2012";;"-0.063";"-2.576";"1.384"
"2013";;"-0.064";"-2.74";"1.319"
"2014";;"-0.061";"-2.883";"1.232"
"2015";;"-0.047";"-2.999";"1.122"
"2016";;"0.124";"-3.081";"0.99"
"2017";;"0.304";"-3.125";"1.034"
"2018";;"0.411";"-3.125";"1.167"
"2019";;"0.442";"-3.08";"1.126"
"2020";;"0.664";"-2.987";"1.184"
"2021";;"0.702";"-2.847";"1.223"
"2022";;"0.71";"-2.661";"1.451"
"2023";;"0.615";"-2.433";"1.787"
"2024";;"0.515";"-2.166";"1.91"
"2025";;"0.393";"-1.867";"2.274"
"2026";;"0.265";"-1.86";"2.643"
"2027";;"0.133";"-1.862";"3.014"
"2028";;"0.072";"-1.93";"3.379"
"2029";;"0.166";"-2.074";"3.733"
"2030";;"0.24";"-2.186";"4.066"
"2031";;"0.292";"-2.263";"4.372"
"2032";;"0.206";"-2.301";"4.642"
"2033";;"0.026";"-2.198";"4.87"
"2034";;"-0.159";"-2.033";"5.048"
"2035";;"-0.266";"-1.885";"5.171"
"2036";;"-0.178";"-1.756";"5.236"
"2037";;"-0.071";"-1.903";"5.239"
"2038";;"0.051";"-1.745";"5.18"
"2039";;"0.189";"-1.623";"5.061"
"2040";;"0.339";"-1.637";"4.884"
"2041";;"0.5";"-1.666";"4.654"
"2042";;"0.67";"-1.709";"4.377"
"2043";;"0.848";"-1.759";"4.06"
"2044";;"1.032";"-1.816";"3.711"
