Year;Obs;Median;"10%";"90%"
"1917";"-4.09";;;
"1918";"-4.34";;;
"1919";"-4.59";;;
"1920";"-4.83";;;
"1921";"-5.07";;;
"1922";"-5.29";;;
"1923";"-5.5";;;
"1924";"-5.7";;;
"1925";"-5.87";;;
"1926";"-6.02";;;
"1927";"-6.14";;;
"1928";"-6.23";;;
"1929";"-6.28";;;
"1930";"-6.3";;;
"1931";"-6.28";;;
"1932";"-6.23";;;
"1933";"-6.13";;;
"1934";"-6.0";;;
"1935";"-5.84";;;
"1936";"-5.65";;;
"1937";"-5.44";;;
"1938";"-5.22";;;
"1939";"-4.98";;;
"1940";"-4.75";;;
"1941";"-4.53";;;
"1942";"-4.32";;;
"1943";"-4.14";;;
"1944";"-3.99";;;
"1945";"-3.87";;;
"1946";"-3.8";;;
"1947";"-3.77";;;
"1948";"-3.77";;;
"1949";"-3.82";;;
"1950";"-3.91";;;
"1951";"-4.02";;;
"1952";"-4.16";;;
"1953";"-4.32";;;
"1954";"-4.49";;;
"1955";"-4.66";;;
"1956";"-4.82";;;
"1957";"-4.97";;;
"1958";"-5.1";;;
"1959";"-5.21";;;
"1960";"-5.29";;;
"1961";"-5.35";;;
"1962";"-5.37";;;
"1963";"-5.37";;;
"1964";"-5.34";;;
"1965";"-5.29";;;
"1966";"-5.22";;;
"1967";"-5.13";;;
"1968";"-5.03";;;
"1969";"-4.92";;;
"1970";"-4.81";;;
"1971";"-4.69";"-0.195";"-4.268";"1.667"
"1972";"-4.57";"-0.135";"-4.016";"1.356"
"1973";"-4.45";"-0.115";"-3.754";"1.044"
"1974";"-4.32";"-0.1";"-3.482";"0.749"
"1975";"-4.19";"-0.1";"-3.199";"0.462"
"1976";"-4.05";"-0.18";"-2.905";"0.264"
"1977";"-3.9";"-0.285";"-2.601";"0.294"
"1978";"-3.74";"-0.44";"-2.295";"0.06"
"1979";"-3.56";"-0.575";"-1.988";"-0.142"
"1980";"-3.37";"-0.57";"-1.687";"-0.22"
"1981";"-3.16";"-0.71";"-1.385";"-0.184"
"1982";"-2.94";"-0.615";"-1.315";"-0.043"
"1983";"-2.7";"-0.62";"-1.379";"0.113"
"1984";"-2.45";"-0.595";"-1.442";"0.267"
"1985";"-2.19";"-0.585";"-1.503";"0.253"
"1986";"-1.93";"-0.56";"-1.44";"0.436"
"1987";"-1.67";"-0.515";"-1.442";"0.693"
"1988";"-1.43";"-0.315";"-1.421";"0.935"
"1989";"-1.2";"-0.115";"-1.385";"1.171"
"1990";"-1.0";"0.045";"-1.275";"1.392"
"1991";"-0.83";"0.04";"-1.079";"1.59"
"1992";"-0.7";"0.06";"-0.854";"1.764"
"1993";"-0.6";"0.16";"-0.845";"1.914"
"1994";"-0.55";"0.38";"-0.826";"2.041"
"1995";"-0.55";"0.73";"-0.817";"2.234"
"1996";"-0.59";"1.22";"-0.782";"2.663"
"1997";"-0.67";"1.585";"-0.805";"3.112"
"1998";"-0.79";"1.8";"-0.834";"3.553"
"1999";"-0.95";"1.89";"-0.856";"3.994"
"2000";"-1.14";"2.105";"-0.872";"4.425"
"2001";"-1.36";"2.33";"-0.888";"5.042"
"2002";"-1.6";"2.56";"-0.887";"5.629"
"2003";"-1.86";"2.775";"-0.884";"6.177"
"2004";"-2.13";"2.985";"-0.861";"6.665"
"2005";"-2.42";"3.175";"-0.925";"7.075"
"2006";"-2.7";"3.33";"-1.435";"7.408"
"2007";"-2.99";"3.465";"-1.939";"7.644"
"2008";"-3.28";"3.555";"-2.428";"7.784"
"2009";"-3.56";"3.61";"-2.884";"7.827"
"2010";"-3.84";"3.62";"-3.305";"7.766"
"2011";"-4.11";"3.595";"-3.666";"7.609"
"2012";;"3.525";"-3.965";"7.358"
"2013";;"3.415";"-4.204";"7.031"
"2014";;"3.275";"-4.373";"6.639"
"2015";;"3.1";"-4.482";"6.19"
"2016";;"2.905";"-4.386";"5.92"
"2017";;"2.68";"-4.073";"5.757"
"2018";;"2.435";"-3.718";"5.596"
"2019";;"2.18";"-3.348";"5.435"
"2020";;"2.095";"-2.965";"5.294"
"2021";;"2.09";"-2.579";"5.173"
"2022";;"1.98";"-2.198";"5.082"
