Year;Obs;Median;"10%";"90%"
"1917";"-4.09";;;
"1918";"-4.34";;;
"1919";"-4.59";;;
"1920";"-4.83";;;
"1921";"-5.07";;;
"1922";"-5.29";;;
"1923";"-5.5";;;
"1924";"-5.7";;;
"1925";"-5.87";;;
"1926";"-6.02";;;
"1927";"-6.14";;;
"1928";"-6.23";;;
"1929";"-6.28";;;
"1930";"-6.3";;;
"1931";"-6.28";;;
"1932";"-6.23";;;
"1933";"-6.13";;;
"1934";"-6.0";;;
"1935";"-5.84";;;
"1936";"-5.65";;;
"1937";"-5.44";;;
"1938";"-5.22";;;
"1939";"-4.98";;;
"1940";"-4.75";;;
"1941";"-4.53";;;
"1942";"-4.32";;;
"1943";"-4.14";;;
"1944";"-3.99";;;
"1945";"-3.87";;;
"1946";"-3.8";;;
"1947";"-3.77";;;
"1948";"-3.77";;;
"1949";"-3.82";;;
"1950";"-3.91";;;
"1951";"-4.02";;;
"1952";"-4.16";;;
"1953";"-4.32";;;
"1954";"-4.49";;;
"1955";"-4.66";;;
"1956";"-4.82";;;
"1957";"-4.97";;;
"1958";"-5.1";;;
"1959";"-5.21";;;
"1960";"-5.29";;;
"1961";"-5.35";;;
"1962";"-5.37";;;
"1963";"-5.37";;;
"1964";"-5.34";;;
"1965";"-5.29";;;
"1966";"-5.22";;;
"1967";"-5.13";;;
"1968";"-5.03";;;
"1969";"-4.92";;;
"1970";"-4.81";;;
"1971";"-4.69";"-0.195";"-4.267";"1.667"
"1972";"-4.57";"-0.135";"-4.016";"1.356"
"1973";"-4.45";"-0.12";"-3.754";"1.052"
"1974";"-4.32";"-0.105";"-3.481";"0.748"
"1975";"-4.19";"-0.11";"-3.198";"0.461"
"1976";"-4.05";"-0.19";"-2.905";"0.244"
"1977";"-3.9";"-0.285";"-2.6";"0.274"
"1978";"-3.74";"-0.445";"-2.294";"0.03"
"1979";"-3.56";"-0.58";"-1.986";"-0.128"
"1980";"-3.37";"-0.61";"-1.675";"-0.207"
"1981";"-3.16";"-0.735";"-1.363";"-0.227"
"1982";"-2.94";"-0.685";"-1.292";"-0.098"
"1983";"-2.7";"-0.64";"-1.444";"0.028"
"1984";"-2.45";"-0.62";"-1.576";"0.16"
"1985";"-2.19";"-0.615";"-1.68";"0.176"
"1986";"-1.93";"-0.595";"-1.36";"0.427"
"1987";"-1.67";"-0.56";"-1.351";"0.671"
"1988";"-1.43";"-0.5";"-1.348";"0.867"
"1989";"-1.2";"-0.445";"-1.377";"1.071"
"1990";"-1.0";"-0.355";"-1.356";"1.291"
"1991";"-0.83";"-0.255";"-1.306";"1.508"
"1992";"-0.7";"-0.14";"-1.341";"1.759"
"1993";"-0.6";"-0.01";"-1.446";"2.022"
"1994";"-0.55";"-0.03";"-1.513";"2.301"
"1995";"-0.55";"-0.085";"-1.398";"2.567"
"1996";"-0.59";"-0.115";"-1.237";"2.837"
"1997";"-0.67";"-0.045";"-1.072";"3.094"
"1998";"-0.79";"0.165";"-0.904";"3.345"
"1999";"-0.95";"0.365";"-1.012";"3.563"
"2000";"-1.14";"0.555";"-1.274";"3.776"
"2001";"-1.36";"0.73";"-1.175";"3.956"
"2002";"-1.6";"0.88";"-1.059";"4.113"
"2003";"-1.86";"1.01";"-0.934";"4.246"
"2004";"-2.13";"1.115";"-0.8";"4.357"
"2005";"-2.42";"1.295";"-0.799";"4.406"
"2006";"-2.7";"1.505";"-0.987";"4.291"
"2007";"-2.99";"1.705";"-1.198";"4.149"
"2008";"-3.28";"1.805";"-1.416";"3.989"
"2009";"-3.56";"1.85";"-1.657";"3.811"
"2010";"-3.84";"1.865";"-1.903";"3.706"
"2011";"-4.11";"1.855";"-2.144";"3.953"
"2012";;"1.815";"-2.381";"4.22"
"2013";;"1.845";"-2.603";"4.487"
"2014";;"1.86";"-2.801";"4.782"
"2015";;"1.87";"-2.975";"5.095"
"2016";;"1.855";"-3.108";"5.426"
"2017";;"1.59";"-3.208";"5.782"
"2018";;"1.315";"-3.266";"6.173"
"2019";;"1.035";"-3.274";"6.323"
"2020";;"0.75";"-3.232";"6.434"
"2021";;"0.475";"-3.15";"6.503"
"2022";;"0.2";"-2.94";"6.53"
