Year;Obs;Median;"10%";"90%"
"1917";"3.99";;;
"1918";"4.35";;;
"1919";"4.7";;;
"1920";"5.03";;;
"1921";"5.35";;;
"1922";"5.64";;;
"1923";"5.91";;;
"1924";"6.14";;;
"1925";"6.34";;;
"1926";"6.49";;;
"1927";"6.6";;;
"1928";"6.67";;;
"1929";"6.68";;;
"1930";"6.66";;;
"1931";"6.58";;;
"1932";"6.47";;;
"1933";"6.32";;;
"1934";"6.13";;;
"1935";"5.92";;;
"1936";"5.7";;;
"1937";"5.46";;;
"1938";"5.22";;;
"1939";"4.98";;;
"1940";"4.76";;;
"1941";"4.55";;;
"1942";"4.35";;;
"1943";"4.18";;;
"1944";"4.03";;;
"1945";"3.9";;;
"1946";"3.8";;;
"1947";"3.71";;;
"1948";"3.63";;;
"1949";"3.56";;;
"1950";"3.49";;;
"1951";"3.43";;;
"1952";"3.36";;;
"1953";"3.28";;;
"1954";"3.18";;;
"1955";"3.07";;;
"1956";"2.93";;;
"1957";"2.77";;;
"1958";"2.57";;;
"1959";"2.35";;;
"1960";"2.09";;;
"1961";"1.8";;;
"1962";"1.47";;;
"1963";"1.12";;;
"1964";"0.75";;;
"1965";"0.36";;;
"1966";"-0.04";;;
"1967";"-0.44";;;
"1968";"-0.83";;;
"1969";"-1.19";;;
"1970";"-1.51";;;
"1971";"-1.79";"-0.045";"-1.396";"3.08"
"1972";"-2.02";"-0.09";"-1.488";"3.091"
"1973";"-2.18";"-0.12";"-1.506";"2.868"
"1974";"-2.26";"-0.15";"-1.379";"2.633"
"1975";"-2.28";"-0.155";"-1.268";"2.402"
"1976";"-2.22";"-0.075";"-1.145";"2.176"
"1977";"-2.08";"-0.025";"-1.039";"1.946"
"1978";"-1.88";"0.02";"-0.938";"1.71"
"1979";"-1.62";"0.11";"-0.844";"1.487"
"1980";"-1.31";"0.18";"-0.764";"1.268"
"1981";"-0.96";"0.24";"-0.879";"1.053"
"1982";"-0.58";"0.28";"-1.009";"0.896"
"1983";"-0.19";"0.285";"-1.108";"0.969"
"1984";"0.22";"0.205";"-0.985";"1.038"
"1985";"0.62";"0.13";"-0.812";"1.095"
"1986";"1.01";"0.06";"-0.781";"0.749"
"1987";"1.39";"-0.03";"-0.728";"0.577"
"1988";"1.75";"-0.225";"-0.664";"0.539"
"1989";"2.1";"-0.44";"-0.695";"0.86"
"1990";"2.42";"-0.445";"-1.066";"1.296"
"1991";"2.73";"-0.435";"-1.142";"1.503"
"1992";"3.02";"-0.42";"-1.338";"1.586"
"1993";"3.31";"-0.395";"-1.629";"1.672"
"1994";"3.59";"-0.32";"-1.924";"1.761"
"1995";"3.87";"-0.27";"-2.213";"1.861"
"1996";"4.15";"-0.22";"-2.497";"1.97"
"1997";"4.44";"-0.165";"-2.752";"2.09"
"1998";"4.73";"-0.115";"-2.817";"2.226"
"1999";"5.04";"-0.075";"-2.853";"2.379"
"2000";"5.35";"-0.045";"-2.852";"2.555"
"2001";"5.68";"-0.02";"-2.822";"2.746"
"2002";"6.02";"-0.01";"-2.771";"2.95"
"2003";"6.37";"-0.015";"-2.726";"3.166"
"2004";"6.72";"-0.04";"-2.841";"3.401"
"2005";"7.08";"-0.085";"-2.924";"3.656"
"2006";"7.45";"-0.145";"-2.986";"3.912"
"2007";"7.82";"-0.22";"-3.008";"4.176"
"2008";"8.19";"-0.31";"-2.99";"4.45"
"2009";"8.55";"-0.415";"-2.941";"4.733"
"2010";"8.92";"-0.48";"-2.852";"5.015"
"2011";"9.28";"-0.515";"-2.741";"5.299"
"2012";;"-0.565";"-2.591";"5.583"
"2013";;"-0.62";"-2.663";"5.852"
"2014";;"-0.68";"-2.777";"6.124"
"2015";;"-0.67";"-2.854";"6.373"
"2016";;"-0.62";"-2.91";"6.61"
"2017";;"-0.57";"-2.93";"6.828"
"2018";;"-0.52";"-2.858";"6.443"
"2019";;"-0.465";"-2.622";"6.62"
"2020";;"-0.405";"-2.562";"6.776"
"2021";;"-0.34";"-2.615";"6.9"
"2022";;"-0.26";"-2.614";"6.984"
"2023";;"-0.33";"-2.457";"7.027"
"2024";;"-0.445";"-2.261";"7.03"
"2025";;"-0.56";"-2.172";"7.0"
"2026";;"-0.635";"-2.206";"6.93"
"2027";;"-0.57";"-2.257";"6.838"
"2028";;"-0.505";"-2.305";"6.715"
"2029";;"-0.43";"-2.351";"6.57"
"2030";;"-0.15";"-2.404";"6.404"
"2031";;"0.12";"-2.344";"6.226"
"2032";;"0.385";"-2.243";"6.037"
"2033";;"0.625";"-2.132";"6.216"
"2034";;"0.85";"-2.011";"6.135"
"2035";;"1.04";"-2.077";"5.92"
"2036";;"1.2";"-2.179";"5.707"
"2037";;"1.335";"-2.279";"5.494"
"2038";;"1.425";"-2.369";"5.28"
"2039";;"1.48";"-2.44";"5.064"
"2040";;"1.505";"-2.492";"4.908"
"2041";;"1.49";"-2.517";"4.765"
"2042";;"1.45";"-2.524";"4.635"
"2043";;"1.385";"-2.487";"4.5"
"2044";;"1.305";"-2.423";"4.368"
"2045";;"1.14";"-2.324";"4.249"
"2046";;"0.87";"-2.19";"4.143"
"2047";;"0.615";"-2.012";"4.05"
"2048";;"0.63";"-1.818";"3.97"
"2049";;"0.74";"-1.632";"3.905"
"2050";;"0.88";"-1.69";"3.864"
"2051";;"0.895";"-1.757";"3.83"
"2052";;"0.685";"-1.822";"3.82"
"2053";;"0.495";"-1.886";"3.818"
"2054";;"0.33";"-1.948";"4.265"
"2055";;"0.37";"-2.016";"4.738"
"2056";;"0.425";"-2.081";"5.166"
"2057";;"0.48";"-2.161";"5.538"
"2058";;"0.52";"-2.238";"5.837"
"2059";;"0.545";"-2.32";"6.081"
"2060";;"0.555";"-2.161";"6.252"
"2061";;"0.56";"-2.155";"6.349"
"2062";;"0.55";"-2.311";"6.39"
"2063";;"0.53";"-2.485";"6.366"
"2064";;"0.505";"-2.676";"6.295"
"2065";;"0.48";"-2.875";"6.186"
"2066";;"0.45";"-3.08";"6.048"
"2067";;"0.43";"-3.138";"5.89"
"2068";;"0.615";"-3.169";"5.721"
"2069";;"0.815";"-3.162";"5.559"
"2070";;"0.825";"-3.118";"5.414"
"2071";;"0.82";"-3.035";"5.285"
"2072";;"0.815";"-2.912";"5.173"
"2073";;"0.805";"-2.759";"5.096"
"2074";;"0.79";"-2.747";"5.055"
"2075";;"0.785";"-2.865";"5.337"
"2076";;"0.795";"-2.935";"5.673"
"2077";;"0.81";"-2.938";"5.991"
"2078";;"0.955";"-2.893";"6.273"
"2079";;"1.2";"-2.783";"6.519"
"2080";;"1.425";"-2.617";"6.721"
"2081";;"1.59";"-2.413";"6.887"
"2082";;"1.77";"-2.181";"7.001"
"2083";;"1.94";"-2.254";"7.063"
"2084";;"2.095";"-2.301";"7.09"
"2085";;"2.24";"-2.312";"7.073"
"2086";;"2.37";"-2.278";"7.014"
"2087";;"2.48";"-2.218";"7.136"
"2088";;"2.6";"-2.132";"7.531"
"2089";;"2.795";"-2.019";"7.919"
"2090";;"3.055";"-1.88";"8.29"
"2091";;"3.315";"-1.715";"8.645"
"2092";;"3.56";"-1.532";"8.984"
"2093";;"3.79";"-1.34";"9.306"
"2094";;"4.015";"-1.14";"9.387"
"2095";;"4.185";"-0.931";"9.418"
"2096";;"4.275";"-0.713";"9.455"
"2097";;"4.365";"-0.495";"9.491"
"2098";;"4.45";"-0.267";"9.659"
"2099";;"4.53";"-0.04";"9.978"
"2100";;"4.61";"0.187";"10.295"
