Year;Obs;Median;"10%";"90%"
"1917";"3.99";;;
"1918";"4.35";;;
"1919";"4.7";;;
"1920";"5.03";;;
"1921";"5.35";;;
"1922";"5.64";;;
"1923";"5.91";;;
"1924";"6.14";;;
"1925";"6.34";;;
"1926";"6.49";;;
"1927";"6.6";;;
"1928";"6.67";;;
"1929";"6.68";;;
"1930";"6.66";;;
"1931";"6.58";;;
"1932";"6.47";;;
"1933";"6.32";;;
"1934";"6.13";;;
"1935";"5.92";;;
"1936";"5.7";;;
"1937";"5.46";;;
"1938";"5.22";;;
"1939";"4.98";;;
"1940";"4.76";;;
"1941";"4.55";;;
"1942";"4.35";;;
"1943";"4.18";;;
"1944";"4.03";;;
"1945";"3.9";;;
"1946";"3.8";;;
"1947";"3.71";;;
"1948";"3.63";;;
"1949";"3.56";;;
"1950";"3.49";;;
"1951";"3.43";;;
"1952";"3.36";;;
"1953";"3.28";;;
"1954";"3.18";;;
"1955";"3.07";;;
"1956";"2.93";;;
"1957";"2.77";;;
"1958";"2.57";;;
"1959";"2.35";;;
"1960";"2.09";;;
"1961";"1.8";;;
"1962";"1.47";;;
"1963";"1.12";;;
"1964";"0.75";;;
"1965";"0.36";;;
"1966";"-0.04";;;
"1967";"-0.44";;;
"1968";"-0.83";;;
"1969";"-1.19";;;
"1970";"-1.51";;;
"1971";"-1.79";"-0.045";"-1.396";"3.08"
"1972";"-2.02";"-0.09";"-1.488";"3.091"
"1973";"-2.18";"-0.125";"-1.506";"2.868"
"1974";"-2.26";"-0.155";"-1.388";"2.633"
"1975";"-2.28";"-0.16";"-1.268";"2.402"
"1976";"-2.22";"-0.075";"-1.146";"2.176"
"1977";"-2.08";"-0.03";"-1.039";"1.946"
"1978";"-1.88";"0.02";"-0.939";"1.719"
"1979";"-1.62";"0.11";"-0.845";"1.488"
"1980";"-1.31";"0.185";"-0.811";"1.269"
"1981";"-0.96";"0.24";"-0.954";"1.054"
"1982";"-0.58";"0.285";"-1.112";"0.898"
"1983";"-0.19";"0.265";"-1.232";"0.98"
"1984";"0.22";"0.175";"-1.067";"1.049"
"1985";"0.62";"0.095";"-1.063";"1.107"
"1986";"1.01";"0.015";"-1.111";"0.786"
"1987";"1.39";"-0.055";"-1.167";"0.723"
"1988";"1.75";"-0.155";"-1.213";"0.721"
"1989";"2.1";"-0.355";"-1.277";"0.719"
"1990";"2.42";"-0.515";"-1.35";"0.958"
"1991";"2.73";"-0.605";"-1.442";"1.341"
"1992";"3.02";"-0.68";"-1.697";"1.589"
"1993";"3.31";"-0.765";"-1.955";"1.679"
"1994";"3.59";"-0.845";"-2.178";"1.76"
"1995";"3.87";"-0.92";"-2.351";"1.858"
"1996";"4.15";"-0.99";"-2.472";"1.955"
"1997";"4.44";"-1.05";"-2.632";"2.068"
"1998";"4.73";"-1.105";"-2.966";"2.195"
"1999";"5.04";"-1.15";"-3.321";"2.328"
"2000";"5.35";"-1.18";"-3.713";"2.474"
"2001";"5.68";"-1.2";"-4.124";"2.623"
"2002";"6.02";"-1.205";"-4.545";"2.776"
"2003";"6.37";"-1.175";"-4.974";"2.932"
"2004";"6.72";"-1.13";"-5.393";"3.081"
"2005";"7.08";"-1.075";"-5.8";"3.224"
"2006";"7.45";"-1.03";"-6.073";"3.361"
"2007";"7.82";"-0.985";"-6.305";"3.492"
"2008";"8.19";"-0.95";"-6.489";"3.6"
"2009";"8.55";"-0.92";"-6.621";"3.685"
"2010";"8.92";"-1.0";"-6.712";"3.766"
"2011";"9.28";"-1.115";"-6.742";"3.826"
"2012";;"-1.23";"-6.712";"3.866"
"2013";;"-1.335";"-6.647";"3.694"
"2014";;"-1.435";"-6.531";"3.385"
"2015";;"-1.465";"-6.373";"3.092"
"2016";;"-1.445";"-6.182";"2.798"
"2017";;"-1.405";"-5.968";"2.53"
"2018";;"-1.345";"-5.732";"2.29"
"2019";;"-1.255";"-5.492";"2.094"
"2020";;"-1.14";"-5.241";"2.015"
"2021";;"-0.995";"-4.987";"1.937"
"2022";;"-0.82";"-4.741";"1.842"
"2023";;"-0.575";"-4.504";"1.749"
"2024";;"-0.315";"-4.245";"1.801"
"2025";;"-0.235";"-3.884";"1.909"
"2026";;"-0.25";"-3.533";"2.127"
"2027";;"-0.275";"-3.193";"2.501"
"2028";;"-0.315";"-2.862";"2.886"
"2029";;"-0.365";"-2.55";"3.274"
"2030";;"-0.42";"-2.248";"3.656"
"2031";;"-0.345";"-1.954";"4.032"
"2032";;"-0.09";"-1.67";"4.383"
"2033";;"0.155";"-1.6";"4.709"
"2034";;"0.395";"-1.908";"5.0"
"2035";;"0.62";"-2.188";"5.427"
"2036";;"0.76";"-2.352";"5.908"
"2037";;"0.84";"-2.2";"6.397"
"2038";;"0.9";"-2.043";"6.875"
"2039";;"0.94";"-1.864";"7.352"
"2040";;"1.005";"-1.67";"7.815"
"2041";;"1.165";"-1.463";"8.244"
"2042";;"1.315";"-1.25";"8.426"
"2043";;"1.285";"-1.033";"8.562"
"2044";;"1.235";"-0.812";"8.651"
"2045";;"1.16";"-0.613";"8.702"
"2046";;"1.06";"-0.718";"8.716"
"2047";;"0.94";"-0.829";"8.691"
"2048";;"0.875";"-0.948";"8.637"
"2049";;"0.925";"-1.085";"8.554"
"2050";;"0.975";"-1.41";"8.459"
"2051";;"1.025";"-1.726";"8.361"
"2052";;"1.075";"-2.035";"8.251"
"2053";;"1.135";"-2.063";"8.155"
"2054";;"1.195";"-1.977";"8.066"
"2055";;"1.26";"-2.012";"8.0"
"2056";;"1.335";"-2.185";"8.129"
"2057";;"1.415";"-2.344";"8.382"
"2058";;"1.5";"-2.487";"8.586"
"2059";;"1.585";"-2.604";"8.725"
"2060";;"1.67";"-2.697";"8.809"
"2061";;"1.55";"-2.754";"8.828"
"2062";;"1.425";"-2.787";"8.801"
"2063";;"1.3";"-2.673";"8.712"
"2064";;"1.355";"-2.358";"8.578"
"2065";;"1.65";"-1.994";"8.41"
"2066";;"1.99";"-1.583";"8.451"
"2067";;"2.38";"-1.278";"8.513"
"2068";;"2.805";"-1.195";"8.561"
"2069";;"3.265";"-1.094";"8.594"
"2070";;"3.75";"-1.335";"8.622"
"2071";;"4.25";"-1.63";"8.628"
"2072";;"4.47";"-1.909";"8.628"
"2073";;"4.495";"-2.028";"8.624"
"2074";;"4.555";"-2.01";"9.027"
"2075";;"4.64";"-2.016";"9.758"
"2076";;"4.755";"-2.053";"10.473"
"2077";;"4.97";"-2.114";"11.145"
"2078";;"5.21";"-2.198";"11.782"
"2079";;"5.46";"-2.296";"12.364"
"2080";;"5.71";"-2.416";"12.901"
"2081";;"5.975";"-2.54";"13.382"
"2082";;"6.24";"-2.679";"13.808"
"2083";;"6.485";"-2.813";"14.186"
"2084";;"6.545";"-2.943";"14.499"
"2085";;"6.595";"-2.82";"14.773"
"2086";;"6.63";"-2.645";"14.99"
"2087";;"6.66";"-2.442";"15.169"
"2088";;"6.685";"-2.21";"15.318"
"2089";;"6.77";"-1.957";"15.447"
"2090";;"6.85";"-1.686";"15.546"
"2091";;"6.92";"-1.394";"15.635"
"2092";;"6.985";"-1.101";"15.714"
"2093";;"7.045";"-0.797";"15.801"
"2094";;"7.095";"-0.672";"15.887"
"2095";;"7.14";"-0.788";"15.981"
"2096";;"7.175";"-0.914";"16.093"
"2097";;"7.21";"-1.038";"16.222"
"2098";;"7.225";"-1.171";"16.37"
"2099";;"7.24";"-1.304";"16.535"
"2100";;"7.25";"-1.437";"16.727"
