Year;Obs;Median;"10%";"90%"
"1917";"5.27";;;
"1918";"5.48";;;
"1919";"5.68";;;
"1920";"5.85";;;
"1921";"5.98";;;
"1922";"6.09";;;
"1923";"6.16";;;
"1924";"6.18";;;
"1925";"6.16";;;
"1926";"6.09";;;
"1927";"5.97";;;
"1928";"5.79";;;
"1929";"5.57";;;
"1930";"5.29";;;
"1931";"4.98";;;
"1932";"4.62";;;
"1933";"4.24";;;
"1934";"3.84";;;
"1935";"3.42";;;
"1936";"3.01";;;
"1937";"2.6";;;
"1938";"2.21";;;
"1939";"1.85";;;
"1940";"1.53";;;
"1941";"1.24";;;
"1942";"1.0";;;
"1943";"0.8";;;
"1944";"0.64";;;
"1945";"0.52";;;
"1946";"0.43";;;
"1947";"0.36";;;
"1948";"0.32";;;
"1949";"0.28";;;
"1950";"0.24";;;
"1951";"0.21";;;
"1952";"0.16";;;
"1953";"0.1";;;
"1954";"0.02";;;
"1955";"-0.08";;;
"1956";"-0.2";;;
"1957";"-0.33";;;
"1958";"-0.49";;;
"1959";"-0.67";;;
"1960";"-0.86";;;
"1961";"-1.06";;;
"1962";"-1.27";;;
"1963";"-1.48";;;
"1964";"-1.7";;;
"1965";"-1.91";;;
"1966";"-2.12";;;
"1967";"-2.31";;;
"1968";"-2.48";;;
"1969";"-2.62";;;
"1970";"-2.74";;;
"1971";"-2.81";"-0.17";"-1.681";"2.238"
"1972";"-2.84";"-0.07";"-1.496";"2.001"
"1973";"-2.83";"0.04";"-1.327";"1.959"
"1974";"-2.77";"0.075";"-1.167";"1.914"
"1975";"-2.65";"0.22";"-1.015";"1.874"
"1976";"-2.5";"0.33";"-0.888";"1.838"
"1977";"-2.29";"0.33";"-0.769";"1.798"
"1978";"-2.04";"0.21";"-0.846";"1.762"
"1979";"-1.76";"0.09";"-0.939";"1.73"
"1980";"-1.46";"0.035";"-1.012";"1.693"
"1981";"-1.13";"0.02";"-1.046";"1.65"
"1982";"-0.79";"-0.015";"-1.069";"1.603"
"1983";"-0.44";"-0.07";"-1.052";"1.551"
"1984";"-0.1";"-0.135";"-1.068";"1.495"
"1985";"0.23";"-0.215";"-1.135";"1.244"
"1986";"0.54";"-0.3";"-0.94";"0.907"
"1987";"0.83";"-0.4";"-0.757";"0.831"
"1988";"1.11";"-0.345";"-0.644";"0.736"
"1989";"1.36";"-0.44";"-0.765";"0.622"
"1990";"1.58";"-0.385";"-1.046";"0.605"
"1991";"1.79";"-0.39";"-1.385";"1.002"
"1992";"1.99";"-0.535";"-1.432";"1.056"
"1993";"2.18";"-0.665";"-1.467";"1.016"
"1994";"2.36";"-0.79";"-1.488";"0.977"
"1995";"2.54";"-0.915";"-1.497";"1.219"
"1996";"2.72";"-1.035";"-1.573";"1.505"
