Year;Obs;Median;"10%";"90%"
"1917";"5.27";;;
"1918";"5.48";;;
"1919";"5.68";;;
"1920";"5.85";;;
"1921";"5.98";;;
"1922";"6.09";;;
"1923";"6.16";;;
"1924";"6.18";;;
"1925";"6.16";;;
"1926";"6.09";;;
"1927";"5.97";;;
"1928";"5.79";;;
"1929";"5.57";;;
"1930";"5.29";;;
"1931";"4.98";;;
"1932";"4.62";;;
"1933";"4.24";;;
"1934";"3.84";;;
"1935";"3.42";;;
"1936";"3.01";;;
"1937";"2.6";;;
"1938";"2.21";;;
"1939";"1.85";;;
"1940";"1.53";;;
"1941";"1.24";;;
"1942";"1.0";;;
"1943";"0.8";;;
"1944";"0.64";;;
"1945";"0.52";;;
"1946";"0.43";;;
"1947";"0.36";;;
"1948";"0.32";;;
"1949";"0.28";;;
"1950";"0.24";;;
"1951";"0.21";;;
"1952";"0.16";;;
"1953";"0.1";;;
"1954";"0.02";;;
"1955";"-0.08";;;
"1956";"-0.2";;;
"1957";"-0.33";;;
"1958";"-0.49";;;
"1959";"-0.67";;;
"1960";"-0.86";;;
"1961";"-1.06";;;
"1962";"-1.27";;;
"1963";"-1.48";;;
"1964";"-1.7";;;
"1965";"-1.91";;;
"1966";"-2.12";;;
"1967";"-2.31";;;
"1968";"-2.48";;;
"1969";"-2.62";;;
"1970";"-2.74";;;
"1971";"-2.81";"-0.17";"-1.681";"2.229"
"1972";"-2.84";"-0.065";"-1.496";"2.001"
"1973";"-2.83";"0.04";"-1.328";"1.96"
"1974";"-2.77";"0.075";"-1.168";"1.914"
"1975";"-2.65";"0.215";"-1.015";"1.875"
"1976";"-2.5";"0.335";"-0.889";"1.839"
"1977";"-2.29";"0.325";"-0.779";"1.8"
"1978";"-2.04";"0.2";"-0.883";"1.764"
"1979";"-1.76";"0.075";"-0.986";"1.724"
"1980";"-1.46";"0.055";"-1.068";"1.687"
"1981";"-1.13";"0.045";"-1.14";"1.646"
"1982";"-0.79";"0.015";"-1.181";"1.609"
"1983";"-0.44";"-0.025";"-1.203";"1.559"
"1984";"-0.1";"-0.075";"-1.284";"1.505"
"1985";"0.23";"-0.135";"-1.313";"1.361"
"1986";"0.54";"-0.2";"-1.232";"0.999"
"1987";"0.83";"-0.27";"-1.24";"0.843"
"1988";"1.11";"-0.33";"-1.241";"0.749"
"1989";"1.36";"-0.295";"-1.253";"0.637"
"1990";"1.58";"-0.435";"-1.276";"0.516"
"1991";"1.79";"-0.57";"-1.32";"0.548"
"1992";"1.99";"-0.735";"-1.385";"0.859"
"1993";"2.18";"-0.82";"-1.589";"1.171"
"1994";"2.36";"-0.915";"-1.779";"1.205"
"1995";"2.54";"-1.01";"-2.009";"1.247"
"1996";"2.72";"-1.12";"-2.305";"1.314"
