Year;Obs;Median;"10%";"90%"
"1917";"-0.33";;;
"1918";"-0.52";;;
"1919";"-0.7";;;
"1920";"-0.87";;;
"1921";"-1.04";;;
"1922";"-1.19";;;
"1923";"-1.34";;;
"1924";"-1.49";;;
"1925";"-1.62";;;
"1926";"-1.75";;;
"1927";"-1.87";;;
"1928";"-1.99";;;
"1929";"-2.1";;;
"1930";"-2.21";;;
"1931";"-2.32";;;
"1932";"-2.42";;;
"1933";"-2.52";;;
"1934";"-2.62";;;
"1935";"-2.71";;;
"1936";"-2.8";;;
"1937";"-2.89";;;
"1938";"-2.97";;;
"1939";"-3.04";;;
"1940";"-3.11";;;
"1941";"-3.17";;;
"1942";"-3.22";;;
"1943";"-3.26";;;
"1944";"-3.29";;;
"1945";"-3.31";;;
"1946";"-3.32";;;
"1947";"-3.32";;;
"1948";"-3.3";;;
"1949";"-3.28";;;
"1950";"-3.23";;;
"1951";"-3.18";;;
"1952";"-3.1";;;
"1953";"-3.02";;;
"1954";"-2.91";;;
"1955";"-2.8";;;
"1956";"-2.67";;;
"1957";"-2.53";;;
"1958";"-2.39";;;
"1959";"-2.24";;;
"1960";"-2.09";;;
"1961";"-1.96";;;
"1962";"-1.83";;;
"1963";"-1.73";;;
"1964";"-1.64";;;
"1965";"-1.58";;;
"1966";"-1.54";;;
"1967";"-1.53";;;
"1968";"-1.54";;;
"1969";"-1.57";;;
"1970";"-1.63";;;
"1971";"-1.7";"0.385";"-2.542";"2.603"
"1972";"-1.77";"0.105";"-2.435";"2.199"
"1973";"-1.86";"-0.155";"-2.327";"1.812"
"1974";"-1.93";"-0.305";"-2.197";"1.432"
"1975";"-2.0";"-0.43";"-2.055";"1.383"
"1976";"-2.06";"-0.535";"-1.892";"1.432"
"1977";"-2.1";"-0.625";"-1.734";"1.452"
"1978";"-2.11";"-0.57";"-1.554";"1.452"
"1979";"-2.09";"-0.55";"-1.569";"1.423"
"1980";"-2.04";"-0.62";"-1.606";"1.173"
"1981";"-1.96";"-0.66";"-1.649";"0.887"
"1982";"-1.85";"-0.67";"-1.669";"0.588"
"1983";"-1.7";"-0.68";"-1.659";"0.285"
"1984";"-1.52";"-0.685";"-1.617";"0.113"
"1985";"-1.31";"-0.755";"-1.568";"0.244"
"1986";"-1.08";"-0.83";"-1.553";"0.382"
"1987";"-0.83";"-0.565";"-1.529";"0.175"
"1988";"-0.57";"-0.385";"-1.485";"0.321"
"1989";"-0.3";"-0.435";"-1.495";"0.919"
"1990";"-0.02";"-0.49";"-1.658";"1.262"
"1991";"0.25";"-0.61";"-1.777";"1.542"
"1992";"0.5";"-0.585";"-1.861";"1.821"
