Year;Obs;Median;"10%";"90%"
"1917";"-4.82";;;
"1918";"-4.9";;;
"1919";"-4.99";;;
"1920";"-5.09";;;
"1921";"-5.18";;;
"1922";"-5.26";;;
"1923";"-5.34";;;
"1924";"-5.41";;;
"1925";"-5.45";;;
"1926";"-5.48";;;
"1927";"-5.48";;;
"1928";"-5.45";;;
"1929";"-5.39";;;
"1930";"-5.3";;;
"1931";"-5.17";;;
"1932";"-5.0";;;
"1933";"-4.79";;;
"1934";"-4.56";;;
"1935";"-4.29";;;
"1936";"-4.0";;;
"1937";"-3.69";;;
"1938";"-3.38";;;
"1939";"-3.06";;;
"1940";"-2.76";;;
"1941";"-2.47";;;
"1942";"-2.21";;;
"1943";"-1.99";;;
"1944";"-1.8";;;
"1945";"-1.66";;;
"1946";"-1.57";;;
"1947";"-1.54";;;
"1948";"-1.55";;;
"1949";"-1.61";;;
"1950";"-1.72";;;
"1951";"-1.87";;;
"1952";"-2.05";;;
"1953";"-2.27";;;
"1954";"-2.51";;;
"1955";"-2.76";;;
"1956";"-3.03";;;
"1957";"-3.29";;;
"1958";"-3.55";;;
"1959";"-3.81";;;
"1960";"-4.05";;;
"1961";"-4.27";;;
"1962";"-4.46";;;
"1963";"-4.63";;;
"1964";"-4.78";;;
"1965";"-4.89";;;
"1966";"-4.97";;;
"1967";"-5.02";;;
"1968";"-5.04";;;
"1969";"-5.02";;;
"1970";"-4.97";;;
"1971";"-4.9";"-0.09";"-3.674";"2.928"
"1972";"-4.79";"-0.11";"-3.407";"2.691"
"1973";"-4.65";"-0.135";"-3.139";"2.454"
"1974";"-4.49";"-0.16";"-2.863";"2.216"
"1975";"-4.3";"-0.195";"-2.587";"1.987"
"1976";"-4.09";"-0.245";"-2.311";"1.749"
"1977";"-3.86";"-0.315";"-2.035";"1.509"
"1978";"-3.61";"-0.405";"-1.759";"1.27"
"1979";"-3.35";"-0.49";"-1.493";"0.941"
"1980";"-3.08";"-0.565";"-1.237";"0.619"
"1981";"-2.8";"-0.63";"-0.99";"0.279"
"1982";"-2.53";"-0.67";"-0.824";"0.091"
"1983";"-2.26";"-0.565";"-0.92";"0.01"
"1984";"-2.0";"-0.725";"-0.949";"-0.046"
"1985";"-1.76";"-0.645";"-1.121";"-0.042"
"1986";"-1.55";"-0.79";"-1.226";"0.152"
"1987";"-1.37";"-0.81";"-1.331";"0.338"
"1988";"-1.23";"-0.79";"-1.543";"0.524"
"1989";"-1.13";"-0.755";"-1.863";"0.71"
"1990";"-1.08";"-0.7";"-2.181";"0.895"
"1991";"-1.07";"-0.595";"-2.507";"1.078"
"1992";"-1.11";"-0.365";"-2.824";"1.268"
"1993";"-1.2";"-0.125";"-3.13";"1.465"
"1994";"-1.34";"0.125";"-3.436";"1.659"
"1995";"-1.52";"0.42";"-3.733";"1.868"
"1996";"-1.74";"0.745";"-4.02";"2.066"
"1997";"-1.99";"1.1";"-4.288";"2.269"
"1998";"-2.26";"1.48";"-4.539";"2.388"
"1999";"-2.56";"1.875";"-4.987";"2.66"
"2000";"-2.87";"2.23";"-5.388";"2.854"
"2001";"-3.19";"2.375";"-5.645";"3.02"
"2002";"-3.51";"2.495";"-5.902";"3.515"
"2003";"-3.83";"2.605";"-6.13";"3.997"
"2004";"-4.14";"2.62";"-6.347";"4.434"
"2005";"-4.45";"2.575";"-6.541";"4.688"
"2006";"-4.74";"2.495";"-6.695";"4.895"
"2007";"-5.02";"2.395";"-6.825";"5.044"
"2008";"-5.29";"2.265";"-6.958";"5.136"
"2009";"-5.54";"2.11";"-7.425";"5.179"
"2010";"-5.78";"1.88";"-7.857";"5.18"
