Year;Obs;Median;"10%";"90%"
"1917";"-4.82";;;
"1918";"-4.9";;;
"1919";"-4.99";;;
"1920";"-5.09";;;
"1921";"-5.18";;;
"1922";"-5.26";;;
"1923";"-5.34";;;
"1924";"-5.41";;;
"1925";"-5.45";;;
"1926";"-5.48";;;
"1927";"-5.48";;;
"1928";"-5.45";;;
"1929";"-5.39";;;
"1930";"-5.3";;;
"1931";"-5.17";;;
"1932";"-5.0";;;
"1933";"-4.79";;;
"1934";"-4.56";;;
"1935";"-4.29";;;
"1936";"-4.0";;;
"1937";"-3.69";;;
"1938";"-3.38";;;
"1939";"-3.06";;;
"1940";"-2.76";;;
"1941";"-2.47";;;
"1942";"-2.21";;;
"1943";"-1.99";;;
"1944";"-1.8";;;
"1945";"-1.66";;;
"1946";"-1.57";;;
"1947";"-1.54";;;
"1948";"-1.55";;;
"1949";"-1.61";;;
"1950";"-1.72";;;
"1951";"-1.87";;;
"1952";"-2.05";;;
"1953";"-2.27";;;
"1954";"-2.51";;;
"1955";"-2.76";;;
"1956";"-3.03";;;
"1957";"-3.29";;;
"1958";"-3.55";;;
"1959";"-3.81";;;
"1960";"-4.05";;;
"1961";"-4.27";;;
"1962";"-4.46";;;
"1963";"-4.63";;;
"1964";"-4.78";;;
"1965";"-4.89";;;
"1966";"-4.97";;;
"1967";"-5.02";;;
"1968";"-5.04";;;
"1969";"-5.02";;;
"1970";"-4.97";;;
"1971";"-4.9";"-0.085";"-3.674";"2.937"
"1972";"-4.79";"-0.11";"-3.416";"2.691"
"1973";"-4.65";"-0.14";"-3.149";"2.454"
"1974";"-4.49";"-0.16";"-2.873";"2.226"
"1975";"-4.3";"-0.195";"-2.596";"1.988"
"1976";"-4.09";"-0.24";"-2.33";"1.758"
"1977";"-3.86";"-0.31";"-2.054";"1.528"
"1978";"-3.61";"-0.395";"-1.788";"1.281"
"1979";"-3.35";"-0.48";"-1.532";"0.961"
"1980";"-3.08";"-0.565";"-1.294";"0.64"
"1981";"-2.8";"-0.61";"-1.058";"0.319"
"1982";"-2.53";"-0.635";"-0.903";"0.034"
"1983";"-2.26";"-0.605";"-1.028";"-0.063"
"1984";"-2.0";"-0.645";"-0.964";"-0.144"
"1985";"-1.76";"-0.675";"-1.05";"-0.203"
"1986";"-1.55";"-0.65";"-1.342";"-0.088"
"1987";"-1.37";"-0.76";"-1.566";"0.027"
"1988";"-1.23";"-0.76";"-1.665";"0.134"
"1989";"-1.13";"-0.745";"-1.745";"0.214"
"1990";"-1.08";"-0.72";"-1.805";"0.284"
"1991";"-1.07";"-0.665";"-2.042";"0.336"
"1992";"-1.11";"-0.58";"-2.269";"0.378"
"1993";"-1.2";"-0.51";"-2.485";"0.4"
"1994";"-1.34";"-0.465";"-2.69";"0.421"
"1995";"-1.52";"-0.405";"-2.876";"0.522"
"1996";"-1.74";"-0.33";"-3.061";"0.81"
"1997";"-1.99";"-0.245";"-3.227";"1.116"
"1998";"-2.26";"-0.185";"-3.394";"1.42"
"1999";"-2.56";"-0.16";"-3.561";"1.733"
"2000";"-2.87";"-0.13";"-3.721";"2.046"
"2001";"-3.19";"-0.175";"-3.9";"2.341"
"2002";"-3.51";"-0.29";"-4.081";"2.627"
"2003";"-3.83";"-0.415";"-4.283";"2.894"
"2004";"-4.14";"-0.545";"-4.496";"3.134"
"2005";"-4.45";"-0.675";"-4.731";"3.354"
"2006";"-4.74";"-0.8";"-4.977";"3.538"
"2007";"-5.02";"-0.92";"-5.244";"3.682"
"2008";"-5.29";"-1.03";"-5.523";"3.797"
"2009";"-5.54";"-1.115";"-5.823";"3.881"
