Year;Obs;Median;"10%";"90%"
"1917";"-4.58";;;
"1918";"-4.77";;;
"1919";"-4.97";;;
"1920";"-5.19";;;
"1921";"-5.43";;;
"1922";"-5.67";;;
"1923";"-5.92";;;
"1924";"-6.18";;;
"1925";"-6.44";;;
"1926";"-6.7";;;
"1927";"-6.95";;;
"1928";"-7.18";;;
"1929";"-7.4";;;
"1930";"-7.6";;;
"1931";"-7.77";;;
"1932";"-7.91";;;
"1933";"-8.02";;;
"1934";"-8.09";;;
"1935";"-8.13";;;
"1936";"-8.13";;;
"1937";"-8.09";;;
"1938";"-8.03";;;
"1939";"-7.93";;;
"1940";"-7.82";;;
"1941";"-7.7";;;
"1942";"-7.57";;;
"1943";"-7.45";;;
"1944";"-7.34";;;
"1945";"-7.24";;;
"1946";"-7.17";;;
"1947";"-7.14";;;
"1948";"-7.13";;;
"1949";"-7.17";;;
"1950";"-7.24";;;
"1951";"-7.34";;;
"1952";"-7.48";;;
"1953";"-7.65";;;
"1954";"-7.83";;;
"1955";"-8.03";;;
"1956";"-8.22";;;
"1957";"-8.41";;;
"1958";"-8.58";;;
"1959";"-8.73";;;
"1960";"-8.85";;;
"1961";"-8.92";;;
"1962";"-8.96";;;
"1963";"-8.94";;;
"1964";"-8.88";;;
"1965";"-8.77";;;
"1966";"-8.62";;;
"1967";"-8.42";;;
"1968";"-8.19";;;
"1969";"-7.92";;;
"1970";"-7.62";;;
"1971";"-7.29";"-0.33";"-3.997";"1.655"
"1972";"-6.93";"-0.23";"-3.584";"1.535"
"1973";"-6.56";"-0.14";"-3.162";"1.374"
"1974";"-6.16";"-0.055";"-2.749";"1.204"
"1975";"-5.75";"-0.03";"-2.345";"1.06"
"1976";"-5.32";"-0.005";"-1.95";"0.933"
"1977";"-4.88";"-0.055";"-1.566";"0.804"
"1978";"-4.42";"-0.1";"-1.201";"0.665"
"1979";"-3.95";"-0.155";"-1.171";"0.525"
"1980";"-3.48";"-0.135";"-1.171";"0.545"
"1981";"-3.0";"-0.075";"-0.879";"0.508"
"1982";"-2.52";"-0.04";"-0.606";"0.331"
"1983";"-2.05";"-0.155";"-0.639";"0.258"
"1984";"-1.59";"-0.14";"-0.653";"0.398"
"1985";"-1.15";"-0.28";"-0.718";"0.511"
"1986";"-0.73";"-0.36";"-0.916";"0.608"
"1987";"-0.34";"-0.385";"-1.128";"0.676"
"1988";"0.01";"-0.37";"-1.304";"0.724"
"1989";"0.33";"-0.3";"-1.383";"0.743"
"1990";"0.6";"-0.29";"-1.624";"0.805"
"1991";"0.84";"-0.33";"-1.875";"0.854"
"1992";"1.03";"-0.15";"-2.116";"0.883"
"1993";"1.19";"0.175";"-2.349";"0.909"
"1994";"1.31";"0.505";"-2.573";"1.012"
"1995";"1.4";"0.74";"-2.797";"1.125"
"1996";"1.46";"0.78";"-3.003";"1.55"
"1997";"1.5";"0.74";"-3.218";"2.004"
"1998";"1.52";"0.69";"-3.415";"2.495"
"1999";"1.54";"0.63";"-3.611";"2.999"
"2000";"1.54";"0.585";"-3.798";"3.526"
"2001";"1.55";"0.525";"-3.974";"4.045"
"2002";"1.55";"0.48";"-4.139";"4.543"
"2003";"1.55";"0.43";"-4.284";"5.003"
"2004";"1.56";"0.38";"-4.418";"5.433"
"2005";"1.57";"0.34";"-4.548";"5.805"
"2006";"1.59";"0.295";"-4.746";"6.118"
"2007";"1.6";"0.225";"-4.922";"6.372"
"2008";"1.62";"0.155";"-5.067";"6.557"
"2009";"1.64";"0.04";"-5.18";"6.682"
"2010";"1.66";"-0.165";"-5.252";"6.747"
"2011";"1.68";"-0.39";"-5.227";"6.76"
"2012";;"-0.63";"-5.066";"6.723"
"2013";;"-0.895";"-4.856";"6.652"
"2014";;"-1.165";"-4.625";"6.549"
"2015";;"-1.24";"-4.354";"6.433"
"2016";;"-1.155";"-4.071";"6.303"
"2017";;"-1.06";"-3.759";"6.171"
"2018";;"-0.96";"-3.444";"6.054"
"2019";;"-0.86";"-3.129";"5.946"
"2020";;"-0.765";"-3.281";"5.855"
"2021";;"-0.57";"-3.495";"5.776"
"2022";;"-0.255";"-3.701";"5.725"
"2023";;"0.025";"-3.712";"5.678"
"2024";;"0.26";"-3.572";"5.652"
"2025";;"0.46";"-3.43";"5.639"
"2026";;"0.615";"-3.458";"5.621"
"2027";;"0.73";"-3.574";"5.607"
"2028";;"0.8";"-3.671";"5.579"
"2029";;"0.845";"-3.768";"5.552"
"2030";;"0.85";"-3.854";"5.501"
"2031";;"0.835";"-3.921";"5.44"
"2032";;"0.8";"-3.989";"5.352"
"2033";;"0.755";"-4.056";"5.252"
"2034";;"0.71";"-4.113";"5.139"
"2035";;"0.665";"-4.162";"5.005"
"2036";;"0.63";"-4.212";"4.874"
"2037";;"0.595";"-4.261";"4.728"
"2038";;"0.735";"-4.302";"4.775"
"2039";;"1.06";"-4.342";"4.808"
"2040";;"1.395";"-4.383";"4.826"
"2041";;"1.73";"-4.414";"4.841"
"2042";;"2.025";"-4.445";"4.852"
"2043";;"2.14";"-4.466";"4.853"
"2044";;"2.28";"-4.477";"4.854"
"2045";;"2.43";"-4.476";"4.846"
"2046";;"2.605";"-4.464";"4.599"
"2047";;"2.785";"-4.431";"4.808"
"2048";;"2.97";"-4.377";"4.919"
"2049";;"3.16";"-4.292";"4.953"
"2050";;"3.135";"-4.185";"5.152"
"2051";;"3.02";"-4.046";"5.443"
"2052";;"2.905";"-3.885";"5.718"
"2053";;"2.785";"-3.693";"5.994"
"2054";;"2.66";"-3.479";"6.269"
"2055";;"2.54";"-3.234";"6.687"
"2056";;"2.41";"-3.381";"7.147"
