Year;Obs;Median;"10%";"90%"
"1917";"-4.58";;;
"1918";"-4.77";;;
"1919";"-4.97";;;
"1920";"-5.19";;;
"1921";"-5.43";;;
"1922";"-5.67";;;
"1923";"-5.92";;;
"1924";"-6.18";;;
"1925";"-6.44";;;
"1926";"-6.7";;;
"1927";"-6.95";;;
"1928";"-7.18";;;
"1929";"-7.4";;;
"1930";"-7.6";;;
"1931";"-7.77";;;
"1932";"-7.91";;;
"1933";"-8.02";;;
"1934";"-8.09";;;
"1935";"-8.13";;;
"1936";"-8.13";;;
"1937";"-8.09";;;
"1938";"-8.03";;;
"1939";"-7.93";;;
"1940";"-7.82";;;
"1941";"-7.7";;;
"1942";"-7.57";;;
"1943";"-7.45";;;
"1944";"-7.34";;;
"1945";"-7.24";;;
"1946";"-7.17";;;
"1947";"-7.14";;;
"1948";"-7.13";;;
"1949";"-7.17";;;
"1950";"-7.24";;;
"1951";"-7.34";;;
"1952";"-7.48";;;
"1953";"-7.65";;;
"1954";"-7.83";;;
"1955";"-8.03";;;
"1956";"-8.22";;;
"1957";"-8.41";;;
"1958";"-8.58";;;
"1959";"-8.73";;;
"1960";"-8.85";;;
"1961";"-8.92";;;
"1962";"-8.96";;;
"1963";"-8.94";;;
"1964";"-8.88";;;
"1965";"-8.77";;;
"1966";"-8.62";;;
"1967";"-8.42";;;
"1968";"-8.19";;;
"1969";"-7.92";;;
"1970";"-7.62";;;
"1971";"-7.29";"-0.33";"-3.997";"1.655"
"1972";"-6.93";"-0.23";"-3.585";"1.535"
"1973";"-6.56";"-0.135";"-3.172";"1.366"
"1974";"-6.16";"-0.065";"-2.758";"1.195"
"1975";"-5.75";"-0.035";"-2.354";"1.061"
"1976";"-5.32";"-0.01";"-1.96";"0.943"
"1977";"-4.88";"-0.06";"-1.576";"0.815"
"1978";"-4.42";"-0.11";"-1.221";"0.685"
"1979";"-3.95";"-0.165";"-1.21";"0.545"
"1980";"-3.48";"-0.125";"-1.221";"0.548"
"1981";"-3.0";"-0.105";"-0.94";"0.553"
"1982";"-2.52";"-0.02";"-0.706";"0.394"
"1983";"-2.05";"-0.09";"-0.778";"0.231"
"1984";"-1.59";"-0.12";"-0.832";"0.381"
"1985";"-1.15";"-0.15";"-0.885";"0.512"
"1986";"-0.73";"-0.265";"-0.918";"0.465"
"1987";"-0.34";"-0.365";"-1.004";"0.498"
"1988";"0.01";"-0.46";"-1.088";"0.493"
"1989";"0.33";"-0.525";"-1.223";"0.46"
"1990";"0.6";"-0.52";"-1.355";"0.406"
"1991";"0.84";"-0.59";"-1.458";"0.323"
"1992";"1.03";"-0.665";"-1.549";"0.22"
"1993";"1.19";"-0.73";"-1.549";"0.106"
"1994";"1.31";"-0.78";"-1.457";"0.053"
"1995";"1.4";"-0.82";"-1.371";"0.107"
"1996";"1.46";"-0.8";"-1.347";"0.159"
"1997";"1.5";"-0.835";"-1.313";"0.239"
"1998";"1.52";"-0.88";"-1.25";"0.337"
"1999";"1.54";"-0.915";"-1.294";"0.463"
"2000";"1.54";"-0.96";"-1.464";"0.617"
"2001";"1.55";"-0.96";"-1.617";"0.791"
"2002";"1.55";"-0.895";"-1.752";"1.002"
"2003";"1.55";"-0.8";"-1.79";"1.243"
"2004";"1.56";"-0.71";"-1.826";"1.521"
"2005";"1.57";"-0.63";"-1.869";"1.642"
"2006";"1.59";"-0.555";"-1.925";"1.767"
"2007";"1.6";"-0.5";"-1.996";"1.895"
"2008";"1.62";"-0.465";"-2.009";"2.149"
"2009";"1.64";"-0.455";"-1.976";"2.504"
"2010";"1.66";"-0.41";"-2.15";"2.868"
"2011";"1.68";"-0.325";"-2.316";"3.221"
"2012";;"-0.25";"-2.482";"3.573"
"2013";;"-0.19";"-2.628";"3.904"
"2014";;"-0.135";"-2.763";"4.223"
"2015";;"-0.095";"-2.863";"4.511"
"2016";;"-0.005";"-2.892";"4.767"
"2017";;"0.075";"-2.884";"4.981"
"2018";;"0.15";"-2.83";"5.154"
"2019";;"0.45";"-2.722";"5.284"
"2020";;"0.48";"-2.558";"5.373"
"2021";;"0.485";"-2.358";"5.401"
"2022";;"0.51";"-2.211";"5.396"
"2023";;"0.56";"-2.001";"5.339"
"2024";;"0.645";"-2.07";"5.241"
"2025";;"0.98";"-2.39";"4.934"
"2026";;"1.495";"-2.7";"4.579"
"2027";;"2.03";"-2.992";"4.169"
"2028";;"2.225";"-3.264";"4.343"
"2029";;"2.21";"-3.49";"4.62"
"2030";;"2.16";"-3.679";"4.95"
"2031";;"2.075";"-3.749";"5.278"
"2032";;"1.975";"-3.732";"5.569"
"2033";;"2.28";"-3.682";"5.801"
"2034";;"2.525";"-3.608";"5.975"
"2035";;"2.615";"-3.518";"6.081"
"2036";;"2.635";"-3.395";"6.117"
"2037";;"2.63";"-3.24";"6.065"
"2038";;"2.6";"-3.169";"5.942"
"2039";;"2.555";"-3.042";"5.74"
"2040";;"2.495";"-2.867";"5.466"
"2041";;"2.42";"-2.754";"5.131"
"2042";;"2.34";"-2.61";"5.103"
"2043";;"2.15";"-2.464";"5.239"
"2044";;"1.915";"-2.305";"5.387"
"2045";;"1.515";"-2.126";"5.53"
"2046";;"1.105";"-1.935";"5.686"
"2047";;"0.98";"-1.805";"5.848"
"2048";;"0.925";"-1.844";"6.007"
"2049";;"0.875";"-1.891";"6.164"
"2050";;"0.815";"-1.946";"6.331"
"2051";;"0.835";"-2.027";"6.082"
"2052";;"0.86";"-2.27";"5.754"
"2053";;"0.885";"-2.512";"5.588"
"2054";;"0.91";"-2.763";"5.844"
"2055";;"0.935";"-3.031";"6.1"
"2056";;"0.955";"-3.307";"6.374"
