Year;Obs;Median;"10%";"90%"
"1900";"-12.408423";;;
"1901";"-12.343657";;;
"1902";"-12.276501";;;
"1903";"-12.206602";;;
"1904";"-12.133163";;;
"1905";"-12.055564";;;
"1906";"-11.973101";;;
"1907";"-11.885155";;;
"1908";"-11.791098";;;
"1909";"-11.690497";;;
"1910";"-11.582994";;;
"1911";"-11.468327";;;
"1912";"-11.346579";;;
"1913";"-11.218018";;;
"1914";"-11.083084";;;
"1915";"-10.942578";;;
"1916";"-10.797471";;;
"1917";"-10.649002";;;
"1918";"-10.498583";;;
"1919";"-10.347814";;;
"1920";"-10.198105";;;
"1921";"-10.051144";;;
"1922";"-9.908426";;;
"1923";"-9.771103";;;
"1924";"-9.64033";;;
"1925";"-9.516811";;;
"1926";"-9.400904";;;
"1927";"-9.292692";;;
"1928";"-9.191733";;;
"1929";"-9.097505";;;
"1930";"-9.009111";;;
"1931";"-8.925324";;;
"1932";"-8.844805";;;
"1933";"-8.766413";;;
"1934";"-8.68873";;;
"1935";"-8.610689";;;
"1936";"-8.531147";;;
"1937";"-8.449388";;;
"1938";"-8.364892";;;
"1939";"-8.277559";;;
"1940";"-8.18749";;;
"1941";"-8.094936";;;
"1942";"-8.000528";;;
"1943";"-7.9051495";;;
"1944";"-7.809681";;;
"1945";"-7.7149153";;;
"1946";"-7.6219263";;;
"1947";"-7.53141";;;
"1948";"-7.4440775";;;
"1949";"-7.360381";;;
"1950";"-7.2803917";;;
"1951";"-7.2042108";;;
"1952";"-7.1313915";;;
"1953";"-7.061404";;;
"1954";"-6.993538";;;
"1955";"-6.926739";;;
"1956";"-6.8600235";;;
"1957";"-6.7922473";;;
"1958";"-6.7222595";;;
"1959";"-6.648821";;;
"1960";"-6.5707865";;;
"1961";"-6.487173";;;
"1962";"-6.396657";;;
"1963";"-6.298441";;;
"1964";"-6.191385";;;
"1965";"-6.0745897";;;
"1966";"-5.9469104";;;
"1967";"-5.8072925";;;
"1968";"-5.6548414";;;
"1969";"-5.4884076";;;
"1970";"-5.307025";;;
"1971";"-5.109626";"-0.94";"-1.722";"0.935"
"1972";"-4.895502";"-0.734";"-1.581";"0.864"
"1973";"-4.663956";"-0.43";"-1.431";"0.79"
"1974";"-4.414439";"-0.393";"-1.272";"0.812"
"1975";"-4.147053";"-0.374";"-1.107";"0.952"
"1976";"-3.862059";"-0.361";"-0.936";"1.073"
