Year;Obs;Median;"10%";"90%"
"1900";"-0.4971";;;
"1901";"-0.4861";;;
"1902";"-0.4751";;;
"1903";"-0.4651";;;
"1904";"-0.4551";;;
"1905";"-0.4461";;;
"1906";"-0.4381";;;
"1907";"-0.4301";;;
"1908";"-0.4221";;;
"1909";"-0.4151";;;
"1910";"-0.4091";;;
"1911";"-0.4021";;;
"1912";"-0.3951";;;
"1913";"-0.3881";;;
"1914";"-0.3801";;;
"1915";"-0.3721";;;
"1916";"-0.3621";;;
"1917";"-0.3511";;;
"1918";"-0.3391";;;
"1919";"-0.3241";;;
"1920";"-0.3081";;;
"1921";"-0.2901";;;
"1922";"-0.2701";;;
"1923";"-0.2491";;;
"1924";"-0.2261";;;
"1925";"-0.2021";;;
"1926";"-0.1781";;;
"1927";"-0.1531";;;
"1928";"-0.1291";;;
"1929";"-0.1061";;;
"1930";"-0.0841";;;
"1931";"-0.0641";;;
"1932";"-0.0461";;;
"1933";"-0.0311";;;
"1934";"-0.0181";;;
"1935";"-0.0091";;;
"1936";"-0.0021";;;
"1937";"0.0019";;;
"1938";"0.0029";;;
"1939";"9.0E-4";;;
"1940";"-0.0021";;;
"1941";"-0.0081";;;
"1942";"-0.0161";;;
"1943";"-0.0251";;;
"1944";"-0.0351";;;
"1945";"-0.0461";;;
"1946";"-0.0581";;;
"1947";"-0.0711";;;
"1948";"-0.0851";;;
"1949";"-0.1001";;;
"1950";"-0.1141";;;
"1951";"-0.1301";;;
"1952";"-0.1461";;;
"1953";"-0.1621";;;
"1954";"-0.1781";;;
"1955";"-0.1941";;;
"1956";"-0.2111";;;
"1957";"-0.2271";;;
"1958";"-0.2421";;;
"1959";"-0.2571";;;
"1960";"-0.2701";;;
"1961";"-0.2831";;;
"1962";"-0.2951";;;
"1963";"-0.3051";;;
"1964";"-0.3141";;;
"1965";"-0.3211";;;
"1966";"-0.3261";;;
"1967";"-0.3301";;;
"1968";"-0.3331";;;
"1969";"-0.3341";;;
"1970";"-0.3331";;;
"1971";"-0.3311";"-0.114";"-0.347";"0.045"
"1972";"-0.3281";"-0.116";"-0.321";"0.055"
"1973";"-0.3221";"-0.116";"-0.295";"0.069"
"1974";"-0.3151";"-0.115";"-0.267";"0.082"
"1975";"-0.3071";"-0.112";"-0.24";"0.094"
"1976";"-0.2961";"-0.106";"-0.213";"0.104"
"1977";"-0.2821";"-0.1";"-0.187";"0.112"
"1978";"-0.2671";"-0.114";"-0.166";"0.119"
"1979";"-0.2481";"-0.1";"-0.145";"0.123"
"1980";"-0.2281";"-0.066";"-0.134";"0.124"
"1981";"-0.2041";"-0.05";"-0.131";"0.124"
"1982";"-0.1771";"-0.032";"-0.125";"0.121"
"1983";"-0.1481";"-0.013";"-0.117";"0.117"
"1984";"-0.1161";"0.008";"-0.104";"0.109"
"1985";"-0.0811";"0.036";"-0.089";"0.1"
"1986";"-0.0441";"0.059";"-0.069";"0.109"
"1987";"-0.0061";"0.083";"-0.045";"0.126"
"1988";"0.0349";"0.07";"-0.017";"0.153"
"1989";"0.0759";"0.092";"-0.002";"0.179"
"1990";"0.1189";"0.12";"0.017";"0.207"
"1991";"0.1619";"0.156";"0.026";"0.237"
"1992";"0.2049";"0.193";"0.018";"0.268"
"1993";"0.2479";"0.233";"0.014";"0.3"
"1994";"0.2899";"0.261";"0.013";"0.334"
"1995";"0.3309";"0.285";"0.016";"0.372"
"1996";"0.3719";"0.343";"0.023";"0.412"
"1997";"0.4109";"0.402";"0.035";"0.454"
"1998";"0.4489";"0.446";"0.051";"0.508"
"1999";"0.4849";"0.478";"0.072";"0.567"
"2000";"0.5199";"0.51";"0.097";"0.626"
"2001";"0.5529";"0.542";"0.125";"0.685"
"2002";"0.5839";"0.576";"0.156";"0.742"
"2003";"0.6129";"0.61";"0.19";"0.799"
"2004";"0.6409";"0.645";"0.225";"0.853"
"2005";"0.6669";"0.681";"0.262";"0.904"
"2006";"0.6909";"0.718";"0.299";"0.951"
"2007";"0.7139";"0.756";"0.336";"0.995"
"2008";"0.7349";"0.782";"0.372";"1.034"
"2009";"0.7549";"0.799";"0.407";"1.07"
"2010";"0.7729";"0.814";"0.441";"1.102"
"2011";"0.7909";"0.838";"0.473";"1.13"
"2012";;"0.874";"0.503";"1.156"
"2013";;"0.91";"0.532";"1.179"
"2014";;"0.948";"0.559";"1.203"
"2015";;"0.987";"0.584";"1.238"
"2016";;"1.026";"0.608";"1.274"
"2017";;"1.067";"0.631";"1.311"
"2018";;"1.108";"0.653";"1.35"
"2019";;"1.149";"0.674";"1.393"
"2020";;"1.19";"0.696";"1.437"
"2021";;"1.221";"0.718";"1.482"
"2022";;"1.232";"0.74";"1.529"
"2023";;"1.245";"0.763";"1.576"
"2024";;"1.259";"0.787";"1.624"
"2025";;"1.276";"0.812";"1.674"
"2026";;"1.294";"0.839";"1.728"
"2027";;"1.314";"0.866";"1.782"
"2028";;"1.336";"0.895";"1.836"
"2029";;"1.359";"0.924";"1.891"
"2030";;"1.383";"0.953";"1.944"
"2031";;"1.409";"0.982";"1.996"
"2032";;"1.436";"1.009";"2.046"
"2033";;"1.464";"1.037";"2.093"
"2034";;"1.493";"1.064";"2.138"
"2035";;"1.522";"1.091";"2.179"
"2036";;"1.552";"1.117";"2.217"
"2037";;"1.583";"1.143";"2.251"
"2038";;"1.615";"1.167";"2.282"
"2039";;"1.648";"1.185";"2.309"
"2040";;"1.682";"1.201";"2.334"
"2041";;"1.705";"1.215";"2.356"
"2042";;"1.714";"1.226";"2.376"
"2043";;"1.723";"1.235";"2.395"
"2044";;"1.733";"1.242";"2.412"
"2045";;"1.75";"1.247";"2.43"
"2046";;"1.785";"1.251";"2.447"
"2047";;"1.819";"1.255";"2.465"
"2048";;"1.851";"1.258";"2.484"
"2049";;"1.881";"1.262";"2.504"
"2050";;"1.91";"1.266";"2.526"
"2051";;"1.937";"1.271";"2.551"
"2052";;"1.962";"1.277";"2.577"
"2053";;"1.985";"1.285";"2.605"
"2054";;"2.006";"1.296";"2.635"
"2055";;"2.025";"1.308";"2.668"
"2056";;"2.042";"1.322";"2.701"
"2057";;"2.057";"1.338";"2.736"
"2058";;"2.069";"1.356";"2.772"
"2059";;"2.08";"1.375";"2.809"
"2060";;"2.089";"1.396";"2.845"
"2061";;"2.096";"1.418";"2.882"
"2062";;"2.111";"1.441";"2.918"
"2063";;"2.138";"1.464";"2.953"
"2064";;"2.164";"1.487";"2.987"
"2065";;"2.189";"1.51";"3.02"
"2066";;"2.213";"1.532";"3.051"
"2067";;"2.236";"1.553";"3.081"
"2068";;"2.257";"1.573";"3.11"
"2069";;"2.304";"1.591";"3.138"
"2070";;"2.353";"1.608";"3.165"
"2071";;"2.402";"1.623";"3.19"
"2072";;"2.451";"1.637";"3.215"
"2073";;"2.5";"1.65";"3.24"
"2074";;"2.547";"1.661";"3.264"
"2075";;"2.592";"1.672";"3.288"
"2076";;"2.624";"1.682";"3.312"
"2077";;"2.647";"1.691";"3.336"
"2078";;"2.671";"1.701";"3.36"
"2079";;"2.695";"1.71";"3.383"
"2080";;"2.718";"1.721";"3.406"
"2081";;"2.741";"1.731";"3.428"
"2082";;"2.764";"1.743";"3.449"
"2083";;"2.785";"1.756";"3.469"
"2084";;"2.793";"1.77";"3.487"
"2085";;"2.799";"1.785";"3.504"
"2086";;"2.804";"1.802";"3.518"
"2087";;"2.809";"1.819";"3.53"
"2088";;"2.815";"1.838";"3.54"
"2089";;"2.82";"1.858";"3.547"
"2090";;"2.825";"1.879";"3.552"
"2091";;"2.83";"1.9";"3.554"
"2092";;"2.834";"1.922";"3.554"
"2093";;"2.839";"1.945";"3.552"
"2094";;"2.843";"1.968";"3.547"
"2095";;"2.847";"1.991";"3.541"
"2096";;"2.85";"2.014";"3.533"
"2097";;"2.853";"2.037";"3.523"
"2098";;"2.856";"2.06";"3.511"
"2099";;"2.853";"2.083";"3.499"
"2100";;"2.842";"2.105";"3.485"
