Year;Obs;Median;"10%";"90%"
"1900";"-0.5192";;;
"1901";"-0.5202";;;
"1902";"-0.5202";;;
"1903";"-0.5212";;;
"1904";"-0.5222";;;
"1905";"-0.5232";;;
"1906";"-0.5252";;;
"1907";"-0.5262";;;
"1908";"-0.5272";;;
"1909";"-0.5292";;;
"1910";"-0.5302";;;
"1911";"-0.5302";;;
"1912";"-0.5302";;;
"1913";"-0.5302";;;
"1914";"-0.5282";;;
"1915";"-0.5252";;;
"1916";"-0.5202";;;
"1917";"-0.5132";;;
"1918";"-0.5042";;;
"1919";"-0.4922";;;
"1920";"-0.4772";;;
"1921";"-0.4592";;;
"1922";"-0.4382";;;
"1923";"-0.4132";;;
"1924";"-0.3852";;;
"1925";"-0.3542";;;
"1926";"-0.3192";;;
"1927";"-0.2822";;;
"1928";"-0.2432";;;
"1929";"-0.2032";;;
"1930";"-0.1612";;;
"1931";"-0.1192";;;
"1932";"-0.0772";;;
"1933";"-0.0362";;;
"1934";"0.0038";;;
"1935";"0.0408";;;
"1936";"0.0768";;;
"1937";"0.1088";;;
"1938";"0.1388";;;
"1939";"0.1648";;;
"1940";"0.1888";;;
"1941";"0.2088";;;
"1942";"0.2268";;;
"1943";"0.2418";;;
"1944";"0.2548";;;
"1945";"0.2648";;;
"1946";"0.2738";;;
"1947";"0.2798";;;
"1948";"0.2848";;;
"1949";"0.2878";;;
"1950";"0.2898";;;
"1951";"0.2898";;;
"1952";"0.2868";;;
"1953";"0.2828";;;
"1954";"0.2758";;;
"1955";"0.2668";;;
"1956";"0.2538";;;
"1957";"0.2388";;;
"1958";"0.2208";;;
"1959";"0.1988";;;
"1960";"0.1738";;;
"1961";"0.1458";;;
"1962";"0.1158";;;
"1963";"0.0838";;;
"1964";"0.0498";;;
"1965";"0.0148";;;
"1966";"-0.0202";;;
"1967";"-0.0552";;;
"1968";"-0.0882";;;
"1969";"-0.1192";;;
"1970";"-0.1472";;;
"1971";"-0.1722";"0.026";"-0.37";"0.178"
"1972";"-0.1942";"0.032";"-0.354";"0.186"
"1973";"-0.2112";"0.004";"-0.336";"0.193"
"1974";"-0.2232";"-0.027";"-0.318";"0.198"
"1975";"-0.2312";"-0.057";"-0.297";"0.201"
"1976";"-0.2352";"-0.086";"-0.274";"0.203"
"1977";"-0.2342";"-0.103";"-0.247";"0.202"
"1978";"-0.2292";"-0.088";"-0.218";"0.198"
"1979";"-0.2202";"-0.072";"-0.196";"0.192"
"1980";"-0.2072";"-0.056";"-0.185";"0.183"
"1981";"-0.1922";"-0.04";"-0.18";"0.173"
"1982";"-0.1732";"-0.021";"-0.172";"0.161"
"1983";"-0.1512";"0.018";"-0.16";"0.147"
"1984";"-0.1282";"0.024";"-0.143";"0.131"
"1985";"-0.1022";"0.038";"-0.121";"0.113"
"1986";"-0.0742";"0.067";"-0.11";"0.119"
"1987";"-0.0442";"0.072";"-0.096";"0.143"
"1988";"-0.0112";"0.073";"-0.076";"0.182"
"1989";"0.0228";"0.091";"-0.061";"0.22"
"1990";"0.0588";"0.113";"-0.04";"0.261"
"1991";"0.0968";"0.142";"-0.014";"0.301"
"1992";"0.1368";"0.176";"0.012";"0.345"
"1993";"0.1788";"0.216";"0.013";"0.391"
"1994";"0.2228";"0.262";"0.019";"0.437"
"1995";"0.2678";"0.304";"0.03";"0.481"
"1996";"0.3148";"0.342";"0.047";"0.524"
"1997";"0.3618";"0.375";"0.07";"0.566"
"1998";"0.4098";"0.434";"0.099";"0.606"
"1999";"0.4578";"0.494";"0.133";"0.647"
"2000";"0.5058";"0.556";"0.172";"0.697"
"2001";"0.5538";"0.606";"0.215";"0.744"
"2002";"0.5998";"0.632";"0.261";"0.79"
"2003";"0.6448";"0.657";"0.31";"0.833"
"2004";"0.6878";"0.696";"0.36";"0.877"
"2005";"0.7288";"0.744";"0.41";"0.922"
"2006";"0.7688";"0.792";"0.461";"0.975"
"2007";"0.8058";"0.839";"0.51";"1.027"
"2008";"0.8418";"0.885";"0.55";"1.077"
"2009";"0.8748";"0.93";"0.584";"1.124"
"2010";"0.9068";"0.946";"0.615";"1.168"
"2011";"0.9368";"0.95";"0.645";"1.212"
"2012";;"0.952";"0.673";"1.253"
"2013";;"0.953";"0.701";"1.292"
"2014";;"0.954";"0.717";"1.332"
"2015";;"0.955";"0.731";"1.37"
"2016";;"0.956";"0.746";"1.409"
"2017";;"0.958";"0.762";"1.448"
"2018";;"0.962";"0.776";"1.488"
"2019";;"0.978";"0.791";"1.527"
"2020";;"1.01";"0.808";"1.568"
"2021";;"1.042";"0.827";"1.615"
"2022";;"1.075";"0.849";"1.663"
"2023";;"1.109";"0.872";"1.711"
"2024";;"1.143";"0.899";"1.76"
"2025";;"1.179";"0.927";"1.808"
"2026";;"1.216";"0.958";"1.857"
"2027";;"1.259";"0.982";"1.904"
"2028";;"1.303";"1.007";"1.95"
"2029";;"1.347";"1.035";"1.995"
"2030";;"1.391";"1.063";"2.037"
"2031";;"1.434";"1.093";"2.077"
"2032";;"1.475";"1.124";"2.114"
"2033";;"1.513";"1.156";"2.148"
"2034";;"1.549";"1.188";"2.179"
"2035";;"1.582";"1.221";"2.207"
"2036";;"1.61";"1.255";"2.232"
"2037";;"1.634";"1.29";"2.255"
"2038";;"1.654";"1.324";"2.274"
"2039";;"1.668";"1.36";"2.292"
"2040";;"1.678";"1.395";"2.309"
"2041";;"1.683";"1.432";"2.324"
"2042";;"1.683";"1.468";"2.339"
"2043";;"1.678";"1.496";"2.355"
"2044";;"1.669";"1.515";"2.371"
"2045";;"1.684";"1.524";"2.388"
"2046";;"1.704";"1.532";"2.408"
"2047";;"1.724";"1.538";"2.429"
"2048";;"1.762";"1.522";"2.452"
"2049";;"1.809";"1.506";"2.478"
"2050";;"1.859";"1.49";"2.506"
"2051";;"1.909";"1.475";"2.536"
"2052";;"1.96";"1.461";"2.568"
"2053";;"2.012";"1.45";"2.602"
"2054";;"2.064";"1.44";"2.637"
"2055";;"2.108";"1.433";"2.673"
"2056";;"2.135";"1.428";"2.71"
"2057";;"2.163";"1.426";"2.748"
"2058";;"2.193";"1.427";"2.786"
"2059";;"2.225";"1.43";"2.824"
"2060";;"2.258";"1.435";"2.861"
"2061";;"2.293";"1.443";"2.898"
"2062";;"2.329";"1.452";"2.935"
"2063";;"2.367";"1.463";"2.971"
"2064";;"2.405";"1.475";"3.007"
"2065";;"2.444";"1.488";"3.042"
"2066";;"2.483";"1.502";"3.077"
"2067";;"2.522";"1.516";"3.111"
"2068";;"2.561";"1.53";"3.144"
"2069";;"2.592";"1.545";"3.177"
"2070";;"2.6";"1.56";"3.209"
"2071";;"2.605";"1.575";"3.241"
"2072";;"2.608";"1.591";"3.271"
"2073";;"2.608";"1.608";"3.301"
"2074";;"2.606";"1.625";"3.331"
"2075";;"2.603";"1.644";"3.359"
"2076";;"2.598";"1.664";"3.385"
"2077";;"2.593";"1.685";"3.411"
"2078";;"2.587";"1.708";"3.434"
"2079";;"2.58";"1.732";"3.455"
"2080";;"2.573";"1.758";"3.474"
"2081";;"2.566";"1.784";"3.491"
"2082";;"2.558";"1.812";"3.505"
"2083";;"2.551";"1.84";"3.515"
"2084";;"2.543";"1.869";"3.523"
"2085";;"2.536";"1.898";"3.528"
"2086";;"2.528";"1.927";"3.529"
"2087";;"2.52";"1.956";"3.528"
"2088";;"2.511";"1.985";"3.524"
"2089";;"2.502";"2.013";"3.517"
"2090";;"2.493";"2.04";"3.508"
"2091";;"2.483";"2.066";"3.5"
"2092";;"2.472";"2.091";"3.49"
"2093";;"2.46";"2.115";"3.479"
"2094";;"2.447";"2.138";"3.466"
"2095";;"2.434";"2.157";"3.452"
"2096";;"2.431";"2.162";"3.438"
"2097";;"2.438";"2.166";"3.423"
"2098";;"2.445";"2.169";"3.407"
"2099";;"2.452";"2.172";"3.392"
"2100";;"2.458";"2.174";"3.377"
