Year;Obs;Median;"10%";"90%"
"1900";"-0.5223";;;
"1901";"-0.5103";;;
"1902";"-0.4973";;;
"1903";"-0.4843";;;
"1904";"-0.4703";;;
"1905";"-0.4553";;;
"1906";"-0.4403";;;
"1907";"-0.4253";;;
"1908";"-0.4103";;;
"1909";"-0.3953";;;
"1910";"-0.3813";;;
"1911";"-0.3663";;;
"1912";"-0.3523";;;
"1913";"-0.3393";;;
"1914";"-0.3263";;;
"1915";"-0.3133";;;
"1916";"-0.3003";;;
"1917";"-0.2873";;;
"1918";"-0.2743";;;
"1919";"-0.2593";;;
"1920";"-0.2443";;;
"1921";"-0.2273";;;
"1922";"-0.2083";;;
"1923";"-0.1883";;;
"1924";"-0.1653";;;
"1925";"-0.1413";;;
"1926";"-0.1153";;;
"1927";"-0.0873";;;
"1928";"-0.0583";;;
"1929";"-0.0283";;;
"1930";"7.0E-4";;;
"1931";"0.0297";;;
"1932";"0.0577";;;
"1933";"0.0837";;;
"1934";"0.1077";;;
"1935";"0.1277";;;
"1936";"0.1447";;;
"1937";"0.1567";;;
"1938";"0.1657";;;
"1939";"0.1707";;;
"1940";"0.1707";;;
"1941";"0.1667";;;
"1942";"0.1587";;;
"1943";"0.1467";;;
"1944";"0.1327";;;
"1945";"0.1147";;;
"1946";"0.0947";;;
"1947";"0.0737";;;
"1948";"0.0507";;;
"1949";"0.0267";;;
"1950";"0.0027";;;
"1951";"-0.0203";;;
"1952";"-0.0443";;;
"1953";"-0.0663";;;
"1954";"-0.0873";;;
"1955";"-0.1063";;;
"1956";"-0.1233";;;
"1957";"-0.1393";;;
"1958";"-0.1513";;;
"1959";"-0.1623";;;
"1960";"-0.1693";;;
"1961";"-0.1753";;;
"1962";"-0.1783";;;
"1963";"-0.1783";;;
"1964";"-0.1773";;;
"1965";"-0.1743";;;
"1966";"-0.1703";;;
"1967";"-0.1653";;;
"1968";"-0.1593";;;
"1969";"-0.1543";;;
"1970";"-0.1483";;;
"1971";"-0.1433";"-0.282";"-0.474";"0.036"
"1972";"-0.1393";"-0.271";"-0.449";"0.034"
"1973";"-0.1353";"-0.259";"-0.421";"0.032"
"1974";"-0.1323";"-0.245";"-0.392";"0.031"
"1975";"-0.1303";"-0.23";"-0.36";"0.029"
"1976";"-0.1283";"-0.213";"-0.326";"0.03"
"1977";"-0.1273";"-0.194";"-0.291";"0.031"
"1978";"-0.1263";"-0.174";"-0.253";"0.035"
"1979";"-0.1243";"-0.152";"-0.214";"0.046"
"1980";"-0.1223";"-0.128";"-0.173";"0.055"
"1981";"-0.1183";"-0.103";"-0.13";"0.063"
"1982";"-0.1133";"-0.066";"-0.087";"0.07"
"1983";"-0.1063";"-0.029";"-0.048";"0.077"
"1984";"-0.0963";"-0.003";"-0.018";"0.083"
