Year;Obs;Median;"10%";"90%"
"1900";"-0.7683";;;
"1901";"-0.7583";;;
"1902";"-0.7473";;;
"1903";"-0.7373";;;
"1904";"-0.7273";;;
"1905";"-0.7173";;;
"1906";"-0.7083";;;
"1907";"-0.6983";;;
"1908";"-0.6883";;;
"1909";"-0.6783";;;
"1910";"-0.6693";;;
"1911";"-0.6593";;;
"1912";"-0.6503";;;
"1913";"-0.6413";;;
"1914";"-0.6323";;;
"1915";"-0.6233";;;
"1916";"-0.6153";;;
"1917";"-0.6063";;;
"1918";"-0.5983";;;
"1919";"-0.5913";;;
"1920";"-0.5833";;;
"1921";"-0.5763";;;
"1922";"-0.5693";;;
"1923";"-0.5623";;;
"1924";"-0.5563";;;
"1925";"-0.5503";;;
"1926";"-0.5443";;;
"1927";"-0.5383";;;
"1928";"-0.5323";;;
"1929";"-0.5273";;;
"1930";"-0.5213";;;
"1931";"-0.5153";;;
"1932";"-0.5093";;;
"1933";"-0.5033";;;
"1934";"-0.4973";;;
"1935";"-0.4903";;;
"1936";"-0.4843";;;
"1937";"-0.4763";;;
"1938";"-0.4693";;;
"1939";"-0.4613";;;
"1940";"-0.4543";;;
"1941";"-0.4463";;;
"1942";"-0.4383";;;
"1943";"-0.4303";;;
"1944";"-0.4233";;;
"1945";"-0.4163";;;
"1946";"-0.4103";;;
"1947";"-0.4053";;;
"1948";"-0.4013";;;
"1949";"-0.3993";;;
"1950";"-0.3983";;;
"1951";"-0.3983";;;
"1952";"-0.3993";;;
"1953";"-0.4023";;;
"1954";"-0.4053";;;
"1955";"-0.4103";;;
"1956";"-0.4153";;;
"1957";"-0.4213";;;
"1958";"-0.4273";;;
"1959";"-0.4323";;;
"1960";"-0.4373";;;
"1961";"-0.4413";;;
"1962";"-0.4443";;;
"1963";"-0.4453";;;
"1964";"-0.4453";;;
"1965";"-0.4433";;;
"1966";"-0.4383";;;
"1967";"-0.4323";;;
"1968";"-0.4233";;;
"1969";"-0.4123";;;
"1970";"-0.3983";;;
"1971";"-0.3833";"-0.108";"-0.404";"0.256"
"1972";"-0.3653";"-0.086";"-0.367";"0.242"
"1973";"-0.3463";"-0.064";"-0.329";"0.229"
"1974";"-0.3253";"-0.044";"-0.29";"0.216"
"1975";"-0.3023";"-0.05";"-0.25";"0.205"
"1976";"-0.2783";"-0.056";"-0.21";"0.194"
"1977";"-0.2523";"-0.061";"-0.172";"0.185"
"1978";"-0.2263";"-0.063";"-0.156";"0.175"
"1979";"-0.1983";"-0.064";"-0.141";"0.167"
"1980";"-0.1693";"-0.051";"-0.14";"0.159"
"1981";"-0.1403";"-0.015";"-0.136";"0.151"
"1982";"-0.1113";"0.018";"-0.129";"0.143"
"1983";"-0.0813";"0.048";"-0.119";"0.136"
"1984";"-0.0513";"0.069";"-0.106";"0.129"
"1985";"-0.0213";"0.076";"-0.089";"0.125"
"1986";"0.0087";"0.075";"-0.066";"0.126"
"1987";"0.0387";"0.074";"-0.039";"0.142"
"1988";"0.0687";"0.073";"-0.007";"0.162"
"1989";"0.0977";"0.072";"0.03";"0.18"
"1990";"0.1277";"0.086";"0.06";"0.196"
"1991";"0.1567";"0.114";"0.065";"0.21"
"1992";"0.1857";"0.164";"0.064";"0.222"
"1993";"0.2147";"0.179";"0.064";"0.253"
"1994";"0.2437";"0.199";"0.066";"0.293"
"1995";"0.2737";"0.222";"0.069";"0.343"
"1996";"0.3047";"0.249";"0.073";"0.4"
"1997";"0.3357";"0.28";"0.079";"0.462"
"1998";"0.3667";"0.314";"0.087";"0.525"
"1999";"0.3987";"0.352";"0.095";"0.587"
"2000";"0.4317";"0.392";"0.105";"0.648"
"2001";"0.4657";"0.43";"0.115";"0.707"
"2002";"0.4997";"0.455";"0.125";"0.765"
"2003";"0.5337";"0.481";"0.136";"0.826"
"2004";"0.5677";"0.508";"0.147";"0.896"
"2005";"0.6017";"0.536";"0.157";"0.962"
"2006";"0.6357";"0.565";"0.168";"1.025"
"2007";"0.6687";"0.594";"0.179";"1.083"
"2008";"0.7007";"0.622";"0.189";"1.137"
"2009";"0.7327";"0.651";"0.199";"1.185"
"2010";"0.7637";"0.678";"0.21";"1.228"
"2011";"0.7937";"0.704";"0.221";"1.266"
"2012";;"0.729";"0.233";"1.299"
"2013";;"0.753";"0.245";"1.327"
"2014";;"0.775";"0.258";"1.352"
"2015";;"0.795";"0.272";"1.374"
"2016";;"0.814";"0.287";"1.393"
"2017";;"0.831";"0.303";"1.411"
"2018";;"0.864";"0.32";"1.429"
"2019";;"0.899";"0.339";"1.447"
"2020";;"0.918";"0.358";"1.466"
"2021";;"0.938";"0.38";"1.487"
"2022";;"0.96";"0.403";"1.524"
"2023";;"0.983";"0.427";"1.57"
"2024";;"1.009";"0.453";"1.621"
"2025";;"1.042";"0.48";"1.678"
"2026";;"1.08";"0.509";"1.735"
"2027";;"1.113";"0.54";"1.792"
"2028";;"1.141";"0.572";"1.848"
"2029";;"1.166";"0.606";"1.903"
"2030";;"1.196";"0.64";"1.956"
"2031";;"1.232";"0.676";"2.006"
"2032";;"1.268";"0.712";"2.058"
"2033";;"1.306";"0.749";"2.11"
"2034";;"1.358";"0.785";"2.16"
"2035";;"1.414";"0.821";"2.207"
"2036";;"1.471";"0.855";"2.251"
"2037";;"1.48";"0.888";"2.291"
"2038";;"1.502";"0.919";"2.327"
"2039";;"1.542";"0.948";"2.36"
"2040";;"1.581";"0.974";"2.389"
"2041";;"1.62";"0.997";"2.415"
"2042";;"1.658";"1.017";"2.438"
"2043";;"1.695";"1.035";"2.459"
"2044";;"1.731";"1.051";"2.479"
"2045";;"1.766";"1.064";"2.498"
"2046";;"1.8";"1.076";"2.52"
"2047";;"1.832";"1.087";"2.546"
"2048";;"1.862";"1.098";"2.57"
"2049";;"1.891";"1.108";"2.593"
"2050";;"1.919";"1.12";"2.617"
"2051";;"1.945";"1.133";"2.64"
"2052";;"1.969";"1.147";"2.664"
"2053";;"1.992";"1.164";"2.688"
"2054";;"2.014";"1.183";"2.712"
"2055";;"2.035";"1.205";"2.737"
"2056";;"2.054";"1.229";"2.761"
"2057";;"2.094";"1.256";"2.788"
"2058";;"2.134";"1.285";"2.82"
"2059";;"2.173";"1.316";"2.852"
"2060";;"2.21";"1.349";"2.884"
"2061";;"2.244";"1.383";"2.916"
"2062";;"2.277";"1.417";"2.947"
"2063";;"2.288";"1.451";"2.977"
"2064";;"2.292";"1.484";"3.006"
"2065";;"2.296";"1.516";"3.035"
"2066";;"2.299";"1.545";"3.062"
"2067";;"2.303";"1.572";"3.089"
"2068";;"2.306";"1.596";"3.115"
"2069";;"2.31";"1.616";"3.14"
"2070";;"2.314";"1.633";"3.165"
"2071";;"2.319";"1.645";"3.189"
"2072";;"2.326";"1.654";"3.213"
"2073";;"2.361";"1.659";"3.237"
"2074";;"2.404";"1.661";"3.26"
"2075";;"2.446";"1.66";"3.283"
"2076";;"2.487";"1.656";"3.305"
"2077";;"2.525";"1.651";"3.326"
"2078";;"2.561";"1.645";"3.347"
"2079";;"2.594";"1.638";"3.366"
"2080";;"2.623";"1.632";"3.385"
"2081";;"2.649";"1.627";"3.402"
"2082";;"2.671";"1.624";"3.418"
"2083";;"2.689";"1.623";"3.432"
"2084";;"2.703";"1.624";"3.445"
"2085";;"2.712";"1.628";"3.457"
"2086";;"2.718";"1.634";"3.467"
"2087";;"2.723";"1.644";"3.476"
"2088";;"2.724";"1.656";"3.484"
"2089";;"2.721";"1.671";"3.491"
"2090";;"2.733";"1.688";"3.497"
"2091";;"2.736";"1.707";"3.502"
"2092";;"2.739";"1.727";"3.506"
"2093";;"2.741";"1.749";"3.51"
"2094";;"2.743";"1.773";"3.513"
"2095";;"2.745";"1.796";"3.515"
"2096";;"2.747";"1.821";"3.516"
"2097";;"2.749";"1.846";"3.517"
"2098";;"2.751";"1.871";"3.518"
"2099";;"2.754";"1.896";"3.518"
"2100";;"2.756";"1.92";"3.517"
