Year;Obs;Median;"10%";"90%"
"1901";"-0.2012";;;
"1902";"-0.1762";;;
"1903";"-0.1532";;;
"1904";"-0.1332";;;
"1905";"-0.1152";;;
"1906";"-0.1002";;;
"1907";"-0.0882";;;
"1908";"-0.0782";;;
"1909";"-0.0702";;;
"1910";"-0.0632";;;
"1911";"-0.0572";;;
"1912";"-0.0512";;;
"1913";"-0.0452";;;
"1914";"-0.0372";;;
"1915";"-0.0282";;;
"1916";"-0.0162";;;
"1917";"-0.0012";;;
"1918";"0.0168";;;
"1919";"0.0388";;;
"1920";"0.0638";;;
"1921";"0.0918";;;
"1922";"0.1228";;;
"1923";"0.1548";;;
"1924";"0.1888";;;
"1925";"0.2208";;;
"1926";"0.2518";;;
"1927";"0.2798";;;
"1928";"0.3038";;;
"1929";"0.3228";;;
"1930";"0.3348";;;
"1931";"0.3398";;;
"1932";"0.3378";;;
"1933";"0.3288";;;
"1934";"0.3118";;;
"1935";"0.2888";;;
"1936";"0.2588";;;
"1937";"0.2248";;;
"1938";"0.1858";;;
"1939";"0.1438";;;
"1940";"0.0988";;;
"1941";"0.0538";;;
"1942";"0.0078";;;
"1943";"-0.0372";;;
"1944";"-0.0812";;;
"1945";"-0.1252";;;
"1946";"-0.1662";;;
"1947";"-0.2072";;;
"1948";"-0.2462";;;
"1949";"-0.2842";;;
"1950";"-0.3212";;;
"1951";"-0.3572";;;
"1952";"-0.3922";;;
"1953";"-0.4262";;;
"1954";"-0.4592";;;
"1955";"-0.4912";;;
"1956";"-0.5222";;;
"1957";"-0.5502";;;
"1958";"-0.5762";;;
"1959";"-0.5992";;;
"1960";"-0.6192";;;
"1961";"-0.6352";;;
"1962";"-0.6482";;;
"1963";"-0.6562";;;
"1964";"-0.6612";;;
"1965";"-0.6622";;;
"1966";"-0.6602";;;
"1967";"-0.6552";;;
"1968";"-0.6472";;;
"1969";"-0.6382";;;
"1970";"-0.6262";;;
"1971";"-0.6142";"-0.143";"-0.453";"0.25"
"1972";"-0.6002";"-0.149";"-0.425";"0.256"
"1973";"-0.5852";"-0.153";"-0.397";"0.261"
"1974";"-0.5692";"-0.157";"-0.367";"0.264"
"1975";"-0.5502";"-0.171";"-0.348";"0.265"
"1976";"-0.5292";"-0.183";"-0.328";"0.264"
"1977";"-0.5052";"-0.162";"-0.307";"0.26"
"1978";"-0.4762";"-0.14";"-0.283";"0.253"
"1979";"-0.4432";"-0.13";"-0.262";"0.242"
"1980";"-0.4042";"-0.117";"-0.247";"0.228"
"1981";"-0.3602";"-0.102";"-0.231";"0.21"
"1982";"-0.3082";"-0.084";"-0.211";"0.188"
"1983";"-0.2512";"-0.063";"-0.19";"0.162"
"1984";"-0.1882";"-0.04";"-0.169";"0.142"
"1985";"-0.1192";"-0.013";"-0.144";"0.153"
"1986";"-0.0462";"0.017";"-0.114";"0.164"
"1987";"0.0298";"0.026";"-0.084";"0.201"
"1988";"0.1078";"0.02";"-0.053";"0.239"
"1989";"0.1868";"0.032";"-0.038";"0.276"
"1990";"0.2648";"0.076";"-0.06";"0.313"
"1991";"0.3408";"0.121";"-0.086";"0.349"
"1992";"0.4128";"0.167";"-0.106";"0.384"
"1993";"0.4798";"0.215";"-0.12";"0.419"
"1994";"0.5418";"0.264";"-0.126";"0.453"
"1995";"0.5968";"0.317";"-0.125";"0.5"
"1996";"0.6458";"0.384";"-0.116";"0.556"
"1997";"0.6878";"0.441";"-0.099";"0.615"
"1998";"0.7238";"0.465";"-0.074";"0.677"
"1999";"0.7538";"0.515";"-0.042";"0.747"
"2000";"0.7768";"0.566";"-0.003";"0.821"
"2001";"0.7958";"0.617";"0.042";"0.896"
"2002";"0.8098";"0.667";"0.091";"0.971"
"2003";"0.8188";"0.717";"0.144";"1.046"
"2004";"0.8258";"0.767";"0.199";"1.118"
"2005";"0.8298";"0.816";"0.255";"1.187"
"2006";"0.8308";"0.866";"0.31";"1.252"
"2007";"0.8318";"0.915";"0.364";"1.312"
"2008";"0.8308";"0.964";"0.416";"1.367"
"2009";"0.8288";"1.013";"0.465";"1.416"
"2010";"0.8278";"1.062";"0.508";"1.459"
"2011";"0.8268";"1.09";"0.548";"1.495"
"2012";;"1.108";"0.578";"1.525"
"2013";;"1.125";"0.602";"1.55"
"2014";;"1.143";"0.626";"1.569"
"2015";;"1.147";"0.65";"1.588"
"2016";;"1.13";"0.673";"1.61"
"2017";;"1.112";"0.697";"1.629"
"2018";;"1.092";"0.721";"1.646"
"2019";;"1.073";"0.747";"1.661"
"2020";;"1.073";"0.773";"1.679"
"2021";;"1.127";"0.797";"1.715"
"2022";;"1.181";"0.817";"1.749"
"2023";;"1.237";"0.839";"1.782"
"2024";;"1.293";"0.86";"1.812"
"2025";;"1.348";"0.883";"1.841"
"2026";;"1.404";"0.906";"1.886"
"2027";;"1.458";"0.928";"1.935"
"2028";;"1.512";"0.951";"2.002"
"2029";;"1.564";"0.973";"2.069"
"2030";;"1.595";"0.994";"2.142"
"2031";;"1.625";"1.014";"2.225"
"2032";;"1.656";"1.032";"2.304"
"2033";;"1.688";"1.049";"2.38"
"2034";;"1.72";"1.063";"2.451"
"2035";;"1.752";"1.076";"2.517"
"2036";;"1.784";"1.087";"2.575"
"2037";;"1.816";"1.096";"2.628"
"2038";;"1.847";"1.104";"2.673"
"2039";;"1.841";"1.111";"2.712"
"2040";;"1.825";"1.117";"2.744"
"2041";;"1.856";"1.123";"2.772"
"2042";;"1.902";"1.129";"2.794"
"2043";;"1.947";"1.136";"2.813"
"2044";;"1.991";"1.145";"2.829"
"2045";;"2.034";"1.156";"2.843"
"2046";;"2.077";"1.168";"2.856"
"2047";;"2.119";"1.184";"2.869"
"2048";;"2.161";"1.202";"2.883"
"2049";;"2.202";"1.224";"2.899"
"2050";;"2.243";"1.248";"2.918"
"2051";;"2.283";"1.275";"2.939"
"2052";;"2.314";"1.306";"2.963"
"2053";;"2.334";"1.339";"2.99"
"2054";;"2.354";"1.374";"3.021"
"2055";;"2.372";"1.411";"3.054"
"2056";;"2.39";"1.451";"3.091"
"2057";;"2.407";"1.491";"3.129"
"2058";;"2.424";"1.532";"3.169"
"2059";;"2.439";"1.573";"3.21"
"2060";;"2.455";"1.614";"3.251"
"2061";;"2.469";"1.652";"3.302"
"2062";;"2.483";"1.692";"3.354"
"2063";;"2.496";"1.73";"3.403"
"2064";;"2.518";"1.765";"3.448"
"2065";;"2.547";"1.797";"3.49"
"2066";;"2.543";"1.827";"3.526"
"2067";;"2.543";"1.854";"3.559"
"2068";;"2.554";"1.874";"3.587"
"2069";;"2.565";"1.892";"3.611"
"2070";;"2.576";"1.908";"3.632"
"2071";;"2.589";"1.92";"3.65"
"2072";;"2.604";"1.931";"3.665"
"2073";;"2.62";"1.94";"3.679"
"2074";;"2.64";"1.947";"3.692"
"2075";;"2.693";"1.953";"3.705"
"2076";;"2.72";"1.959";"3.718"
"2077";;"2.728";"1.965";"3.731"
"2078";;"2.75";"1.972";"3.747"
"2079";;"2.787";"1.98";"3.773"
"2080";;"2.826";"1.989";"3.809"
"2081";;"2.867";"1.998";"3.848"
"2082";;"2.91";"2.009";"3.889"
