Year;Obs;Median;"10%";"90%"
"1900";"-0.4971";;;
"1901";"-0.4861";;;
"1902";"-0.4751";;;
"1903";"-0.4651";;;
"1904";"-0.4551";;;
"1905";"-0.4461";;;
"1906";"-0.4381";;;
"1907";"-0.4301";;;
"1908";"-0.4221";;;
"1909";"-0.4151";;;
"1910";"-0.4091";;;
"1911";"-0.4021";;;
"1912";"-0.3951";;;
"1913";"-0.3881";;;
"1914";"-0.3801";;;
"1915";"-0.3721";;;
"1916";"-0.3621";;;
"1917";"-0.3511";;;
"1918";"-0.3391";;;
"1919";"-0.3241";;;
"1920";"-0.3081";;;
"1921";"-0.2901";;;
"1922";"-0.2701";;;
"1923";"-0.2491";;;
"1924";"-0.2261";;;
"1925";"-0.2021";;;
"1926";"-0.1781";;;
"1927";"-0.1531";;;
"1928";"-0.1291";;;
"1929";"-0.1061";;;
"1930";"-0.0841";;;
"1931";"-0.0641";;;
"1932";"-0.0461";;;
"1933";"-0.0311";;;
"1934";"-0.0181";;;
"1935";"-0.0091";;;
"1936";"-0.0021";;;
"1937";"0.0019";;;
"1938";"0.0029";;;
"1939";"9.0E-4";;;
"1940";"-0.0021";;;
"1941";"-0.0081";;;
"1942";"-0.0161";;;
"1943";"-0.0251";;;
"1944";"-0.0351";;;
"1945";"-0.0461";;;
"1946";"-0.0581";;;
"1947";"-0.0711";;;
"1948";"-0.0851";;;
"1949";"-0.1001";;;
"1950";"-0.1141";;;
"1951";"-0.1301";;;
"1952";"-0.1461";;;
"1953";"-0.1621";;;
"1954";"-0.1781";;;
"1955";"-0.1941";;;
"1956";"-0.2111";;;
"1957";"-0.2271";;;
"1958";"-0.2421";;;
"1959";"-0.2571";;;
"1960";"-0.2701";;;
"1961";"-0.2831";;;
"1962";"-0.2951";;;
"1963";"-0.3051";;;
"1964";"-0.3141";;;
"1965";"-0.3211";;;
"1966";"-0.3261";;;
"1967";"-0.3301";;;
"1968";"-0.3331";;;
"1969";"-0.3341";;;
"1970";"-0.3331";;;
"1971";"-0.3311";"-0.144";"-0.51";"0.039"
"1972";"-0.3281";"-0.142";"-0.483";"0.048"
"1973";"-0.3221";"-0.139";"-0.454";"0.063"
"1974";"-0.3151";"-0.135";"-0.424";"0.077"
"1975";"-0.3071";"-0.129";"-0.397";"0.09"
"1976";"-0.2961";"-0.121";"-0.369";"0.101"
"1977";"-0.2821";"-0.113";"-0.339";"0.11"
"1978";"-0.2671";"-0.114";"-0.306";"0.117"
"1979";"-0.2481";"-0.101";"-0.275";"0.121"
"1980";"-0.2281";"-0.078";"-0.247";"0.123"
"1981";"-0.2041";"-0.063";"-0.227";"0.123"
"1982";"-0.1771";"-0.044";"-0.203";"0.12"
"1983";"-0.1481";"-0.02";"-0.176";"0.114"
"1984";"-0.1161";"0.005";"-0.145";"0.106"
"1985";"-0.0811";"0.027";"-0.11";"0.096"
"1986";"-0.0441";"0.049";"-0.071";"0.105"
"1987";"-0.0061";"0.065";"-0.028";"0.12"
"1988";"0.0349";"0.087";"-0.009";"0.147"
"1989";"0.0759";"0.116";"0.001";"0.187"
"1990";"0.1189";"0.15";"0.014";"0.235"
"1991";"0.1619";"0.183";"0.023";"0.284"
"1992";"0.2049";"0.215";"0.015";"0.332"
"1993";"0.2479";"0.241";"0.011";"0.38"
"1994";"0.2899";"0.267";"0.01";"0.438"
"1995";"0.3309";"0.294";"0.015";"0.501"
"1996";"0.3719";"0.333";"0.024";"0.565"
"1997";"0.4109";"0.384";"0.039";"0.628"
"1998";"0.4489";"0.416";"0.06";"0.692"
"1999";"0.4849";"0.447";"0.087";"0.755"
"2000";"0.5199";"0.479";"0.119";"0.817"
"2001";"0.5529";"0.511";"0.157";"0.879"
"2002";"0.5839";"0.543";"0.199";"0.94"
"2003";"0.6129";"0.575";"0.246";"1.0"
"2004";"0.6409";"0.607";"0.297";"1.058"
"2005";"0.6669";"0.638";"0.351";"1.116"
"2006";"0.6909";"0.67";"0.408";"1.172"
"2007";"0.7139";"0.702";"0.466";"1.227"
"2008";"0.7349";"0.733";"0.525";"1.281"
"2009";"0.7549";"0.765";"0.584";"1.333"
"2010";"0.7729";"0.797";"0.643";"1.385"
"2011";"0.7909";"0.828";"0.686";"1.435"
"2012";;"0.87";"0.727";"1.485"
"2013";;"0.922";"0.767";"1.533"
"2014";;"0.974";"0.805";"1.581"
"2015";;"1.025";"0.843";"1.628"
"2016";;"1.075";"0.874";"1.674"
"2017";;"1.125";"0.898";"1.72"
"2018";;"1.174";"0.922";"1.766"
"2019";;"1.222";"0.946";"1.812"
"2020";;"1.269";"0.97";"1.857"
"2021";;"1.316";"0.995";"1.903"
"2022";;"1.363";"1.02";"1.948"
"2023";;"1.409";"1.046";"1.994"
"2024";;"1.454";"1.072";"2.04"
"2025";;"1.499";"1.099";"2.086"
"2026";;"1.543";"1.127";"2.132"
"2027";;"1.586";"1.156";"2.178"
"2028";;"1.629";"1.187";"2.224"
"2029";;"1.67";"1.218";"2.27"
"2030";;"1.71";"1.251";"2.315"
"2031";;"1.748";"1.285";"2.36"
"2032";;"1.785";"1.321";"2.405"
"2033";;"1.821";"1.358";"2.449"
"2034";;"1.854";"1.391";"2.493"
"2035";;"1.886";"1.424";"2.536"
"2036";;"1.916";"1.459";"2.579"
"2037";;"1.945";"1.496";"2.622"
"2038";;"1.973";"1.535";"2.665"
"2039";;"1.999";"1.576";"2.708"
"2040";;"2.025";"1.62";"2.751"
"2041";;"2.05";"1.654";"2.796"
"2042";;"2.075";"1.687";"2.842"
"2043";;"2.099";"1.72";"2.889"
"2044";;"2.125";"1.754";"2.937"
"2045";;"2.174";"1.789";"2.988"
"2046";;"2.224";"1.825";"3.04"
"2047";;"2.275";"1.862";"3.094"
"2048";;"2.326";"1.9";"3.15"
"2049";;"2.378";"1.939";"3.208"
"2050";;"2.429";"1.979";"3.268"
"2051";;"2.484";"2.02";"3.329"
"2052";;"2.551";"2.062";"3.392"
"2053";;"2.617";"2.104";"3.455"
"2054";;"2.681";"2.147";"3.526"
"2055";;"2.743";"2.191";"3.604"
"2056";;"2.803";"2.236";"3.683"
"2057";;"2.861";"2.281";"3.762"
"2058";;"2.917";"2.328";"3.841"
"2059";;"2.97";"2.374";"3.92"
"2060";;"3.023";"2.422";"3.998"
"2061";;"3.073";"2.47";"4.075"
"2062";;"3.123";"2.519";"4.15"
"2063";;"3.172";"2.569";"4.225"
"2064";;"3.221";"2.62";"4.298"
"2065";;"3.271";"2.672";"4.37"
"2066";;"3.317";"2.724";"4.441"
"2067";;"3.36";"2.777";"4.509"
"2068";;"3.403";"2.831";"4.576"
"2069";;"3.447";"2.885";"4.642"
"2070";;"3.501";"2.939";"4.706"
"2071";;"3.562";"2.993";"4.768"
"2072";;"3.624";"3.046";"4.829"
"2073";;"3.686";"3.099";"4.889"
"2074";;"3.749";"3.151";"4.947"
"2075";;"3.812";"3.201";"5.004"
"2076";;"3.875";"3.249";"5.06"
"2077";;"3.938";"3.295";"5.115"
"2078";;"4.0";"3.339";"5.169"
"2079";;"4.062";"3.381";"5.222"
"2080";;"4.123";"3.42";"5.274"
"2081";;"4.183";"3.456";"5.326"
"2082";;"4.242";"3.49";"5.378"
"2083";;"4.299";"3.52";"5.432"
"2084";;"4.355";"3.549";"5.503"
"2085";;"4.41";"3.574";"5.572"
"2086";;"4.462";"3.598";"5.639"
"2087";;"4.513";"3.619";"5.704"
"2088";;"4.553";"3.638";"5.765"
"2089";;"4.591";"3.656";"5.823"
"2090";;"4.629";"3.672";"5.878"
"2091";;"4.666";"3.687";"5.93"
"2092";;"4.702";"3.702";"5.978"
"2093";;"4.739";"3.716";"6.023"
"2094";;"4.775";"3.729";"6.065"
"2095";;"4.81";"3.742";"6.103"
"2096";;"4.846";"3.754";"6.138"
"2097";;"4.881";"3.767";"6.17"
"2098";;"4.916";"3.779";"6.199"
"2099";;"4.95";"3.792";"6.226"
"2100";;"4.984";"3.805";"6.25"
