Year;Obs;Median;"10%";"90%"
"1900";"-0.5515";;;
"1901";"-0.5345";;;
"1902";"-0.5195";;;
"1903";"-0.5035";;;
"1904";"-0.4895";;;
"1905";"-0.4745";;;
"1906";"-0.4595";;;
"1907";"-0.4445";;;
"1908";"-0.4295";;;
"1909";"-0.4145";;;
"1910";"-0.3975";;;
"1911";"-0.3795";;;
"1912";"-0.3605";;;
"1913";"-0.3385";;;
"1914";"-0.3155";;;
"1915";"-0.2895";;;
"1916";"-0.2605";;;
"1917";"-0.2295";;;
"1918";"-0.1965";;;
"1919";"-0.1595";;;
"1920";"-0.1215";;;
"1921";"-0.0805";;;
"1922";"-0.0375";;;
"1923";"0.0055";;;
"1924";"0.0505";;;
"1925";"0.0945";;;
"1926";"0.1385";;;
"1927";"0.1805";;;
"1928";"0.2205";;;
"1929";"0.2575";;;
"1930";"0.2925";;;
"1931";"0.3225";;;
"1932";"0.3485";;;
"1933";"0.3695";;;
"1934";"0.3865";;;
"1935";"0.3985";;;
"1936";"0.4055";;;
"1937";"0.4075";;;
"1938";"0.4055";;;
"1939";"0.3995";;;
"1940";"0.3895";;;
"1941";"0.3765";;;
"1942";"0.3605";;;
"1943";"0.3415";;;
"1944";"0.3205";;;
"1945";"0.2985";;;
"1946";"0.2745";;;
"1947";"0.2485";;;
"1948";"0.2225";;;
"1949";"0.1945";;;
"1950";"0.1665";;;
"1951";"0.1375";;;
"1952";"0.1085";;;
"1953";"0.0785";;;
"1954";"0.0475";;;
"1955";"0.0175";;;
"1956";"-0.0125";;;
"1957";"-0.0425";;;
"1958";"-0.0715";;;
"1959";"-0.1005";;;
"1960";"-0.1275";;;
"1961";"-0.1545";;;
"1962";"-0.1785";;;
"1963";"-0.2015";;;
"1964";"-0.2225";;;
"1965";"-0.2415";;;
"1966";"-0.2585";;;
"1967";"-0.2735";;;
"1968";"-0.2855";;;
"1969";"-0.2965";;;
"1970";"-0.3045";;;
"1971";"-0.3105";"-0.147";"-0.482";"0.079"
"1972";"-0.3145";"-0.138";"-0.448";"0.096"
"1973";"-0.3155";"-0.135";"-0.411";"0.112"
"1974";"-0.3145";"-0.13";"-0.373";"0.127"
"1975";"-0.3115";"-0.124";"-0.334";"0.14"
"1976";"-0.3055";"-0.115";"-0.293";"0.15"
"1977";"-0.2965";"-0.123";"-0.26";"0.159"
"1978";"-0.2845";"-0.099";"-0.227";"0.164"
"1979";"-0.2695";"-0.08";"-0.21";"0.166"
"1980";"-0.2505";"-0.065";"-0.191";"0.166"
"1981";"-0.2285";"-0.047";"-0.18";"0.161"
"1982";"-0.2035";"-0.028";"-0.166";"0.154"
"1983";"-0.1735";"-0.013";"-0.151";"0.144"
"1984";"-0.1405";"0.016";"-0.138";"0.153"
"1985";"-0.1045";"0.046";"-0.12";"0.168"
"1986";"-0.0665";"0.09";"-0.096";"0.181"
"1987";"-0.0245";"0.079";"-0.067";"0.218"
"1988";"0.0185";"0.098";"-0.046";"0.256"
"1989";"0.0645";"0.142";"-0.028";"0.293"
"1990";"0.1105";"0.191";"-0.005";"0.33"
"1991";"0.1585";"0.227";"0.014";"0.367"
"1992";"0.2065";"0.265";"0.005";"0.408"
"1993";"0.2545";"0.305";"0.0";"0.451"
"1994";"0.3025";"0.348";"0.001";"0.495"
"1995";"0.3505";"0.392";"0.007";"0.542"
"1996";"0.3975";"0.439";"0.02";"0.592"
"1997";"0.4445";"0.498";"0.039";"0.657"
"1998";"0.4905";"0.538";"0.065";"0.729"
"1999";"0.5355";"0.59";"0.096";"0.803"
"2000";"0.5805";"0.643";"0.132";"0.878"
"2001";"0.6235";"0.699";"0.174";"0.952"
"2002";"0.6665";"0.758";"0.219";"1.025"
"2003";"0.7075";"0.817";"0.267";"1.096"
"2004";"0.7485";"0.875";"0.318";"1.17"
"2005";"0.7875";"0.931";"0.369";"1.244"
"2006";"0.8255";"0.986";"0.421";"1.315"
"2007";"0.8625";"1.04";"0.473";"1.384"
"2008";"0.8985";"1.092";"0.524";"1.449"
"2009";"0.9335";"1.144";"0.571";"1.513"
"2010";"0.9665";"1.194";"0.616";"1.574"
"2011";"0.9985";"1.244";"0.659";"1.633"
"2012";;"1.294";"0.699";"1.691"
"2013";;"1.343";"0.736";"1.749"
"2014";;"1.392";"0.772";"1.807"
"2015";;"1.441";"0.804";"1.865"
"2016";;"1.49";"0.835";"1.924"
"2017";;"1.54";"0.864";"1.985"
"2018";;"1.589";"0.892";"2.047"
"2019";;"1.638";"0.919";"2.111"
"2020";;"1.677";"0.945";"2.177"
"2021";;"1.695";"0.971";"2.244"
"2022";;"1.715";"0.998";"2.313"
"2023";;"1.737";"1.025";"2.384"
"2024";;"1.761";"1.052";"2.459"
"2025";;"1.788";"1.08";"2.537"
"2026";;"1.818";"1.11";"2.616"
"2027";;"1.851";"1.14";"2.695"
"2028";;"1.887";"1.17";"2.774"
"2029";;"1.926";"1.202";"2.851"
"2030";;"1.968";"1.233";"2.926"
"2031";;"2.013";"1.265";"2.999"
"2032";;"2.06";"1.297";"3.068"
"2033";;"2.109";"1.328";"3.134"
"2034";;"2.16";"1.358";"3.196"
"2035";;"2.213";"1.386";"3.254"
"2036";;"2.263";"1.414";"3.308"
"2037";;"2.275";"1.439";"3.358"
"2038";;"2.287";"1.461";"3.403"
"2039";;"2.3";"1.482";"3.445"
"2040";;"2.315";"1.5";"3.485"
"2041";;"2.332";"1.515";"3.521"
"2042";;"2.351";"1.529";"3.555"
"2043";;"2.372";"1.54";"3.588"
"2044";;"2.395";"1.549";"3.62"
"2045";;"2.42";"1.557";"3.651"
"2046";;"2.447";"1.564";"3.683"
"2047";;"2.475";"1.571";"3.714"
"2048";;"2.505";"1.578";"3.747"
"2049";;"2.536";"1.585";"3.781"
"2050";;"2.568";"1.594";"3.816"
"2051";;"2.6";"1.605";"3.852"
"2052";;"2.633";"1.617";"3.89"
"2053";;"2.667";"1.632";"3.93"
"2054";;"2.7";"1.65";"3.971"
"2055";;"2.735";"1.67";"4.014"
"2056";;"2.769";"1.693";"4.058"
"2057";;"2.804";"1.718";"4.103"
"2058";;"2.84";"1.746";"4.148"
"2059";;"2.877";"1.775";"4.193"
"2060";;"2.915";"1.806";"4.238"
"2061";;"2.954";"1.838";"4.283"
"2062";;"2.994";"1.87";"4.326"
"2063";;"3.035";"1.903";"4.367"
"2064";;"3.077";"1.935";"4.407"
"2065";;"3.12";"1.967";"4.444"
"2066";;"3.164";"1.997";"4.478"
"2067";;"3.208";"2.026";"4.51"
