Year;Obs;Median;"10%";"90%"
"1900";"-0.637";;;
"1901";"-0.621";;;
"1902";"-0.605";;;
"1903";"-0.59";;;
"1904";"-0.575";;;
"1905";"-0.561";;;
"1906";"-0.547";;;
"1907";"-0.534";;;
"1908";"-0.522";;;
"1909";"-0.511";;;
"1910";"-0.5";;;
"1911";"-0.489";;;
"1912";"-0.479";;;
"1913";"-0.469";;;
"1914";"-0.459";;;
"1915";"-0.448";;;
"1916";"-0.436";;;
"1917";"-0.423";;;
"1918";"-0.409";;;
"1919";"-0.394";;;
"1920";"-0.377";;;
"1921";"-0.358";;;
"1922";"-0.337";;;
"1923";"-0.315";;;
"1924";"-0.292";;;
"1925";"-0.268";;;
"1926";"-0.243";;;
"1927";"-0.218";;;
"1928";"-0.193";;;
"1929";"-0.169";;;
"1930";"-0.147";;;
"1931";"-0.127";;;
"1932";"-0.109";;;
"1933";"-0.093";;;
"1934";"-0.081";;;
"1935";"-0.071";;;
"1936";"-0.065";;;
"1937";"-0.061";;;
"1938";"-0.06";;;
"1939";"-0.062";;;
"1940";"-0.066";;;
"1941";"-0.072";;;
"1942";"-0.08";;;
"1943";"-0.089";;;
"1944";"-0.099";;;
"1945";"-0.111";;;
"1946";"-0.123";;;
"1947";"-0.135";;;
"1948";"-0.148";;;
"1949";"-0.16";;;
"1950";"-0.173";;;
"1951";"-0.186";;;
"1952";"-0.199";;;
"1953";"-0.212";;;
"1954";"-0.224";;;
"1955";"-0.236";;;
"1956";"-0.247";;;
"1957";"-0.258";;;
"1958";"-0.268";;;
"1959";"-0.278";;;
"1960";"-0.287";;;
"1961";"-0.295";;;
"1962";"-0.302";;;
"1963";"-0.309";;;
"1964";"-0.314";;;
"1965";"-0.319";;;
"1966";"-0.323";;;
"1967";"-0.326";;;
"1968";"-0.329";;;
"1969";"-0.33";;;
"1970";"-0.331";;;
"1971";"-0.33";"-0.147";"-0.333";"0.057"
"1972";"-0.328";"-0.146";"-0.31";"0.068"
"1973";"-0.325";"-0.144";"-0.287";"0.081"
"1974";"-0.32";"-0.14";"-0.264";"0.092"
"1975";"-0.313";"-0.133";"-0.24";"0.103"
"1976";"-0.304";"-0.125";"-0.217";"0.111"
"1977";"-0.292";"-0.114";"-0.195";"0.119"
"1978";"-0.278";"-0.102";"-0.173";"0.124"
"1979";"-0.261";"-0.108";"-0.151";"0.127"
"1980";"-0.24";"-0.084";"-0.136";"0.127"
"1981";"-0.217";"-0.053";"-0.125";"0.126"
"1982";"-0.19";"-0.032";"-0.113";"0.122"
"1983";"-0.16";"-0.01";"-0.102";"0.117"
"1984";"-0.128";"0.013";"-0.087";"0.109"
"1985";"-0.092";"0.036";"-0.07";"0.1"
"1986";"-0.054";"0.059";"-0.049";"0.098"
"1987";"-0.014";"0.079";"-0.025";"0.109"
"1988";"0.028";"0.08";"-0.004";"0.137"
"1989";"0.071";"0.095";"0.008";"0.165"
"1990";"0.116";"0.129";"0.021";"0.193"
"1991";"0.161";"0.159";"0.023";"0.223"
"1992";"0.207";"0.18";"0.015";"0.254"
"1993";"0.253";"0.21";"0.01";"0.288"
"1994";"0.298";"0.241";"0.008";"0.323"
"1995";"0.344";"0.274";"0.011";"0.359"
"1996";"0.388";"0.333";"0.017";"0.399"
"1997";"0.432";"0.381";"0.028";"0.441"
"1998";"0.475";"0.409";"0.044";"0.493"
"1999";"0.516";"0.438";"0.063";"0.546"
"2000";"0.556";"0.467";"0.087";"0.6"
"2001";"0.594";"0.497";"0.114";"0.653"
"2002";"0.631";"0.527";"0.144";"0.705"
"2003";"0.665";"0.559";"0.176";"0.754"
"2004";"0.698";"0.591";"0.21";"0.802"
"2005";"0.728";"0.624";"0.245";"0.848"
"2006";"0.757";"0.659";"0.281";"0.889"
"2007";"0.784";"0.694";"0.316";"0.927"
"2008";"0.808";"0.731";"0.351";"0.961"
"2009";"0.831";"0.751";"0.384";"0.991"
"2010";"0.853";"0.763";"0.416";"1.017"
"2011";"0.872";"0.772";"0.447";"1.04"
"2012";;"0.796";"0.475";"1.061"
"2013";;"0.831";"0.502";"1.079"
"2014";;"0.867";"0.527";"1.095"
"2015";;"0.904";"0.551";"1.116"
"2016";;"0.942";"0.574";"1.147"
"2017";;"0.982";"0.595";"1.18"
"2018";;"1.022";"0.616";"1.214"
"2019";;"1.057";"0.637";"1.251"
"2020";;"1.062";"0.658";"1.289"
"2021";;"1.069";"0.677";"1.329"
"2022";;"1.077";"0.696";"1.372"
"2023";;"1.087";"0.717";"1.418"
"2024";;"1.099";"0.739";"1.465"
"2025";;"1.113";"0.763";"1.514"
"2026";;"1.129";"0.788";"1.565"
"2027";;"1.147";"0.814";"1.616"
"2028";;"1.167";"0.842";"1.668"
"2029";;"1.188";"0.872";"1.72"
"2030";;"1.211";"0.899";"1.772"
"2031";;"1.234";"0.926";"1.822"
"2032";;"1.259";"0.953";"1.871"
"2033";;"1.285";"0.979";"1.917"
"2034";;"1.311";"1.006";"1.96"
"2035";;"1.338";"1.033";"2.0"
"2036";;"1.365";"1.059";"2.037"
"2037";;"1.393";"1.084";"2.071"
"2038";;"1.422";"1.108";"2.101"
"2039";;"1.451";"1.131";"2.128"
"2040";;"1.482";"1.153";"2.151"
"2041";;"1.513";"1.172";"2.173"
"2042";;"1.546";"1.182";"2.192"
"2043";;"1.579";"1.191";"2.209"
"2044";;"1.614";"1.197";"2.226"
"2045";;"1.651";"1.202";"2.241"
"2046";;"1.688";"1.206";"2.257"
"2047";;"1.707";"1.208";"2.274"
"2048";;"1.714";"1.211";"2.292"
"2049";;"1.738";"1.213";"2.311"
"2050";;"1.765";"1.216";"2.331"
"2051";;"1.789";"1.219";"2.354"
"2052";;"1.811";"1.224";"2.379"
"2053";;"1.831";"1.23";"2.405"
"2054";;"1.848";"1.238";"2.433"
"2055";;"1.862";"1.248";"2.463"
"2056";;"1.874";"1.259";"2.494"
"2057";;"1.883";"1.273";"2.526"
"2058";;"1.89";"1.287";"2.558"
"2059";;"1.904";"1.304";"2.591"
"2060";;"1.934";"1.322";"2.624"
"2061";;"1.963";"1.341";"2.656"
"2062";;"1.992";"1.36";"2.688"
"2063";;"2.019";"1.38";"2.718"
"2064";;"2.045";"1.4";"2.747"
