Year;Obs;Median;"10%";"90%"
"1900";"-0.8242";;;
"1901";"-0.8152";;;
"1902";"-0.8062";;;
"1903";"-0.7972";;;
"1904";"-0.7882";;;
"1905";"-0.7792";;;
"1906";"-0.7692";;;
"1907";"-0.7592";;;
"1908";"-0.7492";;;
"1909";"-0.7382";;;
"1910";"-0.7252";;;
"1911";"-0.7122";;;
"1912";"-0.6962";;;
"1913";"-0.6792";;;
"1914";"-0.6602";;;
"1915";"-0.6382";;;
"1916";"-0.6142";;;
"1917";"-0.5872";;;
"1918";"-0.5582";;;
"1919";"-0.5262";;;
"1920";"-0.4922";;;
"1921";"-0.4562";;;
"1922";"-0.4182";;;
"1923";"-0.3792";;;
"1924";"-0.3392";;;
"1925";"-0.2992";;;
"1926";"-0.2592";;;
"1927";"-0.2202";;;
"1928";"-0.1822";;;
"1929";"-0.1472";;;
"1930";"-0.1152";;;
"1931";"-0.0852";;;
"1932";"-0.0592";;;
"1933";"-0.0372";;;
"1934";"-0.0192";;;
"1935";"-0.0042";;;
"1936";"0.0068";;;
"1937";"0.0138";;;
"1938";"0.0168";;;
"1939";"0.0178";;;
"1940";"0.0158";;;
"1941";"0.0108";;;
"1942";"0.0048";;;
"1943";"-0.0032";;;
"1944";"-0.0132";;;
"1945";"-0.0232";;;
"1946";"-0.0342";;;
"1947";"-0.0462";;;
"1948";"-0.0582";;;
"1949";"-0.0702";;;
"1950";"-0.0822";;;
"1951";"-0.0952";;;
"1952";"-0.1082";;;
"1953";"-0.1202";;;
"1954";"-0.1332";;;
"1955";"-0.1462";;;
"1956";"-0.1582";;;
"1957";"-0.1712";;;
"1958";"-0.1832";;;
"1959";"-0.1952";;;
"1960";"-0.2072";;;
"1961";"-0.2182";;;
"1962";"-0.2292";;;
"1963";"-0.2402";;;
"1964";"-0.2502";;;
"1965";"-0.2592";;;
"1966";"-0.2672";;;
"1967";"-0.2752";;;
"1968";"-0.2822";;;
"1969";"-0.2882";;;
"1970";"-0.2922";;;
"1971";"-0.2962";"-0.16";"-0.33";"0.077"
"1972";"-0.2972";"-0.155";"-0.305";"0.084"
"1973";"-0.2972";"-0.148";"-0.289";"0.097"
"1974";"-0.2962";"-0.139";"-0.271";"0.11"
"1975";"-0.2912";"-0.128";"-0.252";"0.12"
"1976";"-0.2852";"-0.115";"-0.231";"0.13"
"1977";"-0.2752";"-0.097";"-0.21";"0.137"
"1978";"-0.2632";"-0.085";"-0.188";"0.143"
"1979";"-0.2482";"-0.067";"-0.166";"0.147"
"1980";"-0.2292";"-0.047";"-0.146";"0.147"
"1981";"-0.2072";"-0.026";"-0.138";"0.145"
"1982";"-0.1822";"-0.008";"-0.133";"0.14"
"1983";"-0.1532";"0.01";"-0.124";"0.132"
"1984";"-0.1222";"0.03";"-0.112";"0.121"
"1985";"-0.0882";"0.051";"-0.095";"0.125"
"1986";"-0.0522";"0.073";"-0.074";"0.132"
"1987";"-0.0132";"0.083";"-0.047";"0.157"
"1988";"0.0268";"0.077";"-0.025";"0.181"
"1989";"0.0688";"0.118";"-0.01";"0.206"
"1990";"0.1108";"0.161";"0.008";"0.232"
"1991";"0.1538";"0.198";"0.02";"0.263"
"1992";"0.1968";"0.22";"0.011";"0.295"
"1993";"0.2398";"0.24";"0.006";"0.334"
"1994";"0.2818";"0.265";"0.005";"0.382"
"1995";"0.3228";"0.304";"0.009";"0.432"
"1996";"0.3628";"0.344";"0.018";"0.484"
"1997";"0.4028";"0.407";"0.033";"0.537"
"1998";"0.4408";"0.443";"0.052";"0.592"
"1999";"0.4768";"0.48";"0.077";"0.648"
"2000";"0.5118";"0.52";"0.106";"0.704"
"2001";"0.5458";"0.561";"0.14";"0.761"
"2002";"0.5778";"0.605";"0.177";"0.816"
"2003";"0.6078";"0.651";"0.217";"0.871"
"2004";"0.6358";"0.698";"0.259";"0.923"
"2005";"0.6628";"0.747";"0.302";"0.976"
"2006";"0.6888";"0.794";"0.346";"1.028"
"2007";"0.7128";"0.829";"0.389";"1.076"
"2008";"0.7348";"0.86";"0.431";"1.119"
"2009";"0.7568";"0.889";"0.472";"1.16"
"2010";"0.7768";"0.925";"0.512";"1.199"
"2011";"0.7948";"0.965";"0.55";"1.241"
"2012";;"1.005";"0.586";"1.283"
"2013";;"1.046";"0.62";"1.325"
"2014";;"1.087";"0.653";"1.368"
"2015";;"1.129";"0.683";"1.411"
"2016";;"1.172";"0.712";"1.455"
"2017";;"1.215";"0.739";"1.5"
"2018";;"1.258";"0.766";"1.547"
"2019";;"1.303";"0.791";"1.595"
"2020";;"1.333";"0.816";"1.645"
"2021";;"1.344";"0.841";"1.697"
"2022";;"1.357";"0.867";"1.75"
"2023";;"1.372";"0.893";"1.804"
"2024";;"1.389";"0.92";"1.861"
"2025";;"1.41";"0.947";"1.922"
"2026";;"1.433";"0.975";"1.985"
"2027";;"1.459";"1.004";"2.048"
"2028";;"1.487";"1.033";"2.112"
"2029";;"1.519";"1.063";"2.174"
"2030";;"1.553";"1.093";"2.236"
"2031";;"1.589";"1.123";"2.295"
"2032";;"1.627";"1.153";"2.352"
"2033";;"1.667";"1.183";"2.406"
"2034";;"1.709";"1.212";"2.457"
"2035";;"1.751";"1.24";"2.504"
"2036";;"1.794";"1.266";"2.547"
"2037";;"1.831";"1.291";"2.586"
"2038";;"1.839";"1.314";"2.622"
"2039";;"1.848";"1.335";"2.654"
"2040";;"1.858";"1.354";"2.684"
"2041";;"1.869";"1.37";"2.71"
"2042";;"1.882";"1.384";"2.735"
"2043";;"1.896";"1.396";"2.758"
"2044";;"1.912";"1.407";"2.78"
"2045";;"1.93";"1.415";"2.802"
"2046";;"1.949";"1.423";"2.824"
"2047";;"1.97";"1.429";"2.846"
"2048";;"2.003";"1.436";"2.87"
"2049";;"2.037";"1.442";"2.895"
"2050";;"2.069";"1.449";"2.921"
"2051";;"2.1";"1.456";"2.95"
"2052";;"2.128";"1.465";"2.98"
"2053";;"2.154";"1.475";"3.012"
"2054";;"2.178";"1.487";"3.047"
"2055";;"2.199";"1.5";"3.082"
"2056";;"2.217";"1.516";"3.12"
"2057";;"2.234";"1.533";"3.158"
"2058";;"2.266";"1.552";"3.197"
"2059";;"2.3";"1.572";"3.236"
"2060";;"2.335";"1.593";"3.275"
"2061";;"2.372";"1.616";"3.314"
"2062";;"2.411";"1.638";"3.352"
"2063";;"2.452";"1.662";"3.389"
"2064";;"2.494";"1.685";"3.424"
"2065";;"2.538";"1.707";"3.457"
"2066";;"2.583";"1.729";"3.489"
"2067";;"2.629";"1.751";"3.519"
"2068";;"2.676";"1.771";"3.547"
"2069";;"2.723";"1.79";"3.574"
"2070";;"2.77";"1.808";"3.599"
"2071";;"2.817";"1.825";"3.623"
"2072";;"2.862";"1.84";"3.646"
"2073";;"2.884";"1.855";"3.669"
"2074";;"2.905";"1.869";"3.691"
"2075";;"2.926";"1.883";"3.713"
"2076";;"2.947";"1.896";"3.734"
"2077";;"2.969";"1.909";"3.756"
"2078";;"2.991";"1.923";"3.778"
"2079";;"3.013";"1.936";"3.8"
"2080";;"3.035";"1.95";"3.821"
"2081";;"3.057";"1.965";"3.842"
"2082";;"3.079";"1.981";"3.862"
"2083";;"3.099";"1.998";"3.881"
"2084";;"3.119";"2.016";"3.899"
"2085";;"3.137";"2.034";"3.915"
"2086";;"3.154";"2.054";"3.93"
"2087";;"3.169";"2.074";"3.942"
"2088";;"3.181";"2.096";"3.952"
"2089";;"3.192";"2.118";"3.96"
"2090";;"3.2";"2.14";"3.965"
"2091";;"3.206";"2.163";"3.967"
"2092";;"3.21";"2.186";"3.968"
"2093";;"3.211";"2.209";"3.966"
"2094";;"3.21";"2.233";"3.962"
"2095";;"3.208";"2.256";"3.955"
"2096";;"3.203";"2.279";"3.948"
"2097";;"3.197";"2.302";"3.938"
"2098";;"3.19";"2.325";"3.927"
"2099";;"3.181";"2.347";"3.915"
"2100";;"3.172";"2.369";"3.901"
