Year;Obs;Median;"10%";"90%"
"1900";"-0.375";;;
"1901";"-0.362";;;
"1902";"-0.35";;;
"1903";"-0.339";;;
"1904";"-0.328";;;
"1905";"-0.319";;;
"1906";"-0.311";;;
"1907";"-0.304";;;
"1908";"-0.299";;;
"1909";"-0.295";;;
"1910";"-0.292";;;
"1911";"-0.29";;;
"1912";"-0.29";;;
"1913";"-0.29";;;
"1914";"-0.29";;;
"1915";"-0.29";;;
"1916";"-0.291";;;
"1917";"-0.29";;;
"1918";"-0.288";;;
"1919";"-0.285";;;
"1920";"-0.28";;;
"1921";"-0.273";;;
"1922";"-0.264";;;
"1923";"-0.253";;;
"1924";"-0.239";;;
"1925";"-0.224";;;
"1926";"-0.207";;;
"1927";"-0.189";;;
"1928";"-0.17";;;
"1929";"-0.151";;;
"1930";"-0.133";;;
"1931";"-0.115";;;
"1932";"-0.099";;;
"1933";"-0.085";;;
"1934";"-0.073";;;
"1935";"-0.063";;;
"1936";"-0.056";;;
"1937";"-0.052";;;
"1938";"-0.05";;;
"1939";"-0.051";;;
"1940";"-0.053";;;
"1941";"-0.058";;;
"1942";"-0.065";;;
"1943";"-0.074";;;
"1944";"-0.084";;;
"1945";"-0.095";;;
"1946";"-0.108";;;
"1947";"-0.122";;;
"1948";"-0.138";;;
"1949";"-0.154";;;
"1950";"-0.171";;;
"1951";"-0.19";;;
"1952";"-0.209";;;
"1953";"-0.228";;;
"1954";"-0.248";;;
"1955";"-0.268";;;
"1956";"-0.288";;;
"1957";"-0.307";;;
"1958";"-0.326";;;
"1959";"-0.343";;;
"1960";"-0.358";;;
"1961";"-0.372";;;
"1962";"-0.384";;;
"1963";"-0.393";;;
"1964";"-0.4";;;
"1965";"-0.405";;;
"1966";"-0.407";;;
"1967";"-0.407";;;
"1968";"-0.405";;;
"1969";"-0.401";;;
"1970";"-0.395";;;
"1971";"-0.388";"-0.082";"-0.349";"0.037"
"1972";"-0.378";"-0.085";"-0.327";"0.042"
"1973";"-0.368";"-0.087";"-0.303";"0.056"
"1974";"-0.355";"-0.088";"-0.277";"0.069"
