Year;Obs;Median;"10%";"90%"
"1900";"-0.7425";;;
"1901";"-0.7225";;;
"1902";"-0.7015";;;
"1903";"-0.6815";;;
"1904";"-0.6595";;;
"1905";"-0.6375";;;
"1906";"-0.6155";;;
"1907";"-0.5915";;;
"1908";"-0.5675";;;
"1909";"-0.5415";;;
"1910";"-0.5155";;;
"1911";"-0.4865";;;
"1912";"-0.4575";;;
"1913";"-0.4265";;;
"1914";"-0.3935";;;
"1915";"-0.3585";;;
"1916";"-0.3235";;;
"1917";"-0.2855";;;
"1918";"-0.2475";;;
"1919";"-0.2075";;;
"1920";"-0.1675";;;
"1921";"-0.1265";;;
"1922";"-0.0855";;;
"1923";"-0.0445";;;
"1924";"-0.0055";;;
"1925";"0.0335";;;
"1926";"0.0695";;;
"1927";"0.1045";;;
"1928";"0.1355";;;
"1929";"0.1645";;;
"1930";"0.1895";;;
"1931";"0.2105";;;
"1932";"0.2275";;;
"1933";"0.2405";;;
"1934";"0.2495";;;
"1935";"0.2535";;;
"1936";"0.2535";;;
"1937";"0.2495";;;
"1938";"0.2415";;;
"1939";"0.2305";;;
"1940";"0.2165";;;
"1941";"0.2005";;;
"1942";"0.1825";;;
"1943";"0.1625";;;
"1944";"0.1415";;;
"1945";"0.1205";;;
"1946";"0.0995";;;
"1947";"0.0775";;;
"1948";"0.0565";;;
"1949";"0.0355";;;
"1950";"0.0155";;;
"1951";"-0.0055";;;
"1952";"-0.0245";;;
"1953";"-0.0445";;;
"1954";"-0.0635";;;
"1955";"-0.0815";;;
"1956";"-0.1005";;;
"1957";"-0.1195";;;
"1958";"-0.1375";;;
"1959";"-0.1555";;;
"1960";"-0.1735";;;
"1961";"-0.1905";;;
"1962";"-0.2065";;;
"1963";"-0.2225";;;
"1964";"-0.2375";;;
"1965";"-0.2505";;;
"1966";"-0.2625";;;
"1967";"-0.2735";;;
"1968";"-0.2825";;;
"1969";"-0.2895";;;
"1970";"-0.2945";;;
"1971";"-0.2975";"-0.125";"-0.539";"0.063"
"1972";"-0.2985";"-0.125";"-0.497";"0.055"
"1973";"-0.2975";"-0.121";"-0.455";"0.065"
"1974";"-0.2935";"-0.118";"-0.411";"0.083"
"1975";"-0.2875";"-0.113";"-0.365";"0.099"
"1976";"-0.2795";"-0.106";"-0.319";"0.113"
"1977";"-0.2685";"-0.104";"-0.271";"0.125"
"1978";"-0.2545";"-0.094";"-0.222";"0.135"
"1979";"-0.2375";"-0.083";"-0.202";"0.142"
"1980";"-0.2185";"-0.063";"-0.182";"0.146"
"1981";"-0.1955";"-0.048";"-0.17";"0.147"
"1982";"-0.1705";"-0.03";"-0.155";"0.145"
"1983";"-0.1425";"-0.011";"-0.139";"0.143"
"1984";"-0.1125";"0.011";"-0.128";"0.162"
"1985";"-0.0795";"0.036";"-0.112";"0.184"
"1986";"-0.0455";"0.065";"-0.089";"0.203"
"1987";"-0.0095";"0.097";"-0.06";"0.247"
"1988";"0.0285";"0.101";"-0.031";"0.29"
"1989";"0.0675";"0.143";"-0.01";"0.331"
"1990";"0.1065";"0.191";"0.016";"0.37"
"1991";"0.1465";"0.232";"0.046";"0.408"
"1992";"0.1875";"0.275";"0.051";"0.446"
"1993";"0.2275";"0.321";"0.051";"0.483"
"1994";"0.2685";"0.37";"0.055";"0.52"
"1995";"0.3085";"0.422";"0.065";"0.559"
"1996";"0.3495";"0.483";"0.081";"0.613"
"1997";"0.3895";"0.552";"0.102";"0.671"
"1998";"0.4295";"0.622";"0.129";"0.737"
"1999";"0.4695";"0.695";"0.162";"0.813"
"2000";"0.5085";"0.768";"0.2";"0.893"
"2001";"0.5475";"0.842";"0.242";"0.974"
"2002";"0.5855";"0.893";"0.287";"1.062"
"2003";"0.6235";"0.943";"0.336";"1.147"
"2004";"0.6605";"0.993";"0.387";"1.231"
"2005";"0.6965";"1.045";"0.439";"1.311"
"2006";"0.7315";"1.096";"0.491";"1.389"
"2007";"0.7665";"1.148";"0.541";"1.463"
"2008";"0.7995";"1.2";"0.589";"1.534"
"2009";"0.8315";"1.252";"0.636";"1.603"
"2010";"0.8625";"1.303";"0.681";"1.67"
"2011";"0.8925";"1.355";"0.723";"1.734"
"2012";;"1.406";"0.763";"1.797"
"2013";;"1.456";"0.8";"1.86"
"2014";;"1.506";"0.835";"1.922"
"2015";;"1.552";"0.867";"1.984"
"2016";;"1.564";"0.896";"2.047"
"2017";;"1.576";"0.925";"2.112"
"2018";;"1.586";"0.951";"2.178"
"2019";;"1.596";"0.977";"2.246"
"2020";;"1.607";"1.003";"2.317"
"2021";;"1.62";"1.028";"2.39"
"2022";;"1.634";"1.053";"2.466"
"2023";;"1.652";"1.079";"2.544"
"2024";;"1.672";"1.106";"2.624"
"2025";;"1.697";"1.134";"2.706"
"2026";;"1.724";"1.163";"2.789"
"2027";;"1.756";"1.193";"2.872"
"2028";;"1.791";"1.224";"2.955"
"2029";;"1.83";"1.257";"3.037"
"2030";;"1.873";"1.29";"3.118"
"2031";;"1.919";"1.323";"3.196"
"2032";;"1.967";"1.357";"3.271"
"2033";;"2.018";"1.391";"3.343"
"2034";;"2.072";"1.424";"3.411"
"2035";;"2.126";"1.456";"3.476"
"2036";;"2.182";"1.486";"3.536"
"2037";;"2.239";"1.515";"3.592"
"2038";;"2.271";"1.542";"3.645"
"2039";;"2.31";"1.566";"3.693"
"2040";;"2.357";"1.588";"3.739"
"2041";;"2.402";"1.607";"3.781"
"2042";;"2.447";"1.624";"3.821"
"2043";;"2.49";"1.639";"3.859"
"2044";;"2.533";"1.652";"3.895"
"2045";;"2.575";"1.664";"3.931"
"2046";;"2.617";"1.674";"3.966"
"2047";;"2.658";"1.684";"4.001"
"2048";;"2.699";"1.693";"4.036"
"2049";;"2.739";"1.703";"4.072"
"2050";;"2.779";"1.714";"4.11"
"2051";;"2.818";"1.726";"4.148"
"2052";;"2.856";"1.74";"4.188"
"2053";;"2.894";"1.755";"4.23"
"2054";;"2.93";"1.773";"4.273"
"2055";;"2.965";"1.793";"4.317"
"2056";;"2.999";"1.815";"4.363"
"2057";;"3.032";"1.84";"4.409"
"2058";;"3.063";"1.866";"4.456"
"2059";;"3.093";"1.893";"4.504"
"2060";;"3.122";"1.922";"4.551"
"2061";;"3.149";"1.951";"4.597"
"2062";;"3.176";"1.981";"4.642"
"2063";;"3.201";"2.011";"4.686"
"2064";;"3.225";"2.04";"4.728"
"2065";;"3.249";"2.069";"4.767"
"2066";;"3.273";"2.096";"4.803"
"2067";;"3.295";"2.122";"4.837"
"2068";;"3.318";"2.147";"4.867"
"2069";;"3.34";"2.17";"4.894"
"2070";;"3.361";"2.191";"4.918"
"2071";;"3.396";"2.211";"4.939"
"2072";;"3.437";"2.23";"4.957"
"2073";;"3.477";"2.247";"4.972"
"2074";;"3.515";"2.263";"4.986"
"2075";;"3.551";"2.279";"4.997"
"2076";;"3.585";"2.293";"5.007"
"2077";;"3.618";"2.308";"5.016"
"2078";;"3.648";"2.322";"5.023"
"2079";;"3.676";"2.336";"5.03"
"2080";;"3.703";"2.35";"5.037"
"2081";;"3.727";"2.365";"5.043"
"2082";;"3.749";"2.38";"5.048"
"2083";;"3.769";"2.396";"5.054"
"2084";;"3.787";"2.412";"5.059"
"2085";;"3.803";"2.429";"5.064"
"2086";;"3.818";"2.448";"5.069"
"2087";;"3.831";"2.467";"5.074"
"2088";;"3.842";"2.487";"5.078"
"2089";;"3.851";"2.507";"5.081"
"2090";;"3.859";"2.529";"5.084"
"2091";;"3.866";"2.551";"5.086"
"2092";;"3.871";"2.574";"5.087"
"2093";;"3.875";"2.597";"5.088"
"2094";;"3.878";"2.621";"5.087"
"2095";;"3.88";"2.645";"5.086"
"2096";;"3.881";"2.67";"5.085"
"2097";;"3.882";"2.695";"5.082"
"2098";;"3.882";"2.72";"5.079"
"2099";;"3.881";"2.746";"5.075"
"2100";;"3.88";"2.771";"5.071"
