Year;Obs;Median;"10%";"90%"
"1900";"-0.2206";;;
"1901";"-0.2136";;;
"1902";"-0.2076";;;
"1903";"-0.2016";;;
"1904";"-0.1966";;;
"1905";"-0.1916";;;
"1906";"-0.1886";;;
"1907";"-0.1866";;;
"1908";"-0.1846";;;
"1909";"-0.1846";;;
"1910";"-0.1856";;;
"1911";"-0.1876";;;
"1912";"-0.1896";;;
"1913";"-0.1936";;;
"1914";"-0.1966";;;
"1915";"-0.2006";;;
"1916";"-0.2046";;;
"1917";"-0.2086";;;
"1918";"-0.2106";;;
"1919";"-0.2126";;;
"1920";"-0.2136";;;
"1921";"-0.2126";;;
"1922";"-0.2096";;;
"1923";"-0.2056";;;
"1924";"-0.2006";;;
"1925";"-0.1936";;;
"1926";"-0.1856";;;
"1927";"-0.1776";;;
"1928";"-0.1686";;;
"1929";"-0.1586";;;
"1930";"-0.1496";;;
"1931";"-0.1416";;;
"1932";"-0.1336";;;
"1933";"-0.1276";;;
"1934";"-0.1226";;;
"1935";"-0.1186";;;
"1936";"-0.1166";;;
"1937";"-0.1156";;;
"1938";"-0.1166";;;
"1939";"-0.1176";;;
"1940";"-0.1206";;;
"1941";"-0.1236";;;
"1942";"-0.1276";;;
"1943";"-0.1326";;;
"1944";"-0.1376";;;
"1945";"-0.1426";;;
"1946";"-0.1486";;;
"1947";"-0.1546";;;
"1948";"-0.1616";;;
"1949";"-0.1686";;;
"1950";"-0.1756";;;
"1951";"-0.1836";;;
"1952";"-0.1926";;;
"1953";"-0.2016";;;
"1954";"-0.2106";;;
"1955";"-0.2206";;;
"1956";"-0.2306";;;
"1957";"-0.2406";;;
"1958";"-0.2506";;;
"1959";"-0.2606";;;
"1960";"-0.2696";;;
"1961";"-0.2786";;;
"1962";"-0.2856";;;
"1963";"-0.2926";;;
"1964";"-0.2976";;;
"1965";"-0.3016";;;
"1966";"-0.3046";;;
"1967";"-0.3056";;;
"1968";"-0.3056";;;
"1969";"-0.3046";;;
"1970";"-0.3016";;;
"1971";"-0.2976";"-0.107";"-0.292";"0.017"
"1972";"-0.2926";"-0.109";"-0.273";"0.032"
"1973";"-0.2856";"-0.109";"-0.252";"0.046"
"1974";"-0.2776";"-0.107";"-0.231";"0.06"
"1975";"-0.2676";"-0.104";"-0.209";"0.072"
"1976";"-0.2566";"-0.1";"-0.185";"0.083"
"1977";"-0.2436";"-0.097";"-0.163";"0.092"
"1978";"-0.2286";"-0.102";"-0.147";"0.1"
"1979";"-0.2116";"-0.108";"-0.129";"0.106"
"1980";"-0.1916";"-0.083";"-0.118";"0.109"
"1981";"-0.1706";"-0.062";"-0.111";"0.111"
"1982";"-0.1476";"-0.04";"-0.103";"0.111"
"1983";"-0.1216";"-0.014";"-0.093";"0.11"
"1984";"-0.0936";"0.008";"-0.081";"0.106"
"1985";"-0.0646";"0.029";"-0.065";"0.1"
"1986";"-0.0326";"0.051";"-0.047";"0.092"
"1987";"-6.0E-4";"0.066";"-0.026";"0.092"
"1988";"0.0344";"0.078";"-0.001";"0.11"
"1989";"0.0694";"0.087";"0.014";"0.132"
"1990";"0.1044";"0.115";"0.03";"0.154"
"1991";"0.1414";"0.144";"0.039";"0.18"
"1992";"0.1774";"0.174";"0.033";"0.209"
"1993";"0.2134";"0.204";"0.029";"0.242"
"1994";"0.2494";"0.233";"0.027";"0.277"
"1995";"0.2844";"0.255";"0.029";"0.313"
"1996";"0.3184";"0.284";"0.034";"0.352"
"1997";"0.3514";"0.316";"0.044";"0.391"
"1998";"0.3834";"0.348";"0.056";"0.434"
"1999";"0.4134";"0.381";"0.073";"0.484"
"2000";"0.4424";"0.41";"0.093";"0.533"
"2001";"0.4694";"0.437";"0.116";"0.584"
"2002";"0.4944";"0.464";"0.142";"0.633"
"2003";"0.5174";"0.489";"0.17";"0.679"
