snumber,regine,main,region,altitude,lon,lat,Ttrend_deg/yr
20600003,206,3,finn,933.0,20.5256949546,69.5239453267,0.04060387088188591
19600012,196,12,finn,868.0,18.5494147369,68.7223494475,
20500008,205,8,finn,831.0,20.6570869168,69.2317264244,0.03742874005999995
20500003,205,3,finn,819.0,20.2737482309,69.365066645,0.03614769069541143
20900004,209,4,finn,806.0,21.9176192942,69.78567169909999,0.04853841572364506
19600011,196,11,finn,740.0,19.581081202,69.0229805343,0.05152876712328784
19600035,196,35,finn,713.0,18.6583375244,69.0349282602,0.05381605409586552
20800003,208,3,finn,673.0,21.3816610139,69.5285396848,0.053438445278553
20800002,208,2,finn,548.0,21.3763954222,69.9003319278,0.049128277578976774
21200049,212,49,finn,531.0,22.941637087800004,70.0264364248,0.04289315068493138
21300002,213,2,finn,457.0,23.5534396141,70.106674463,0.05140569334425633
21200010,212,10,finn,450.0,23.6350364177,69.4200409093,0.05862100456621152
21200011,212,11,finn,449.0,23.5168051942,69.8263027441,0.05791369863013707
22300001,223,1,finn,441.0,24.8833008425,70.1763363236,0.046721461187215096
21300004,213,4,finn,355.0,23.9533116901,70.4868392422,0.03274844333748441
22400001,224,1,finn,345.0,25.085420092199996,69.8369901977,0.05945205479451854
19600007,196,7,finn,273.0,18.8820667741,69.2629743252,0.05964805057955749
24400002,244,2,finn,212.0,29.321308144899998,69.7007173953,0.04909327045437533
24600009,246,9,finn,131.0,29.717045206599998,69.40015441199999,
15900003,159,3,nord,1168.0,13.766186485799999,66.694803945,0.07291741415394294
15600024,156,24,nord,985.0,14.4946159932,66.6324394546,0.06655868421984787
16300007,163,7,nord,935.0,15.4087676249,66.769168421,0.06318904109589034
15600013,156,13,nord,924.0,14.316014331600002,66.4723690112,
15600008,156,8,nord,902.0,14.224826589300001,66.4808882322,
16300005,163,5,nord,834.0,15.410687646900001,66.81479810229999,0.06057473385472109
15600017,156,17,nord,833.0,15.361118236,66.3079011833,0.05937334836648225
15100015,151,15,nord,827.0,13.986035559500001,65.4375715747,0.07411859006768462
15600010,156,10,nord,804.0,13.878476031300002,66.4567164074,0.07209207640851298
16100007,161,7,nord,795.0,14.8545684876,66.8969240995,0.06219178082191812
15100021,151,21,nord,713.0,13.4547666477,65.5290691933,0.0751000438819357
16700003,167,3,nord,680.0,15.989289248099999,67.6238643486,0.05916826858297771
16300006,163,6,nord,664.0,15.1465539059,66.9356041186,0.06718451081667791
15100028,151,28,nord,660.0,13.2907325225,65.6215448807,0.07439872333773707
17200008,172,8,nord,632.0,16.8833287739,68.20586063569999,
14400001,144,1,nord,625.0,12.6697943493,65.03851600760001,0.06752573167120032
16200003,162,3,nord,520.0,14.982532615799999,67.0837367551,0.07432745068402867
15300001,153,1,nord,516.0,13.1171930224,66.0937621928,0.060795327494644114
16600001,166,1,nord,500.0,15.761407283699999,67.4513525157,0.060340857020599714
15600027,156,27,nord,494.0,13.8567636795,66.440857567,0.0657985592998438
15700003,157,3,nord,471.0,13.1807689302,66.3926258746,0.051419433614309104
15600015,156,15,nord,445.0,13.8108700697,66.2930072954,0.049400684931506955
15200004,152,4,nord,436.0,13.3076484748,65.9050580957,0.06504723360252185
15900005,159,5,nord,416.0,13.4170406088,66.62797186899999,0.0639387812566839
17200005,172,5,nord,412.0,16.716241052,68.2547123766,
17800001,178,1,nord,356.0,15.7160409458,68.6189695629,0.04173972602739762
18900003,189,3,nord,315.0,16.722345646500003,68.6448954644,
17700004,177,4,nord,302.0,15.7054432428,68.4074830925,0.036631107118796254
16800003,168,3,nord,217.0,15.2960780725,67.7966344483,0.05397981254506134
17200007,172,7,nord,216.0,16.4287385708,68.2831776422,
14800002,148,2,nord,158.0,12.5380572751,65.3648797196,0.08466780566670125
16600013,166,13,nord,97.0,15.5359783098,67.3440848394,0.060243531202435294
15000001,150,1,nord,69.0,12.5676106158,65.9786273424,0.10822976572277745
18500001,185,1,nord,34.0,14.6292726432,68.6728276175,0.0473047129629
12100022,121,22,trond,866.0,9.7277077322,63.0322515811,
30700007,307,7,trond,711.0,13.9165089785,64.8867905641,0.0688080905356416
13900015,139,15,trond,700.0,13.258363651300002,65.0177902669,0.06436005589024171
14200001,142,1,trond,625.0,12.4770349494,64.8886345001,0.06574804953166898
30800001,308,1,trond,625.0,13.7603059996,64.2448717133,0.07500547362648909
12300031,123,31,trond,576.0,11.1311000196,63.26616752060001,
13900035,139,35,trond,558.0,12.481649285,64.43046652439999,0.0721088056060107
13900020,139,20,trond,556.0,13.0794506472,64.9254871808,0.06706025414429916
30700005,307,5,trond,528.0,14.0156504925,64.4866994975,0.07716772735373258
12700011,127,11,trond,518.0,12.3265429764,63.7893414118,0.08068337916715272
12700013,127,13,trond,507.0,11.7653904944,63.7639266945,0.07806251002255257
12400002,124,2,trond,505.0,11.358154134600001,63.4929522993,0.04921457194899806
12700006,127,6,trond,500.0,11.8096928124,63.791180368199996,0.07886558033712299
13300007,133,7,trond,348.0,10.2319088718,63.8040902162,0.03018306351183039
13800001,138,1,trond,294.0,11.0816870447,64.2437790293,0.06547044233481647
12500002,125,2,trond,282.0,11.061493748699998,63.610779818299996,0.029985499342337567
14000002,140,2,trond,270.0,11.4543617988,64.70537653939999,0.05384931506849294
13100001,131,1,trond,267.0,10.980547811700001,63.818763402399995,0.03230759122023476
7600005,76,5,vest,1546.0,7.241905558150001,61.6665542182,
4600009,46,9,vest,1371.0,6.281771108169999,60.0670753364,0.03825170785368593
7500022,75,22,vest,1364.0,7.62113534631,61.5496885637,
10900009,109,9,vest,1347.0,9.592639395560001,62.51138425,
8800004,88,4,vest,1337.0,6.889670375580001,61.8586938505,
7300004,73,4,vest,1335.0,7.7011314961199995,61.052601404099995,
9900017,99,17,vest,1325.0,7.49588321296,62.1975093561,
7300001,73,1,vest,1324.0,7.816670707260001,61.0586015151,
7600011,76,11,vest,1324.0,7.329787212669999,61.5082735503,
7600010,76,10,vest,1323.0,7.273516956539999,61.5062261252,
7500028,75,28,vest,1294.0,7.4451107872,61.3816845018,
5000001,50,1,vest,1277.0,6.74495671676,60.3588525808,0.028965300886702194
7200005,72,5,vest,1273.0,7.113902524789999,60.8503484442,0.033649661900840816
10900021,109,21,vest,1263.0,9.54912101705,62.256634739,0.04751353644234843
10300040,103,40,vest,1241.0,7.78144054749,62.47321399810001,0.050568493150684686
4600004,46,4,vest,1236.0,6.26871777365,60.1162197224,0.03887885060389186
4800005,48,5,vest,1232.0,6.7306555087,59.9686479325,0.04087808219178083
5000003,50,3,vest,1226.0,7.1099525882600005,60.427407967700006,
10400002,104,2,vest,1226.0,8.12405056822,62.6284650888,0.06557701293431197
7800008,78,8,vest,1224.0,6.742683782389999,61.448699723699995,
10900042,109,42,vest,1217.0,8.69408937327,62.6487398549,
10900020,109,20,vest,1202.0,9.15955513916,62.5718716522,
8300007,83,7,vest,1184.0,6.46945505035,61.4433756154,0.03038592138704424
10900029,109,29,vest,1178.0,8.733476183410001,62.6075315152,0.08709040382788058
7500023,75,23,vest,1148.0,7.39821773104,61.347019044899994,
10400022,104,22,vest,1132.0,8.07138422639,62.5095012926,0.048749848208864605
4800001,48,1,vest,1090.0,6.54813736031,60.0138925538,0.04022089041095912
8600012,86,12,vest,1045.0,5.935568061690001,61.8160257925,0.03791780821917845
8700010,87,10,vest,1045.0,6.520635423080001,61.718601311499995,
8300006,83,6,vest,1014.0,6.34750123612,61.344042378299996,0.03781369863013695
7700003,77,3,vest,1000.0,7.0068081933899995,61.2978380371,
9800004,98,4,vest,982.0,6.931252195539999,62.068180169099996,
7100001,71,1,vest,969.0,6.7929970396899995,60.858934571000006,0.032488584474885805
11100005,111,5,vest,917.0,8.78268596169,62.7966358185,0.08638813352894882
10300020,103,20,vest,912.0,7.9540731376,62.583233002,0.05138013588547927
3500009,35,9,vest,871.0,6.622463065190001,59.414258493999995,0.03313524590163928
8700002,87,2,vest,869.0,6.24007438051,61.7560123793,
6200005,62,5,vest,867.0,6.291809036419999,60.6292968801,0.0414579534396287
8300002,83,2,vest,842.0,5.88656275574,61.333359389399995,0.03454007285974514
3600013,36,13,vest,833.0,6.5398061879,59.5816249876,0.03418904517893962
8400015,84,15,vest,748.0,6.10855535273,61.4909881528,0.030223427594188834
10400023,104,23,vest,737.0,7.96077943055,62.6977346063,0.05735510319106328
8600010,86,10,vest,696.0,5.92157743482,61.7186849714,0.03921377348603954
4100001,41,1,vest,681.0,6.010888968430001,59.6829364522,0.029553219144056942
8400020,84,20,vest,673.0,6.064878971690001,61.43176825689999,0.03293835616438312
8000004,80,4,vest,661.0,5.78580590887,61.2034222915,0.03192349726775978
9700001,97,1,vest,591.0,6.59288754194,62.332500446000005,0.04157520427024119
8500004,85,4,vest,586.0,5.443947340709999,61.648702380900005,0.03450525972796501
11100009,111,9,vest,577.0,8.60489924328,62.9002851834,0.07364520539561642
3800001,38,1,vest,556.0,5.91403434125,59.4991721071,0.03986415525114136
4200002,42,2,vest,526.0,5.834625203330001,59.818088664099996,0.03081506849315052
5500007,55,7,vest,512.0,5.7636554124,60.2450124074,0.0367694828758988
8900001,89,1,vest,480.0,6.11860856651,61.9197009441,
8200004,82,4,vest,464.0,5.39112429574,61.250542204300004,0.032012770416947764
5500004,55,4,vest,307.0,5.4393961948300005,60.2510816641,0.0446849315068486
9100002,91,2,vest,252.0,5.166490276969999,62.1624295659,0.046015220700151876
10500001,105,1,vest,235.0,7.7260648214,62.793199794399996,0.05745205479451698
10100001,101,1,vest,159.0,6.617669491769999,62.5313953706,0.05211407103825122
10700003,107,3,vest,56.0,7.1619133566399995,62.9728065902,
8100001,81,1,vest,51.0,4.936724871619999,61.135485178900005,0.033852414102852536
3900001,39,1,vest,25.0,5.442215111830001,59.3298849658,0.03421789617486337
200291,2,291,ost,1485.0,7.866356080349999,62.007722443999995,0.03987517490369505
200268,2,268,ost,1467.0,8.4498700777,61.8029356267,0.04880464480874325
200013,2,13,ost,1462.0,8.927066438939999,61.560274194099996,0.03908128415300577
200290,2,290,ost,1413.0,8.29602907974,61.726231911999996,0.047863013698630115
1200013,12,13,ost,1372.0,8.71596095234,61.1685263768,
200284,2,284,ost,1370.0,9.061225900639998,61.8842849428,0.047695355191256575
200025,2,25,ost,1326.0,9.274603970669999,61.817371638900006,0.038500752717685036
1200197,12,197,ost,1305.0,8.70313890357,60.9503360863,
1200137,12,137,ost,1261.0,8.726649701080001,60.7896772649,
1500079,15,79,ost,1229.0,8.26391836472,60.38209406560001,
200032,2,32,ost,1205.0,10.2221190528,61.8519384984,
200614,2,614,ost,1186.0,9.4051525261,61.858566968699996,0.0521185567782023
200145,2,145,ost,1139.0,10.2775323649,61.3333848,0.04283105022831083
200129,2,129,ost,1099.0,10.4510651639,62.192230127399995,
1200097,12,97,ost,1071.0,9.23131507953,60.4719194017,
1500049,15,49,ost,1028.0,8.47906451083,60.4929660414,
1200099,12,99,ost,1017.0,9.83417605485,60.0780108282,
1500053,15,53,ost,1011.0,9.01118441235,60.3096045083,
1600066,16,66,ost,1005.0,8.32061475723,59.8355481776,
1200207,12,207,ost,981.0,9.075593061060001,61.151745580299995,0.045838107098380966
200011,2,11,ost,939.0,11.4787835648,62.361318225699996,
1200070,12,70,ost,936.0,9.626174239760001,60.951901790200004,0.05908082191780806
200607,2,607,ost,933.0,9.42185550258,62.1745772274,0.04493269803454432
1600122,16,122,ost,914.0,8.31171853517,59.6414005671,
1600075,16,75,ost,905.0,8.06738831823,59.6731716234,0.03894863013698621
1200171,12,171,ost,902.0,9.46021861262,60.709708033999995,
1200200,12,200,ost,870.0,10.0723333453,60.8233855575,0.05518219178082194
1600010,16,10,ost,852.0,8.993230506849999,59.611714265699995,0.04023237767297905
200028,2,28,ost,850.0,10.2708853271,61.215376837700006,0.04860967637298151
1200178,12,178,ost,846.0,9.43438837921,60.15176131850001,0.04991774697344016
31100460,311,460,ost,837.0,12.0183481106,61.664878959700005,0.05741096282815897
1600051,16,51,ost,820.0,8.87475984036,59.4320111184,
200604,2,604,ost,817.0,11.560652424,60.8742120704,
200267,2,267,ost,807.0,11.2418943207,61.7111157512,0.04192123287671183
31100004,311,4,ost,782.0,11.940042970799999,61.91996114729999,0.05643897996357034
31100006,311,6,ost,781.0,12.322495811,61.2590776466,0.05559010949376996
1200113,12,113,ost,597.0,9.634025642760001,60.043203599799995,0.059024228360406696
1200188,12,188,ost,586.0,9.72745620622,60.3727134693,0.06143320262341144
200323,2,323,ost,575.0,11.3261638292,60.886224474399995,
1500021,15,21,ost,574.0,9.55479775351,59.70734406890001,0.040117626201141635
200280,2,280,ost,519.0,10.990436998800002,60.2363087956,0.05678366109524898
