snumber,regine,main,region,altitude,lon,lat,runoff,rainfall,snowmelt,evapotranspiration,precipitation
200268,2,268,ost,1467.0,8.4498700777,61.8029356267,,,,,
200025,2,25,ost,1326.0,9.274603970669999,61.817371638900006,2.981262891158326,5.2990322580645195,,,6.4124999999999845
1200137,12,137,ost,1261.0,8.726649701080001,60.7896772649,3.076718604869738,6.031176470588234,2.6973913043478293,5.423545720949846,9.12714285714285
1500079,15,79,ost,1229.0,8.26391836472,60.38209406560001,,6.131428571428571,4.3164705882352905,13.206688694301333,9.797837837837838
200032,2,32,ost,1205.0,10.2221190528,61.8519384984,,3.762480948146134,,2.5563550521635987,3.828588703561102
200614,2,614,ost,1186.0,9.4051525261,61.858566968699996,,3.0301372836038603,,2.7631102443383972,3.71928571428571
200145,2,145,ost,1139.0,10.2775323649,61.3333848,,4.6210344827586205,,4.049079980524637,5.182727272727279
200129,2,129,ost,1099.0,10.4510651639,62.192230127399995,,3.19197317302606,,,4.11402906331419
1200097,12,97,ost,1071.0,9.23131507953,60.4719194017,,4.663421257174091,,4.233900564536806,6.177619047619043
1500049,15,49,ost,1028.0,8.47906451083,60.4929660414,,4.135358769658805,,3.8417870905890243,4.689306688782565
1600066,16,66,ost,1005.0,8.32061475723,59.8355481776,,,,2.9592689870129982,
200011,2,11,ost,939.0,11.4787835648,62.361318225699996,4.074071256223667,,,,
1200070,12,70,ost,936.0,9.626174239760001,60.951901790200004,,5.067830678327114,,2.991718138115017,4.862000000000007
1600075,16,75,ost,905.0,8.06738831823,59.6731716234,,3.853333333333353,,,4.0481818181818205
1600010,16,10,ost,852.0,8.993230506849999,59.611714265699995,,4.543076923076919,,4.103497038986745,
200028,2,28,ost,850.0,10.2708853271,61.215376837700006,3.2047879034313085,5.7925217787555505,,2.989337871986456,6.306309577254512
31100460,311,460,ost,837.0,12.0183481106,61.664878959700005,,,,,
1600051,16,51,ost,820.0,8.87475984036,59.4320111184,4.660967897658808,5.829117647058818,,,4.180588235294114
200604,2,604,ost,817.0,11.560652424,60.8742120704,,4.159050129297297,,2.044863664461688,4.0903882130325995
200267,2,267,ost,807.0,11.2418943207,61.7111157512,,,,,
31100004,311,4,ost,782.0,11.940042970799999,61.91996114729999,,,,,
31100006,311,6,ost,781.0,12.322495811,61.2590776466,,4.075927932697411,,3.086663218702064,3.8859229844496213
1500021,15,21,ost,574.0,9.55479775351,59.70734406890001,,,,,
1600194,16,194,ost,491.0,8.7857909192,59.3490717296,,6.1507692307692245,-2.4950000000000006,,
200142,2,142,ost,411.0,12.0471248084,60.641170209799995,2.882568687278803,5.931462888318705,,2.2025906965929356,5.784392012485431
2000002,20,2,sor,763.0,8.10052523255,58.8396329494,,9.101111111111111,-2.654249999999999,4.113714943925895,7.203333333333334
2400009,24,9,sor,588.0,7.223347914,58.4011394637,8.484383650793632,13.387142857142841,,4.904162539682543,13.308823529411791
2200004,22,4,sor,560.0,7.527672218139999,58.1202369475,,9.007749999999998,-3.0938235294117646,,
2200016,22,16,sor,447.0,7.584351336010001,58.445609965100005,,,-4.032680610324004,,
2000003,20,3,sor,354.0,8.20306070728,58.330464422700004,,7.379999999999999,-2.4516666666666658,,
2800007,28,7,sor,178.0,5.646998685850001,58.6927500209,,7.28057142857144,,,6.699999999999932
7600005,76,5,vest,1546.0,7.241905558150001,61.6665542182,20.8014490751903,,,,
7500022,75,22,vest,1364.0,7.62113534631,61.5496885637,4.401714425600926,,,,
10900009,109,9,vest,1347.0,9.592639395560001,62.51138425,,2.9010975025224157,,,
8800004,88,4,vest,1337.0,6.889670375580001,61.8586938505,11.57443832776656,,3.6183614315991166,,
7300004,73,4,vest,1335.0,7.7011314961199995,61.052601404099995,-4.410551756776103,6.612800000000002,,15.649713430926555,8.62730769230769
7300001,73,1,vest,1324.0,7.816670707260001,61.0586015151,-4.876178764487269,7.287435897435896,,16.525719465224025,9.809000000000015
5000001,50,1,vest,1277.0,6.74495671676,60.3588525808,,13.31550000000002,9.439230769230736,18.327304965840263,23.103181818181817
7200005,72,5,vest,1273.0,7.113902524789999,60.8503484442,,,,-14.015647065433578,
4600004,46,4,vest,1236.0,6.26871777365,60.1162197224,-25.31024815537188,,,,
4800005,48,5,vest,1232.0,6.7306555087,59.9686479325,,,,,
5000003,50,3,vest,1226.0,7.1099525882600005,60.427407967700006,-7.836733314677642,10.102173913043474,6.905555555555553,24.832118410485567,16.699687499999996
10400002,104,2,vest,1226.0,8.12405056822,62.6284650888,,9.346499999999992,,9.231364148817374,
4800001,48,1,vest,1090.0,6.54813736031,60.0138925538,,,,,
7700003,77,3,vest,1000.0,7.0068081933899995,61.2978380371,,,,,
9800004,98,4,vest,982.0,6.931252195539999,62.068180169099996,,,,,
11100005,111,5,vest,917.0,8.78268596169,62.7966358185,,,-8.117307692307694,,
8700002,87,2,vest,869.0,6.24007438051,61.7560123793,8.257017602328908,,,,
6200005,62,5,vest,867.0,6.291809036419999,60.6292968801,,,,,
8300002,83,2,vest,842.0,5.88656275574,61.333359389399995,,,,,
8400015,84,15,vest,748.0,6.10855535273,61.4909881528,,,,,
4100001,41,1,vest,681.0,6.010888968430001,59.6829364522,,,,,
8400020,84,20,vest,673.0,6.064878971690001,61.43176825689999,,,,,
8000004,80,4,vest,661.0,5.78580590887,61.2034222915,15.376234832168374,,,,
9700001,97,1,vest,591.0,6.59288754194,62.332500446000005,,20.782000000000018,,17.363826502819876,20.933888888888887
4200002,42,2,vest,526.0,5.834625203330001,59.818088664099996,,,,-12.211910512566801,-16.130833333333346
8900001,89,1,vest,480.0,6.11860856651,61.9197009441,,,,9.078080633410218,
8200004,82,4,vest,464.0,5.39112429574,61.250542204300004,,,,6.554806130191177,
8500002,85,2,vest,429.0,5.519099890950001,61.565339554,,19.163333333333565,,14.712344085449685,
5500004,55,4,vest,307.0,5.4393961948300005,60.2510816641,,,-2.7383333333333337,,
9100002,91,2,vest,252.0,5.166490276969999,62.1624295659,10.492844136858494,,,,
10500001,105,1,vest,235.0,7.7260648214,62.793199794399996,,10.530769230769238,-2.866000000000008,8.090905722567165,
10100001,101,1,vest,159.0,6.617669491769999,62.5313953706,,10.253124999999997,-4.652097111298833,,
8100001,81,1,vest,51.0,4.936724871619999,61.135485178900005,,,,-5.266430957348424,
30700007,307,7,trond,711.0,13.9165089785,64.8867905641,,4.224435416502952,,6.676196111786223,5.667714285714286
13900015,139,15,trond,700.0,13.258363651300002,65.0177902669,,7.9594235122604235,,8.771778460795982,8.796111111111108
30800001,308,1,trond,625.0,13.7603059996,64.2448717133,,,,,
12300031,123,31,trond,576.0,11.1311000196,63.26616752060001,,5.823750000000004,,7.801273476503316,4.410833333333339
30700005,307,5,trond,528.0,14.0156504925,64.4866994975,,3.3074999999999988,,3.588103718507873,3.6418181818181847
12400002,124,2,trond,505.0,11.358154134600001,63.4929522993,,,,,
12700006,127,6,trond,500.0,11.8096928124,63.791180368199996,,,,,
13300007,133,7,trond,348.0,10.2319088718,63.8040902162,,,,,
13800001,138,1,trond,294.0,11.0816870447,64.2437790293,,,,,
12500002,125,2,trond,282.0,11.061493748699998,63.610779818299996,,6.435294117647064,,3.4717780858174647,
14000002,140,2,trond,270.0,11.4543617988,64.70537653939999,,,,4.382487815174608,
15600013,156,13,nord,924.0,14.316014331600002,66.4723690112,-16.350633186420897,,,,
15600008,156,8,nord,902.0,14.224826589300001,66.4808882322,13.060300219708147,,,,
16300005,163,5,nord,834.0,15.410687646900001,66.81479810229999,4.678726811968074,4.493559746631956,,,
15600010,156,10,nord,804.0,13.878476031300002,66.4567164074,,,,,
16700003,167,3,nord,680.0,15.989289248099999,67.6238643486,,,,,
16300006,163,6,nord,664.0,15.1465539059,66.9356041186,,,-11.042479218760548,-24.760625456830205,-17.367188397396877
15100028,151,28,nord,660.0,13.2907325225,65.6215448807,,,,,
14400001,144,1,nord,625.0,12.6697943493,65.03851600760001,-25.678253340532223,8.197727272727269,,28.254386487333285,
16200003,162,3,nord,520.0,14.982532615799999,67.0837367551,,,-8.681080586399204,,
