snumber	regine	main	name	stnr	start.yr	end.yr	missing.yr	areal	altitude	utm.e	runoff.region	lon	lat
200011	2	11	NaersjO	2.11	1960	2012	0	119.13	939	317821.46	ostlandet	11.4787835648	62.3613182257
200013	2	13	Nedre Sjodalsvatn	2.13	1981	2012	1	479.97	1462	177672.06	ostlandet	8.92706643894	61.5602741941
200025	2	25	Lalm	2.25	1960	2012	0	3982.39	1326	198604.29	ostlandet	9.27460397067	61.8173716389
200028	2	28	Aulestad	2.28	1960	2012	0	866.25	850	246110.34	ostlandet	10.2708853271	61.2153768377
200032	2	32	AtnasjO	2.32	1960	2012	0	463.2	1205	248695.82	ostlandet	10.2221190528	61.8519384984
200129	2	129	DOlplass	2.129	1960	2012	3	2014.27	1099	263382.24	ostlandet	10.4510651639	62.1922301274
200142	2	142	Knappom	2.142	1960	2012	0	1646	411	338530	ostlandet	12.0471248084	60.6411702098
200145	2	145	BaattstO	2.145	1960	2012	0	11212.84	1139	247417.27	ostlandet	10.2775323649	61.3333848
200267	2	267	Mistra bru	2.267	1961	2012	4	549.86	807	301377.89	ostlandet	11.2418943207	61.7111157512
200268	2	268	Akslen	2.268	1960	2012	1	790.9	1467	155125.24	ostlandet	8.4498700777	61.8029356267
200279	2	279	Kraakfoss	2.279	1966	2012	1	432.35	445	282324.06	ostlandet	11.080103717	60.133445701
200280	2	280	Kringlerdal	2.280	1966	2012	2	265.44	519	278044.68	ostlandet	10.9904369988	60.2363087956
200284	2	284	Saelatunga	2.284	1966	2012	6	454.83	1370	188075.29	ostlandet	9.06122590064	61.8842849428
200290	2	290	Brustuen	2.290	1966	2012	1	253.93	1413	146164.12	ostlandet	8.29602907974	61.726231912
200291	2	291	Tora	2.291	1966	2012	1	262.27	1485	126994.93	ostlandet	7.86635608035	62.007722444
200303	2	303	Dombas	2.303	1967	2012	1	497.15	1318	192259.23	ostlandet	9.1018427034	62.0871321624
200323	2	323	Fura	2.323	1970	2012	1	42.47	575	300659.16	ostlandet	11.3261638292	60.8862244744
200604	2	604	Elverum	2.604	1960	2012	0	15451.76	817	313303.9	ostlandet	11.560652424	60.8742120704
200607	2	607	VaalaasjO	2.607	1979	2012	2	NA	NA	209764.35	ostlandet	9.42185550258	62.1745772274
200614	2	614	Rosten	2.614	1960	2012	0	1833.91	1186	205859.6	ostlandet	9.4051525261	61.8585669687
200616	2	616	Kuggerud	2.616	1977	2012	2	48.38	376	319787.41	ostlandet	11.7330801085	60.3555376309
