,snumber,regine,main,name,stnr,start.yr,end.yr,missing.yr,areal,altitude,utm.e,runoff.region,lon,lat,BREPRO
0,200011,2,11,NaersjO,2.11,1960,2012,0,119.13,939.0,317821.46,ostlandet,11.4787835648,62.361318225699996,0.0
2,200025,2,25,Lalm,2.25,1960,2012,0,3982.39,1326.0,198604.29,ostlandet,9.274603970669999,61.817371638900006,6.23
3,200028,2,28,Aulestad,2.28,1960,2012,0,866.25,850.0,246110.34,ostlandet,10.2708853271,61.215376837700006,0.0
4,200032,2,32,AtnasjO,2.32,1960,2012,0,463.2,1205.0,248695.82,ostlandet,10.2221190528,61.8519384984,0.0
5,200129,2,129,DOlplass,2.129,1960,2012,3,2014.27,1099.0,263382.24,ostlandet,10.4510651639,62.192230127399995,0.01
6,200142,2,142,Knappom,2.142,1960,2012,0,1646.0,411.0,338530.0,ostlandet,12.0471248084,60.641170209799995,0.0
7,200145,2,145,BaattstO,2.145,1960,2012,0,11212.84,1139.0,247417.27,ostlandet,10.2775323649,61.3333848,3.0
8,200267,2,267,Mistra bru,2.267,1961,2012,4,549.86,807.0,301377.89,ostlandet,11.2418943207,61.7111157512,0.0
9,200268,2,268,Akslen,2.2680000000000002,1960,2012,1,790.9,1467.0,155125.24,ostlandet,8.4498700777,61.8029356267,10.87
17,200604,2,604,Elverum,2.6039999999999996,1960,2012,0,15451.76,817.0,313303.9,ostlandet,11.560652424,60.8742120704,0.0
19,200614,2,614,Rosten,2.614,1960,2012,0,1833.91,1186.0,205859.6,ostlandet,9.4051525261,61.858566968699996,0.36
27,1200070,12,70,Etna,12.7,1960,2012,0,570.17,936.0,209138.61,ostlandet,9.626174239760001,60.951901790200004,0.0
28,1200097,12,97,Bergheim,12.97,1960,2012,0,4248.54,1071.0,183105.73,ostlandet,9.23131507953,60.4719194017,0.94
31,1200137,12,137,Gjerdeslaatta,12.137,1960,2012,0,774.58,1261.0,158817.62,ostlandet,8.726649701080001,60.7896772649,0.0
39,1500021,15,21,Jondalselv,15.21,1960,2012,0,125.9,574.0,193827.63,ostlandet,9.55479775351,59.70734406890001,0.0
40,1500049,15,49,Jalledalsvatn,15.49,1962,2012,1,59.13,1028.0,142101.27,ostlandet,8.47906451083,60.4929660414,0.0
42,1500079,15,79,Orsjoren,15.79,1960,2012,0,1177.29,1229.0,129056.71,ostlandet,8.26391836472,60.38209406560001,0.0
43,1600010,16,10,Omnesfoss,16.1,1963,2012,1,807.71,852.0,161341.81,ostlandet,8.993230506849999,59.611714265699995,0.0
44,1600051,16,51,Hagadrag,16.51,1960,2012,0,726.98,820.0,152829.22,ostlandet,8.87475984036,59.4320111184,0.0
45,1600066,16,66,Grosettjern,16.66,1960,2012,0,6.6,1005.0,126012.81,ostlandet,8.32061475723,59.8355481776,0.0
46,1600075,16,75,Tannsvatn (Lognvikvatnet),16.75,1960,2012,0,118.28,905.0,109975.69,ostlandet,8.06738831823,59.6731716234,0.0
49,1600194,16,194,Kilen,16.194000000000003,1962,2012,3,118.47,491.0,146933.04,ostlandet,8.7857909192,59.3490717296,0.0
58,2000002,20,2,Austenaa,20.2,1960,2012,0,276.42,763.0,102216.1,sorlandet,8.10052523255,58.8396329494,0.0
59,2000003,20,3,Flaksvatn,20.3,1960,2012,0,1780.66,354.0,102366.62,sorlandet,8.20306070728,58.330464422700004,0.0
61,2200004,22,4,KjOlemo,22.4,1960,2012,0,1757.7,560.0,60352.1,sorlandet,7.527672218139999,58.1202369475,0.0
62,2200016,22,16,Myglevatn ndf.,22.16,1960,2012,0,182.2,447.0,67674.34,sorlandet,7.584351336010001,58.445609965100005,0.0
66,2400009,24,9,Tingvatn (Lygne),24.9,1960,2012,0,272.16,588.0,46112.2,sorlandet,7.223347914,58.4011394637,0.0
74,2800007,28,7,Haugland,28.7,1960,2012,0,139.35,178.0,-41015.96,sorlandet,5.646998685850001,58.6927500209,0.0
79,4100001,41,1,Stordalsvatn,41.1,1960,2012,0,130.61,681.0,-5157.71,vestlandet,6.010888968430001,59.6829364522,0.0
81,4200002,42,2,Fjellhaugvatn,42.2,1963,2012,1,31.9,526.0,-12937.1,vestlandet,5.834625203330001,59.818088664099996,0.0
82,4600004,46,4,Bondhus,46.4,1963,2012,6,60.5,1236.0,15648.91,vestlandet,6.26871777365,60.1162197224,40.08
